spec,kappa,lam_update,h_within,inner_valid_ll
B (TO-neutral + TO margin),0.9,5,999,0.6486023549019447
BASE (off+def EPA),0.9,10,4,0.6432716021101061
B (TO-neutral + TO margin),0.9,10,4,0.6435434540732116
BASE (off+def EPA),0.9,10,8,0.6439858112685561
B (TO-neutral + TO margin),0.9,10,8,0.6453160051035549
BASE (off+def EPA),0.9,10,16,0.6445193706874163
B (TO-neutral + TO margin),0.9,10,16,0.6463062529460784
BASE (off+def EPA),0.9,10,999,0.6450998948248579
B (TO-neutral + TO margin),0.9,10,999,0.6472383293844343
BASE (off+def EPA),0.9,20,4,0.6437836922696388
B (TO-neutral + TO margin),0.9,20,4,0.6448211683821227
BASE (off+def EPA),0.9,20,8,0.6447811020754218
B (TO-neutral + TO margin),0.9,20,8,0.6465756261654296
BASE (off+def EPA),0.9,20,16,0.6453568190668327
B (TO-neutral + TO margin),0.9,20,16,0.6474821741608296
BASE (off+def EPA),0.9,20,999,0.6459088621709228
B (TO-neutral + TO margin),0.9,20,999,0.6482944294937821
BASE (off+def EPA),0.9,40,4,0.6474720692715462
B (TO-neutral + TO margin),0.9,40,4,0.6486446772797683
BASE (off+def EPA),0.9,40,8,0.6483824543578957
B (TO-neutral + TO margin),0.9,40,8,0.6499985399877982
BASE (off+def EPA),0.9,40,16,0.6488424852889241
B (TO-neutral + TO margin),0.9,40,16,0.6506617102594453
BASE (off+def EPA),0.9,40,999,0.6492488457528882
B (TO-neutral + TO margin),0.9,40,999,0.6512367404333668
BASE (off+def EPA),0.9,80,4,0.6519022848991247
B (TO-neutral + TO margin),0.9,80,4,0.6528752916131303
BASE (off+def EPA),0.9,80,8,0.6525270320612707
B (TO-neutral + TO margin),0.9,80,8,0.6537312695663852
BASE (off+def EPA),0.9,80,16,0.6528242515443992
B (TO-neutral + TO margin),0.9,80,16,0.6541383884343624
BASE (off+def EPA),0.9,80,999,0.6530764254150385
B (TO-neutral + TO margin),0.9,80,999,0.6544862018285419
