version,season,week,metric,test,identical,max_abs_diff,note
v2,2017,3,rush_epa,poison,True,0.0,
v2,2017,3,rush_epa,truncate,True,0.0,
v2,2017,3,sr,poison,True,0.0,
v2,2017,3,sr,truncate,True,0.0,
v2,2017,3,pass_sr,poison,True,0.0,
v2,2017,3,pass_sr,truncate,True,0.0,
v2,2017,3,rush_sr,poison,True,0.0,
v2,2017,3,rush_sr,truncate,True,0.0,
v2,2017,3,cpoe,poison,True,0.0,
v2,2017,3,cpoe,truncate,True,0.0,
v2,2017,3,pass_oe,poison,True,0.0,
v2,2017,3,pass_oe,truncate,True,0.0,
v2,2017,3,sec_per_play,poison,True,0.0,
v2,2017,3,sec_per_play,truncate,True,0.0,
v2,2017,3,to_rate,poison,True,0.0,
v2,2017,3,to_rate,truncate,True,0.0,
v2,2017,3,epa_noto,poison,True,0.0,
v2,2017,3,epa_noto,truncate,True,0.0,
v2,2017,3,sr_noto,poison,True,0.0,
v2,2017,3,sr_noto,truncate,True,0.0,
v2,2017,3,early_epa,poison,True,0.0,
v2,2017,3,early_epa,truncate,True,0.0,
v2,2017,3,early_sr,poison,True,0.0,
v2,2017,3,early_sr,truncate,True,0.0,
v2,2017,3,fumble_rate,poison,True,0.0,
v2,2017,3,fumble_rate,truncate,True,0.0,
v2,2017,3,int_rate,poison,True,0.0,
v2,2017,3,int_rate,truncate,True,0.0,
v1,2018,14,epa,poison,True,0.0,
v1,2018,14,epa,truncate,True,0.0,
v1,2018,14,pass_epa,poison,True,0.0,
v1,2018,14,pass_epa,truncate,True,0.0,
v1,2018,14,rush_epa,poison,True,0.0,
v1,2018,14,rush_epa,truncate,True,0.0,
v1,2018,14,sr,poison,True,0.0,
v1,2018,14,sr,truncate,True,0.0,
v1,2018,14,pass_sr,poison,True,0.0,
v1,2018,14,pass_sr,truncate,True,0.0,
v1,2018,14,rush_sr,poison,True,0.0,
v1,2018,14,rush_sr,truncate,True,0.0,
v1,2018,14,cpoe,poison,True,0.0,
v1,2018,14,cpoe,truncate,True,0.0,
v1,2018,14,pass_oe,poison,True,0.0,
v1,2018,14,pass_oe,truncate,True,0.0,
v1,2018,14,sec_per_play,poison,True,0.0,
v1,2018,14,sec_per_play,truncate,True,0.0,
v1,2018,14,to_rate,poison,True,0.0,
v1,2018,14,to_rate,truncate,True,0.0,
v1,2018,14,epa_noto,poison,True,0.0,
v1,2018,14,epa_noto,truncate,True,0.0,
v1,2018,14,sr_noto,poison,True,0.0,
v1,2018,14,sr_noto,truncate,True,0.0,
