player_id,player_name,position,team_last,seasons_played,last_season,first_season,n_teams,games,targets,receptions,rec_yards,rec_tds,rec_air_yards,rec_yac,rec_first_downs,rec_epa,carries,rush_yards,rush_tds,ppr,tm_targets,tm_air_yards,tm_pass_att,tm_carries,tm_targets_full,tm_air_yards_full,tm_carries_full,tm_games,snap_games,off_snaps,tm_off_snaps,st_snaps,off_plays_on_field,dropbacks_on_field,rushes_on_field,tm_off_plays,tm_dropbacks,tm_rushes,pfr_tgt,pfr_rec,pfr_ybc,pfr_yac,pfr_broken_tackles,pfr_drops,pfr_first_downs,pbp_targets,rz_targets,i10_targets,ez_targets,deep_targets,third_down_targets,third_down_conv,target_epa_total,play_share_part,target_epa,rz_target_share_of_own,ngs_avg_cushion,ngs_avg_separation,ngs_avg_intended_air_yards,ngs_percent_share_of_intended_air_yards,ngs_avg_yac,ngs_avg_expected_yac,ngs_avg_yac_above_expectation,ngs_catch_percentage,pfr_adot,pfr_ybc_per_rec,pfr_yac_per_rec,pfr_rec_per_broken_tackle,snap_pct_mean,target_share,air_yards_share,target_share_full,air_yards_share_full,carry_share,carry_share_full,games_played_rate,wopr,racr,adot_nflverse,catch_rate,rec_epa_per_target,ypc,ypr,snap_share,off_snaps_pg,pass_snap_share,run_snap_share,targets_pg,rec_pg,rec_yards_pg,rec_tds_pg,air_yards_pg,ppr_pg,carries_pg,rush_yards_pg,rush_tds_pg,routes_proxy,routes_proxy_pg,tprr_proxy,yprr_proxy,pfr_drop_pct,rz_targets_pg,i10_targets_pg,ez_targets_pg,deep_targets_pg,third_down_targets_pg,deep_target_rate,third_down_conv_rate,window_seasons,thin_data
00-0036554,Nico Collins,WR,HOU,3,2025,2023,1,42,328,219,3420,21,3798,1238,149,154.29994940220877,3,22,1,697.1999999999999,1380,11874,1444,1065,1666,14595,1353,51,42.0,1949.0,2753.0,0.0,1989.0,1247.0,616.0,3484.0,1970.0,1262.0,328.0,219.0,2182.0,1238.0,22.0,6.0,149.0,328.0,47.0,27.0,35.0,59.0,101.0,50.0,152.1939494022088,0.5708955223880597,0.4640059432994171,0.14329268292682926,5.289927946306087,2.7792176145415177,11.85746951219512,27.970238399137095,5.889680365296806,4.262816761223651,1.626863604073154,66.76829268292683,11.498170731707317,9.983561643835618,5.688584474885845,18.15433789954338,0.7076190476190476,0.23768115942028986,0.3198585144012127,0.19687875150060025,0.26022610483042136,0.0028169014084507044,0.0022172949002217295,0.8235294117647058,0.5804226992112836,0.9004739336492891,11.579268292682928,0.6676829268292683,0.4704266750067341,7.333333333333333,15.616438356164384,0.7079549582273883,46.404761904761905,0.632994923857868,0.48811410459587956,7.809523809523809,5.214285714285714,81.42857142857143,0.5,90.42857142857143,16.599999999999998,0.07142857142857142,0.5238095238095238,0.023809523809523808,1247.0,29.69047619047619,0.26303127506014434,2.7425821972734563,0.018292682926829267,1.119047619047619,0.6428571428571429,0.8333333333333334,1.4047619047619047,2.4047619047619047,0.1798780487804878,0.49504950495049505,2023-2025,False
00-0036556,Brevin Jordan,TE,HOU,2,2024,2023,1,12,24,19,226,2,116,127,14,18.952305959421214,0,0,0,53.6,391,3414,412,326,1113,9830,878,34,15.0,350.0,1070.0,114.0,358.0,183.0,151.0,2304.0,1322.0,817.0,24.0,19.0,99.0,127.0,1.0,1.0,14.0,24.0,2.0,1.0,1.0,0.0,4.0,4.0,18.95230595942121,0.15538194444444445,0.7896794149758838,0.08333333333333333,,,,,,,,,4.8500000000000005,5.221052631578947,6.689473684210526,17.0,0.3422619047619048,0.061381074168797956,0.03397773872290568,0.0215633423180593,0.01180061037639878,0.0,0.0,0.35294117647058826,0.11585602835923091,1.9482758620689655,4.833333333333333,0.7916666666666666,0.7896794149758839,,11.894736842105264,0.32710280373831774,23.333333333333332,0.13842662632375188,0.18482252141982863,2.0,1.5833333333333333,18.833333333333332,0.16666666666666666,9.666666666666666,4.466666666666667,0.0,0.0,0.0,183.0,15.25,0.13114754098360656,1.2349726775956285,0.041666666666666664,0.16666666666666666,0.08333333333333333,0.08333333333333333,0.0,0.3333333333333333,0.0,1.0,2023-2025,False
00-0036590,Quintin Morris,TE,JAX,3,2025,2023,2,23,20,13,117,3,152,48,8,2.469084928841434,0,0,0,42.7,680,5833,708,696,1587,14164,1492,51,42.0,613.0,2979.0,889.0,629.0,223.0,318.0,3495.0,1877.0,1326.0,20.0,13.0,69.0,48.0,0.0,2.0,8.0,20.0,5.0,2.0,4.0,2.0,5.0,2.0,2.469084928841422,0.1799713876967096,0.1234542464420711,0.25,,,,,,,,,7.62,5.323076923076924,3.6923076923076925,,0.214888198757764,0.029411764705882353,0.026058631921824105,0.01260239445494644,0.010731431798926857,0.0,0.0,0.45098039215686275,0.0623586894041004,0.7697368421052632,7.6,0.65,0.1234542464420717,,9.0,0.2057737495803961,14.595238095238095,0.11880660628662759,0.2398190045248869,0.8695652173913043,0.5652173913043478,5.086956521739131,0.13043478260869565,6.608695652173913,1.856521739130435,0.0,0.0,0.0,223.0,9.695652173913043,0.08968609865470852,0.5246636771300448,0.1,0.21739130434782608,0.08695652173913043,0.17391304347826086,0.08695652173913043,0.21739130434782608,0.1,0.4,2023-2025,False
00-0036613,Jaylen Waddle,WR,MIA,3,2025,2023,1,45,287,194,2668,12,3184,885,133,120.56441973160769,9,52,0,542.3199999999999,1409,10117,1458,1166,1579,11379,1336,51,45.0,2126.0,2840.0,10.0,2167.0,1269.0,778.0,3288.0,1806.0,1262.0,287.0,194.0,1783.0,885.0,10.0,16.0,133.0,287.0,31.0,14.0,17.0,39.0,66.0,34.0,118.4584197316076,0.6590632603406326,0.41274710707877216,0.10801393728222997,5.962818483190919,3.181925010135129,10.615609756097568,28.73278794004403,5.106752577319587,4.625699543996781,0.48105303332280597,67.59581881533101,11.116376306620207,9.204123711340205,4.565979381443299,13.882352941176471,0.7466666666666667,0.2036905606813343,0.31471780171987745,0.181760607979734,0.27981369188856664,0.007718696397941681,0.006736526946107785,0.8823529411764706,0.5258383022259157,0.8379396984924623,11.094076655052264,0.6759581881533101,0.42008508617284906,5.777777777777778,13.75257731958763,0.7485915492957746,47.24444444444445,0.7026578073089701,0.6164817749603804,6.377777777777778,4.311111111111111,59.28888888888889,0.26666666666666666,70.75555555555556,12.051555555555554,0.2,1.1555555555555554,0.0,1269.0,28.2,0.22616233254531126,2.102442868400315,0.05574912891986063,0.6888888888888889,0.3111111111111111,0.37777777777777777,0.8666666666666667,1.4666666666666666,0.13588850174216027,0.5151515151515151,2023-2025,False
00-0036620,Dee Eskridge,WR,MIA,3,2025,2023,2,20,11,7,106,0,130,38,5,4.96619650407228,2,5,0,18.1,621,4398,646,445,1577,11194,1262,51,22.0,143.0,1368.0,153.0,145.0,82.0,48.0,3252.0,1828.0,1184.0,11.0,7.0,68.0,38.0,0.0,0.0,5.0,11.0,0.0,0.0,0.0,2.0,5.0,2.0,4.966196504072286,0.044587945879458794,0.45147240946111694,0.0,,,,,,,,,11.436363636363636,9.742857142857144,5.471428571428571,,0.10423717948717948,0.017713365539452495,0.02955889040472942,0.006975269499048827,0.011613364302304805,0.0044943820224719105,0.001584786053882726,0.39215686274509803,0.047261271592489336,0.8153846153846154,11.818181818181818,0.6363636363636364,0.4514724094611164,2.5,15.142857142857142,0.10453216374269006,6.5,0.044857768052516414,0.04054054054054054,0.55,0.35,5.3,0.0,6.5,0.905,0.1,0.25,0.0,82.0,4.1,0.13414634146341464,1.2926829268292683,0.0,0.0,0.0,0.0,0.1,0.25,0.18181818181818182,0.4,2023-2025,False
00-0036626,Dyami Brown,WR,JAX,3,2025,2023,2,42,100,62,703,3,1198,325,34,8.264700120765475,10,56,0,152.06,1379,11372,1444,1119,1652,13639,1374,51,47.0,1083.0,3137.0,245.0,1112.0,628.0,391.0,3505.0,2035.0,1215.0,100.0,62.0,378.0,325.0,5.0,9.0,34.0,100.0,15.0,7.0,12.0,22.0,25.0,12.0,8.264700120765452,0.31726105563480744,0.08264700120765452,0.15,,,,,,,,,11.884,6.103225806451612,5.267741935483872,8.785714285714286,0.33334858943577433,0.0725163161711385,0.1053464650017587,0.06053268765133172,0.08783635163868318,0.008936550491510277,0.00727802037845706,0.8235294117647058,0.18251699975793884,0.5868113522537562,11.98,0.62,0.08264700120765475,5.6,11.338709677419354,0.34523430028689833,23.04255319148936,0.3085995085995086,0.32181069958847736,2.380952380952381,1.4761904761904763,16.738095238095237,0.07142857142857142,28.523809523809526,3.6204761904761904,0.23809523809523808,1.3333333333333333,0.0,628.0,14.952380952380953,0.1592356687898089,1.1194267515923566,0.09,0.35714285714285715,0.16666666666666666,0.2857142857142857,0.5238095238095238,0.5952380952380952,0.22,0.48,2023-2025,False
00-0036628,John Bates,TE,WAS,3,2025,2023,1,38,57,38,338,1,286,182,15,1.5876331535400894,0,0,0,75.80000000000001,1188,9763,1261,986,1537,12757,1369,51,49.0,1495.0,3209.0,577.0,1525.0,667.0,765.0,3406.0,1956.0,1192.0,57.0,38.0,156.0,182.0,2.0,5.0,15.0,57.0,6.0,5.0,3.0,5.0,4.0,3.0,1.5876331535400823,0.4477392836171462,0.027853213220001442,0.10526315789473684,,,,,,,,,5.031578947368422,4.102631578947369,4.778947368421052,15.74074074074074,0.46507739938080495,0.047979797979797977,0.02929427430093209,0.03708523096942095,0.022419064043270362,0.0,0.0,0.7450980392156863,0.09247568898034943,1.1818181818181819,5.017543859649122,0.6666666666666666,0.027853213220001567,,8.894736842105264,0.46587722031785606,30.510204081632654,0.34100204498977504,0.6417785234899329,1.5,1.0,8.894736842105264,0.02631578947368421,7.526315789473684,1.9947368421052634,0.0,0.0,0.0,667.0,17.55263157894737,0.08545727136431784,0.5067466266866567,0.08771929824561403,0.15789473684210525,0.13157894736842105,0.07894736842105263,0.13157894736842105,0.10526315789473684,0.08771929824561403,0.75,2023-2025,False
00-0036630,Tylan Wallace,WR,BAL,3,2025,2023,1,29,22,16,249,2,204,144,9,13.446523473961928,0,0,0,58.900000000000006,767,6871,800,880,1340,11673,1602,51,40.0,525.0,2681.0,587.0,545.0,225.0,261.0,3341.0,1654.0,1427.0,22.0,16.0,104.0,145.0,1.0,1.0,9.0,22.0,3.0,1.0,3.0,2.0,8.0,3.0,13.446523473961934,0.1631248129302604,0.6112056124528151,0.13636363636363635,,,,,,,,,9.245454545454544,6.49375,9.049999999999999,11.0,0.20936000105371305,0.028683181225554105,0.029690001455392228,0.016417910447761194,0.017476227190953483,0.0,0.0,0.5686274509803921,0.06380777285710572,1.2205882352941178,9.272727272727273,0.7272727272727273,0.6112056124528149,,15.5625,0.195822454308094,13.125,0.13603385731559856,0.1829011913104415,0.7586206896551724,0.5517241379310345,8.586206896551724,0.06896551724137931,7.0344827586206895,2.031034482758621,0.0,0.0,0.0,225.0,7.758620689655173,0.09777777777777778,1.1066666666666667,0.045454545454545456,0.10344827586206896,0.034482758620689655,0.10344827586206896,0.06896551724137931,0.27586206896551724,0.09090909090909091,0.375,2023-2025,False
00-0036635,Ihmir Smith-Marsette,WR,CAR,1,2023,2023,1,17,10,8,51,0,9,48,5,1.515756132430397,8,74,1,32.5,534,4482,586,445,534,4482,445,17,13.0,123.0,1149.0,149.0,126.0,55.0,62.0,1192.0,683.0,419.0,10.0,8.0,3.0,48.0,1.0,1.0,5.0,10.0,0.0,0.0,0.0,0.0,3.0,2.0,1.515756132430397,0.10570469798657718,0.1515756132430397,0.0,,,,,,,,,0.9,0.4,6.0,8.0,0.10823529411764707,0.018726591760299626,0.002008032128514056,0.018726591760299626,0.002008032128514056,0.017977528089887642,0.017977528089887642,1.0,0.029495510130409276,5.666666666666667,0.9,0.8,0.1515756132430397,9.25,6.375,0.10704960835509138,9.461538461538462,0.08052708638360176,0.14797136038186157,0.5882352941176471,0.47058823529411764,3.0,0.0,0.5294117647058824,1.911764705882353,0.47058823529411764,4.352941176470588,0.058823529411764705,55.0,3.235294117647059,0.18181818181818182,0.9272727272727272,0.1,0.0,0.0,0.0,0.0,0.17647058823529413,0.0,0.6666666666666666,2023-2025,True
00-0036637,Noah Gray,TE,KC,3,2025,2023,1,46,127,89,920,7,818,457,49,21.5060258815846,2,-3,0,222.7,1556,11154,1643,1181,1720,12434,1297,51,50.0,1801.0,3325.0,522.0,1837.0,979.0,700.0,3464.0,2084.0,1110.0,127.0,89.0,470.0,450.0,4.0,6.0,50.0,127.0,15.0,7.0,9.0,10.0,29.0,13.0,22.453025881584615,0.5303117782909931,0.17679547938255602,0.11811023622047244,5.86297297297297,4.39129587345319,6.380816326530611,8.68087658362278,5.41075,5.27910922505476,0.131640774945241,81.6326530612245,6.299999999999999,5.28314606741573,5.095505617977528,7.0,0.5377717391304347,0.08161953727506427,0.07333691949076565,0.07383720930232558,0.06578735724626025,0.001693480101608806,0.0015420200462606013,0.9019607843137255,0.17376514955613237,1.1246943765281174,6.440944881889764,0.7007874015748031,0.16933878646917006,-1.5,10.337078651685394,0.5416541353383458,36.02,0.4697696737044146,0.6306306306306306,2.760869565217391,1.934782608695652,20.0,0.15217391304347827,17.782608695652176,4.841304347826087,0.043478260869565216,-0.06521739130434782,0.0,979.0,21.282608695652176,0.12972420837589377,0.9397344228804902,0.047244094488188976,0.32608695652173914,0.15217391304347827,0.1956521739130435,0.21739130434782608,0.6304347826086957,0.07874015748031496,0.4482758620689655,2023-2025,False
00-0036640,Zach Davidson,TE,BUF,1,2024,2024,1,2,2,1,5,0,10,2,0,-0.7158418569015341,0,0,0,1.5,56,391,58,69,495,4262,491,17,3.0,42.0,191.0,26.0,43.0,21.0,16.0,1121.0,579.0,441.0,2.0,1.0,3.0,2.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,-0.7158418569015339,0.0383586083853702,-0.35792092845076695,0.5,,,,,,,,,1.5,3.0,2.0,,0.22666666666666668,0.03571428571428571,0.02557544757033248,0.00404040404040404,0.002346316283435007,0.0,0.0,0.11764705882352941,0.0714742418706613,0.5,5.0,0.5,-0.35792092845076706,,5.0,0.2198952879581152,14.0,0.03626943005181347,0.036281179138321996,1.0,0.5,2.5,0.0,5.0,0.75,0.0,0.0,0.0,21.0,10.5,0.09523809523809523,0.23809523809523808,0.0,0.5,0.5,0.5,0.0,0.0,0.0,,2023-2025,True
