player_id,player_display_name,season,games,targets,tpg,team_first,team_last_prev,has_prior,team_change,qb_change_same_team,any_change
00-0029033,Griff Whalen,2017,2,6,3.0,BAL,LAC,True,1.0,0.0,1.0
00-0029137,Alshon Jeffery,2017,16,120,7.5,PHI,CHI,True,1.0,0.0,1.0
00-0029159,Jermaine Kearse,2017,16,102,6.375,NYJ,SEA,True,1.0,0.0,1.0
00-0029269,Travis Benjamin,2017,16,65,4.0625,LAC,LAC,True,0.0,0.0,0.0
00-0029293,Marvin Jones,2017,16,107,6.6875,DET,DET,True,0.0,0.0,0.0
00-0029319,Josh Bellamy,2017,11,46,4.181818181818182,CHI,CHI,True,0.0,1.0,1.0
00-0029388,Deonte Thompson,2017,16,69,4.3125,CHI,CHI,True,0.0,1.0,1.0
00-0029580,Rishard Matthews,2017,14,87,6.214285714285714,TEN,TEN,True,0.0,0.0,0.0
00-0029608,T.Y. Hilton,2017,16,109,6.8125,IND,IND,True,0.0,1.0,1.0
00-0029632,Mohamed Sanu,2017,15,96,6.4,ATL,ATL,True,0.0,0.0,0.0
00-0029664,Josh Gordon,2017,5,42,8.4,CLE,,False,,,
00-0029708,Kendall Wright,2017,15,91,6.066666666666666,CHI,TEN,True,1.0,0.0,1.0
00-0029848,Nick Williams,2017,1,4,4.0,ATL,ATL,True,0.0,0.0,0.0
00-0030035,Adam Thielen,2017,16,142,8.875,MIN,MIN,True,0.0,1.0,1.0
00-0030068,Marquise Goodwin,2017,16,105,6.5625,SF,BUF,True,1.0,0.0,1.0
