team,season,prior_targets,vacated_targets,vacated_share
CIN,2017,542,40,0.07380073800738007
CLE,2017,558,287,0.514336917562724
DAL,2017,479,34,0.0709812108559499
DEN,2017,556,61,0.10971223021582734
DET,2017,580,133,0.2293103448275862
GB,2017,614,96,0.1563517915309446
HOU,2017,577,42,0.07279029462738301
IND,2017,572,141,0.2465034965034965
JAX,2017,623,123,0.19743178170144463
KC,2017,536,129,0.24067164179104478
LA,2017,530,305,0.5754716981132075
LAC,2017,564,55,0.0975177304964539
LV,2017,589,97,0.16468590831918506
MIA,2017,467,67,0.14346895074946467
MIN,2017,585,177,0.30256410256410254
NE,2017,546,227,0.4157509157509158
NO,2017,664,198,0.29819277108433734
NYG,2017,597,231,0.3869346733668342
NYJ,2017,546,299,0.5476190476190477
PHI,2017,604,254,0.4205298013245033
PIT,2017,590,171,0.28983050847457625
SEA,2017,548,150,0.2737226277372263
SF,2017,487,404,0.8295687885010267
TB,2017,571,135,0.23642732049036777
TEN,2017,490,167,0.3408163265306122
WAS,2017,593,225,0.3794266441821248
ARI,2018,592,279,0.47128378378378377
ATL,2018,517,83,0.16054158607350097
BAL,2018,561,368,0.6559714795008913
BUF,2018,468,120,0.2564102564102564
CAR,2018,492,181,0.3678861788617886
CHI,2018,468,222,0.47435897435897434
CIN,2018,488,98,0.20081967213114754
CLE,2018,566,262,0.4628975265017668
DAL,2018,485,249,0.51340206185567
DEN,2018,551,244,0.44283121597096187
DET,2018,565,124,0.21946902654867256
GB,2018,554,181,0.3267148014440433
HOU,2018,516,136,0.26356589147286824
IND,2018,472,174,0.3686440677966102
JAX,2018,517,244,0.47195357833655704
KC,2018,528,89,0.16856060606060605
LA,2018,510,113,0.22156862745098038
LAC,2018,573,84,0.14659685863874344
LV,2018,552,164,0.2971014492753623
MIA,2018,588,293,0.49829931972789115
MIN,2018,521,114,0.21880998080614203
NE,2018,584,251,0.4297945205479452
NO,2018,529,97,0.1833648393194707
NYG,2018,603,283,0.4693200663349917
NYJ,2018,496,198,0.39919354838709675
PHI,2018,556,169,0.3039568345323741
PIT,2018,585,194,0.3316239316239316
SEA,2018,526,239,0.4543726235741445
SF,2018,599,158,0.2637729549248748
TB,2018,596,71,0.11912751677852348
TEN,2018,484,142,0.29338842975206614
WAS,2018,534,122,0.22846441947565543
ARI,2019,473,165,0.3488372093023256
ATL,2019,604,85,0.14072847682119205
BAL,2019,539,305,0.5658627087198516
BUF,2019,479,296,0.6179540709812108
CAR,2019,544,121,0.22242647058823528
CHI,2019,504,79,0.15674603174603174
CIN,2019,529,135,0.2551984877126654
CLE,2019,557,128,0.22980251346499103
DAL,2019,517,206,0.3984526112185687
DEN,2019,564,119,0.21099290780141844
DET,2019,561,339,0.6042780748663101
GB,2019,615,153,0.24878048780487805
HOU,2019,494,170,0.3441295546558704
IND,2019,634,68,0.10725552050473186
JAX,2019,524,257,0.4904580152671756
KC,2019,564,122,0.21631205673758866
LA,2019,545,14,0.025688073394495414
LAC,2019,506,112,0.22134387351778656
LV,2019,530,392,0.7396226415094339
MIA,2019,435,181,0.4160919540229885
MIN,2019,592,74,0.125
NE,2019,556,166,0.29856115107913667
NO,2019,511,109,0.21330724070450097
NYG,2019,574,140,0.24390243902439024
NYJ,2019,505,244,0.48316831683168315
PHI,2019,592,109,0.18412162162162163
PIT,2019,676,240,0.35502958579881655
SEA,2019,400,156,0.39
SF,2019,515,104,0.20194174757281552
TB,2019,619,235,0.37964458804523427
TEN,2019,425,96,0.22588235294117648
WAS,2019,489,316,0.6462167689161554
ARI,2020,529,156,0.2948960302457467
ATL,2020,655,244,0.37251908396946565
BAL,2020,424,77,0.18160377358490565
BUF,2020,485,92,0.18969072164948453
CAR,2020,600,164,0.2733333333333333
CHI,2020,566,117,0.2067137809187279
CIN,2020,589,80,0.13582342954159593
CLE,2020,517,91,0.1760154738878143
DAL,2020,576,202,0.3506944444444444
DEN,2020,481,93,0.19334719334719336
DET,2020,550,97,0.17636363636363636
GB,2020,542,153,0.2822878228782288
HOU,2020,518,170,0.3281853281853282
IND,2020,488,119,0.24385245901639344
JAX,2020,563,194,0.34458259325044405
KC,2020,558,95,0.17025089605734767
LA,2020,612,126,0.20588235294117646
LAC,2020,576,123,0.21354166666666666
LV,2020,491,154,0.3136456211812627
MIA,2020,606,202,0.3333333333333333
MIN,2020,442,114,0.2579185520361991
NE,2020,587,201,0.3424190800681431
NO,2020,559,74,0.13237924865831843
NYG,2020,588,134,0.22789115646258504
NYJ,2020,492,189,0.38414634146341464
PHI,2020,604,130,0.2152317880794702
PIT,2020,485,82,0.16907216494845362
SEA,2020,494,91,0.18421052631578946
SF,2020,467,98,0.20985010706638116
TB,2020,607,158,0.2602965403624382
TEN,2020,428,105,0.24532710280373832
WAS,2020,464,272,0.5862068965517241
ARI,2021,545,181,0.3321100917431193
ATL,2021,605,200,0.3305785123966942
BAL,2021,392,112,0.2857142857142857
BUF,2021,572,84,0.14685314685314685
CAR,2021,527,201,0.38140417457305503
CHI,2021,596,149,0.25
CIN,2021,566,195,0.34452296819787986
CLE,2021,467,24,0.05139186295503212
DAL,2021,617,16,0.02593192868719611
DEN,2021,533,112,0.2101313320825516
DET,2021,562,366,0.6512455516014235
GB,2021,501,78,0.15568862275449102
HOU,2021,525,294,0.56
IND,2021,535,89,0.16635514018691588
JAX,2021,585,295,0.5042735042735043
KC,2021,611,110,0.18003273322422259
LA,2021,562,176,0.31316725978647686
LAC,2021,611,163,0.26677577741407527
LV,2021,523,128,0.2447418738049713
MIA,2021,547,77,0.14076782449725778
MIN,2021,485,135,0.27835051546391754
NE,2021,420,197,0.46904761904761905
NO,2021,508,250,0.4921259842519685
NYG,2021,500,151,0.302
NYJ,2021,463,184,0.39740820734341253
PHI,2021,561,119,0.21212121212121213
PIT,2021,652,78,0.1196319018404908
SEA,2021,537,144,0.2681564245810056
SF,2021,554,229,0.41335740072202165
TB,2021,606,38,0.0627062706270627
TEN,2021,468,207,0.4423076923076923
WAS,2021,573,120,0.2094240837696335
ARI,2022,570,198,0.3473684210526316
ATL,2022,554,302,0.5451263537906137
BAL,2022,591,218,0.3688663282571912
BUF,2022,623,81,0.13001605136436598
CAR,2022,575,115,0.2
CHI,2022,524,224,0.42748091603053434
CIN,2022,540,67,0.12407407407407407
CLE,2022,499,239,0.4789579158316633
DAL,2022,637,208,0.32653061224489793
DEN,2022,517,184,0.35589941972920697
DET,2022,565,52,0.0920353982300885
GB,2022,570,248,0.43508771929824563
HOU,2022,523,121,0.23135755258126195
IND,2022,502,154,0.30677290836653387
JAX,2022,583,317,0.5437392795883362
KC,2022,637,341,0.5353218210361067
LA,2022,602,166,0.2757475083056478
LAC,2022,659,135,0.20485584218512898
LV,2022,603,274,0.45439469320066334
MIA,2022,599,220,0.3672787979966611
MIN,2022,578,121,0.2093425605536332
NE,2022,524,101,0.19274809160305342
NO,2022,474,84,0.17721518987341772
NYG,2022,564,248,0.4397163120567376
NYJ,2022,581,225,0.387263339070568
PHI,2022,468,112,0.23931623931623933
PIT,2022,653,167,0.2557427258805513
SEA,2022,474,120,0.25316455696202533
SF,2022,497,82,0.16498993963782696
TB,2022,716,258,0.36033519553072624
TEN,2022,522,357,0.6839080459770115
WAS,2022,534,160,0.299625468164794
ARI,2023,635,227,0.35748031496062993
ATL,2023,400,99,0.2475
BAL,2023,465,141,0.3032258064516129
BUF,2023,551,166,0.30127041742286753
CAR,2023,427,242,0.5667447306791569
CHI,2023,359,134,0.3732590529247911
CIN,2023,594,143,0.24074074074074073
CLE,2023,507,41,0.08086785009861933
DAL,2023,545,207,0.3798165137614679
DEN,2023,541,240,0.4436229205175601
DET,2023,563,234,0.41563055062166965
GB,2023,540,266,0.4925925925925926
HOU,2023,558,385,0.6899641577060932
IND,2023,579,213,0.36787564766839376
JAX,2023,574,113,0.19686411149825783
KC,2023,614,118,0.19218241042345277
LA,2023,517,99,0.19148936170212766
LAC,2023,687,115,0.16739446870451238
LV,2023,558,212,0.37992831541218636
MIA,2023,562,132,0.23487544483985764
MIN,2023,641,215,0.33541341653666146
NE,2023,518,222,0.42857142857142855
NO,2023,493,154,0.31237322515212984
NYG,2023,489,159,0.32515337423312884
NYJ,2023,588,239,0.4064625850340136
PHI,2023,505,46,0.09108910891089109
PIT,2023,548,104,0.1897810218978102
SEA,2023,553,91,0.16455696202531644
SF,2023,504,28,0.05555555555555555
TB,2023,724,308,0.425414364640884
TEN,2023,436,225,0.5160550458715596
WAS,2023,531,72,0.13559322033898305
ARI,2024,540,223,0.412962962962963
ATL,2024,508,176,0.3464566929133858
BAL,2024,476,98,0.20588235294117646
BUF,2024,545,308,0.5651376146788991
CAR,2024,534,155,0.2902621722846442
CHI,2024,477,116,0.2431865828092243
CIN,2024,592,203,0.34290540540540543
CLE,2024,597,72,0.12060301507537688
DAL,2024,605,133,0.21983471074380165
DEN,2024,477,180,0.37735849056603776
DET,2024,574,87,0.15156794425087108
GB,2024,561,115,0.20499108734402852
HOU,2024,566,108,0.19081272084805653
IND,2024,546,70,0.1282051282051282
JAX,2024,607,227,0.37397034596375617
KC,2024,599,163,0.27212020033388984
LA,2024,555,57,0.10270270270270271
LAC,2024,614,445,0.7247557003257329
LV,2024,531,133,0.2504708097928437
MIA,2024,549,68,0.12386156648451731
MIN,2024,606,124,0.20462046204620463
NE,2024,541,265,0.4898336414048059
NO,2024,579,120,0.20725388601036268
NYG,2024,485,220,0.4536082474226804
NYJ,2024,563,98,0.17406749555950266
PHI,2024,525,117,0.22285714285714286
PIT,2024,484,143,0.29545454545454547
SEA,2024,547,67,0.12248628884826325
SF,2024,471,31,0.06581740976645435
TB,2024,550,56,0.10181818181818182
TEN,2024,478,102,0.21338912133891214
WAS,2024,601,353,0.5873544093178037
ARI,2025,523,3,0.0057361376673040155
ATL,2025,539,1,0.0018552875695732839
BAL,2025,457,35,0.07658643326039387
BUF,2025,495,101,0.20404040404040405
CAR,2025,518,202,0.38996138996138996
CHI,2025,526,155,0.2946768060836502
CIN,2025,628,84,0.1337579617834395
CLE,2025,634,283,0.44637223974763407
DAL,2025,622,124,0.19935691318327975
DEN,2025,549,173,0.3151183970856102
DET,2025,522,55,0.1053639846743295
GB,2025,464,7,0.015086206896551725
HOU,2025,547,282,0.5155393053016454
IND,2025,492,50,0.1016260162601626
JAX,2025,522,213,0.40804597701149425
KC,2025,572,164,0.2867132867132867
LA,2025,541,215,0.3974121996303142
LAC,2025,491,182,0.37067209775967414
LV,2025,592,157,0.2652027027027027
MIA,2025,568,196,0.34507042253521125
MIN,2025,517,47,0.09090909090909091
NE,2025,500,116,0.232
NO,2025,517,119,0.23017408123791103
NYG,2025,554,0,0.0
NYJ,2025,589,222,0.3769100169779287
PHI,2025,418,60,0.14354066985645933
PIT,2025,460,229,0.49782608695652175
SEA,2025,569,267,0.46924428822495606
SF,2025,513,192,0.3742690058479532
TB,2025,563,33,0.0586145648312611
TEN,2025,507,208,0.41025641025641024
WAS,2025,504,143,0.2837301587301587
