season,name,position,adp
2024,Courtland Sutton,WR,104.66611909650923
2024,Amari Cooper,WR,117.11663244353183
2024,Brian Thomas Jr.,WR,122.41601642710472
2024,Christian Kirk,WR,130.01971252566736
2024,Nick Chubb,RB,114.79815195071869
2024,Kareem Hunt,RB,125.54065708418891
2024,Austin Ekeler,RB,130.7570841889117
2024,Chuba Hubbard,RB,103.59322381930185
2024,Jonathon Brooks,RB,133.62731006160163
2024,David Njoku,TE,115.72068186485932
2024,Evan Engram,TE,123.37749024440336
2024,Brock Bowers,TE,66.22530293694804
2024,Sam LaPorta,TE,86.58882727459438
2024,Khalil Shakir,WR,130.68398357289527
2024,Ray-Ray McCloud III,WR,137.1905544147844
2024,Xavier Worthy,WR,121.77946611909651
2024,Tank Dell,WR,125.18829568788502
2024,Jordan Addison,WR,124.9523613963039
2024,Josh Downs,WR,138.2782340862423
2024,Jordan Love,QB,116.87954779033916
2024,Joe Burrow,QB,65.83884892086331
2024,Geno Smith,QB,136.7169578622816
2024,Sam Darnold,QB,134.91613566289826
2024,Jameson Williams,WR,127.04291581108829
2024,Tyler Lockett,WR,141.00616016427105
2024,Romeo Doubs,WR,145.17166324435317
2024,Jerry Jeudy,WR,139.23223819301847
2024,Bucky Irving,RB,117.53572895277208
2024,Zamir White,RB,145.5794661190965
2024,Chase Brown,RB,112.28049281314168
2024,Tyjae Spears,RB,148.4952772073922
2024,Braelon Allen,RB,150.2564681724846
2024,Tucker Kraft,TE,138.39104538919696
2024,Tyler Conklin,TE,152.49127130827685
2024,Quentin Johnston,WR,153.07227926078028
2024,Calvin Ridley,WR,139.0835728952772
2024,Xavier Legette,WR,154.51745379876797
2024,Keenan Allen,WR,139.28418891170432
2024,DeAndre Hopkins,WR,132.6094455852156
2024,Gabe Davis,WR,159.17782340862422
2024,Anthony Richardson,QB,148.99979445015416
2024,Daniel Jones,QB,160.26803699897226
2024,Baker Mayfield,QB,114.92887975334018
2024,Aaron Rodgers,QB,157.20739979445014
2024,Raheem Mostert,RB,152.66714579055443
2024,Justice Hill,RB,160.06570841889118
2024,Zach Charbonnet,RB,162.97289527720739
2024,Jordan Mason,RB,163.4322381930185
