player_id,name,position,team,adp,adp_formatted,times_drafted,high,low,stdev,bye
5896,Rashid Shaheed,WR,SEA,121.6,11.02,362,94,150,10.5,11
6523,Matthew Golden,WR,GB,121.9,11.02,552,92,149,11.1,11
5965,Blake Corum,RB,LAR,122.4,11.02,1044,82,162,15.5,11
5330,Jordan Mason,RB,MIN,122.7,11.03,732,82,151,15.5,6
1310,Detroit Defense,DEF,DET,127.5,11.08,40,108,173,16.3,6
6302,Jalen Coker,WR,CAR,127.8,11.08,249,103,148,9.3,5
2886,Baker Mayfield,QB,TB,128.9,11.09,333,101,150,10.3,10
5692,Tyjae Spears,RB,TEN,130.1,11.10,100,102,150,10.5,9
6774,KC Concepcion,WR,CLE,130.4,11.10,523,104,150,10.0,11
6162,Brandon Aubrey,PK,DAL,131.8,11.12,1364,71,184,23.2,14
2424,Jason Myers,PK,SEA,132.5,11.12,187,74,184,22.5,11
2866,Calvin Ridley,WR,TEN,132.6,12.01,188,107,150,9.6,9
2439,Alvin Kamara,RB,NO,133.7,12.02,352,86,174,18.3,8
1328,LA Rams Defense,DEF,LAR,133.7,12.02,870,86,180,18.2,11
5661,Isaiah Likely,TE,NYG,133.8,12.02,794,83,175,19.3,8
4861,Jerry Jeudy,WR,CLE,134.9,12.03,141,109,150,9.9,11
1318,New England Defense,DEF,NE,135.6,12.04,239,103,178,15.0,11
5977,Tre Tucker,WR,LV,136.7,12.05,112,112,151,9.3,13
2531,Ka'imi Fairbairn,PK,HOU,136.8,12.05,160,89,187,21.8,8
6577,Jayden Higgins,WR,HOU,137.1,12.05,274,108,167,10.9,8
5602,Tyler Shough,QB,NO,137.3,12.05,237,112,168,9.5,8
1323,Philadelphia Defense,DEF,PHI,137.5,12.06,319,93,180,17.0,10
6489,Theo Wease Jr.,WR,MIA,137.6,12.06,87,124,150,5.9,6
5677,Zach Charbonnet,RB,SEA,138.9,12.07,461,90,178,18.6,11
5561,Jake Ferguson,TE,DAL,140.7,12.09,419,84,175,21.8,14
2884,Sam Darnold,QB,SEA,142.3,12.10,116,110,179,12.2,11
5538,Cameron Dicker,PK,LAC,142.7,12.11,172,93,190,18.9,7
6835,Trey Smack,PK,GB,143.0,12.11,6,77,178,35.5,11
2872,Mark Andrews,TE,BAL,143.2,12.11,355,90,178,20.6,13
1325,LA Chargers Defense,DEF,LAC,144.3,12.12,203,110,180,15.5,7
6799,Jonah Coleman,RB,DEN,144.4,12.12,19,91,175,26.3,10
6332,Charlie Smyth,PK,NO,145.6,13.02,5,137,158,7.9,8
3299,Kyler Murray,QB,MIN,146.0,13.02,359,104,180,15.8,6
3264,Daniel Jones,QB,IND,146.2,13.02,92,113,177,14.5,13
5020,Jauan Jennings,WR,MIN,147.0,13.03,69,110,177,14.0,6
5337,Isiah Pacheco,RB,DET,147.4,13.03,200,96,179,19.5,6
5711,Tank Dell,WR,HOU,147.8,13.04,185,110,179,14.3,8
6529,Woody Marks,RB,HOU,148.2,13.04,151,107,175,15.6,8
6055,Jake Bates,PK,DET,148.5,13.05,115,110,191,15.8,6
6506,Oronde Gadsden,TE,LAC,149.6,13.06,5,114,210,41.3,7
1311,Green Bay Defense,DEF,GB,149.9,13.06,7,113,176,26.9,11
4892,Jordan Love,QB,GB,150.3,13.06,261,112,178,14.5,11
6282,Jalen McMillan,WR,TB,150.8,13.07,139,113,179,14.2,10
6299,Harrison Mevis,PK,LAR,150.8,13.07,54,117,172,15.0,11
1321,NY Jets Defense,DEF,NYJ,151.0,13.07,7,139,179,16.6,13
2977,Dalton Schultz,TE,HOU,151.9,13.08,10,118,193,25.4,8
5180,Rashod Bateman,WR,BAL,152.5,13.08,39,126,177,14.7,13
6557,Jaydon Blue,RB,DAL,153.1,13.09,30,42,207,42.5,14
3307,T.J. Hockenson,TE,MIN,153.3,13.09,23,90,209,30.6,6
5688,Dalton Kincaid,TE,BUF,153.4,13.09,194,102,186,19.5,7
6787,Ja'Kobi Lane,WR,BAL,154.3,13.10,12,105,187,24.0,13
6778,Denzel Boston,WR,CLE,154.6,13.11,150,110,180,17.0,11
4865,Chase McLaughlin,PK,TB,154.8,13.11,110,136,210,16.1,10
5691,Tank Bigsby,RB,PHI,155.1,13.11,60,111,201,17.6,10
1324,Pittsburgh Defense,DEF,PIT,155.3,13.11,292,115,187,15.4,9
6276,Tyrone Tracy Jr.,RB,NYG,155.6,13.12,186,114,180,15.9,8
6287,Malik Washington,WR,MIA,156.1,13.12,98,110,201,18.2,6
2335,Cairo Santos,PK,CHI,156.2,13.12,46,116,178,16.4,10
3097,Eddy Piñeiro,PK,SF,156.9,14.01,90,134,191,14.4,8
6197,Ray Davis,RB,BUF,157.1,14.01,18,109,177,18.1,7
6777,De'Zhaun Stribling,WR,SF,157.2,14.01,118,112,202,17.1,8
6789,Antonio Williams,WR,WAS,157.6,14.02,52,134,179,11.4,7
1330,Tennessee Defense,DEF,TEN,157.8,14.02,159,121,206,14.1,9
5151,Juwan Johnson,TE,NO,158.9,14.03,42,98,189,23.2,8
1334,Atlanta Defense,DEF,ATL,158.9,14.03,159,121,190,14.4,11
2354,Hunter Henry,TE,NE,159.0,14.03,46,110,200,22.1,11
6773,Kenyon Sadiq,TE,NYJ,159.1,14.03,36,119,197,16.5,13
5545,Malik Willis,QB,MIA,159.2,14.03,121,122,188,14.1,6
5982,Keaton Mitchell,RB,LAC,159.4,14.03,51,97,204,23.8,7
383,Nick Folk,PK,ATL,159.9,14.04,60,137,193,14.3,11
6517,Jordan James,RB,SF,160.1,14.04,8,133,201,22.3,8
6296,Will Reichard,PK,MIN,160.3,14.04,63,132,210,18.1,6
6803,Mike Washington Jr.,RB,LV,160.4,14.04,7,144,178,13.0,13
6184,Adonai Mitchell,WR,NYJ,160.5,14.04,22,139,180,13.5,13
2449,Cooper Kupp,WR,SEA,160.7,14.05,89,119,180,15.7,11
5334,Jalen Nailor,WR,LV,160.8,14.05,100,126,180,13.0,13
6511,Dylan Sampson,RB,CLE,161.0,14.05,33,126,181,15.4,11
6188,Cam Little,PK,JAX,161.3,14.05,206,114,209,18.2,7
5676,C.J. Stroud,QB,HOU,162.0,14.06,81,127,180,13.4,8
6587,Tyler Loop,PK,BAL,162.1,14.06,96,121,194,15.7,13
2514,Harrison Butker,PK,KC,162.5,14.06,131,117,210,17.5,5
6798,Kaelon Black,RB,SF,163.2,14.07,11,131,177,14.1,8
6563,Travis Hunter,WR,JAX,163.2,14.07,68,124,199,15.4,7
2522,Wil Lutz,PK,DEN,163.3,14.07,25,137,209,18.3,10
5655,Tyler Allgeier,RB,ARI,163.4,14.07,112,103,208,22.9,14
5453,Chig Okonkwo,TE,WAS,163.5,14.08,50,123,207,17.6,7
6828,Cyrus Allen,WR,KC,163.7,14.08,12,148,180,13.7,5
1308,Dallas Defense,DEF,DAL,164.0,14.08,42,112,180,20.2,14
6815,Nicholas Singleton,RB,TEN,164.0,14.08,5,143,174,13.2,9
5717,Chris Rodriguez Jr.,RB,JAX,164.1,14.08,107,114,206,19.1,7
3266,Justice Hill,RB,BAL,165.2,14.09,31,156,179,8.0,13
6290,AJ Barner,TE,SEA,165.8,14.10,5,153,180,11.1,11
2365,Jacoby Brissett,QB,ARI,166.0,14.10,12,139,208,19.3,14
2441,Samaje Perine,RB,CIN,166.1,14.10,7,116,181,24.5,6
6263,Kimani Vidal,RB,LAC,166.2,14.10,11,136,180,13.8,7
5985,Brenton Strange,TE,JAX,166.3,14.10,77,120,194,17.4,7
4886,AJ Dillon,RB,CAR,166.4,14.10,10,126,182,16.6,5
1303,Buffalo Defense,DEF,BUF,166.4,14.10,247,124,210,16.2,7
6775,Omar Cooper Jr.,WR,NYJ,166.5,14.10,64,130,180,13.8,13
5669,Evan McPherson,PK,CIN,166.7,14.11,71,114,210,20.1,6
5605,Brian Robinson,RB,ATL,166.9,14.11,28,120,204,22.0,11
2340,Chris Boswell,PK,PIT,167.5,14.12,28,113,208,20.7,9
1320,NY Giants Defense,DEF,NYG,167.9,14.12,17,113,209,26.8,8
6779,Germie Bernard,WR,PIT,168.0,14.12,14,147,180,11.8,9
1314,Jacksonville Defense,DEF,JAX,168.0,14.12,18,144,181,12.0,7
6080,Emari Demercado,RB,KC,168.3,14.12,6,157,180,8.1,5
1332,Baltimore Defense,DEF,BAL,168.5,14.12,130,120,210,18.4,13
6767,Fernando Mendoza,QB,LV,169.1,15.01,12,125,209,21.8,13
6205,Tory Horton,WR,SEA,169.4,15.01,7,156,193,16.0,11
1326,San Francisco Defense,DEF,SF,169.8,15.02,12,138,204,15.2,8
1331,Washington Defense,DEF,WAS,171.7,15.04,10,154,189,9.3,7
1319,New Orleans Defense,DEF,NO,171.8,15.04,154,137,210,13.2,8
1004,Aaron Rodgers,QB,PIT,172.0,15.04,11,157,189,9.6,9
5036,Tyler Bass,PK,BUF,172.0,15.04,13,143,203,15.3,7
1307,Cleveland Defense,DEF,CLE,172.4,15.04,49,127,210,22.4,11
1305,Chicago Defense,DEF,CHI,172.6,15.05,17,142,204,15.0,10
