adp,adp_formatted,bye,high,low,name,player_id,position,stdev,team,times_drafted
148.8,13.05,11,116,174,New England Defense,1318,DEF,12.2,NE,331
149.0,13.05,5,106,179,Terrace Marshall Jr.,5183,WR,16.4,CAR,276
149.1,13.05,13,93,196,Zach Wilson,5198,QB,24.8,NYJ,101
149.7,13.06,11,91,189,Hunter Henry,2354,TE,22.3,NE,332
150.0,13.06,11,117,177,Cleveland Defense,1307,DEF,12.4,CLE,207
150.2,13.06,7,114,181,Tyler Bass,5036,PK,13.8,BUF,223
150.3,13.06,5,112,184,Darrel Williams,3091,RB,15.6,KC,266
150.9,13.07,8,88,200,Evan Engram,2451,TE,24.2,NYG,181
150.9,13.07,7,108,182,Cole Beasley,1970,WR,16.4,BUF,268
151.9,13.08,8,99,194,Adam Trautman,5021,TE,20.2,NO,78
154.2,13.10,8,109,180,Mark Ingram II,1800,RB,17.2,NO,132
154.6,13.11,7,113,197,Justin Jackson,2970,RB,26.7,LAC,61
154.8,13.11,10,118,184,Kenny Gainwell,5196,RB,14.0,PHI,127
154.9,13.11,14,115,186,Matt Prater,1390,PK,15.0,ARI,152
155.0,13.11,7,105,210,Jared Cook,1658,TE,19.2,LAC,70
155.3,13.11,7,121,188,Buffalo Defense,1303,DEF,13.0,BUF,377
155.5,13.11,8,113,190,Devontae Booker,2378,RB,16.0,NYG,73
156.6,14.01,14,102,189,A.J. Green,1795,WR,20.9,ARI,96
156.6,14.01,11,108,201,Gerald Everett,2464,TE,18.5,SEA,240
157.1,14.01,14,82,210,Zach Ertz,1978,TE,28.8,ARI,79
157.3,14.01,9,95,210,Pat Freiermuth,5193,TE,23.8,PIT,116
157.4,14.01,11,115,209,Mac Jones,5211,QB,24.5,NE,80
158.2,14.02,6,118,208,Miami Defense,1316,DEF,21.4,MIA,110
158.5,14.03,6,120,202,Amon-Ra St. Brown,5182,WR,14.7,DET,167
158.8,14.03,8,113,180,Tony Jones,5150,RB,17.6,NO,87
158.8,14.03,13,116,194,Marlon Mack,2469,RB,16.4,IND,44
159.2,14.03,11,139,195,Mason Crosby,251,PK,13.7,GB,177
159.7,14.04,11,112,184,Randall Cobb,1806,WR,18.2,GB,105
159.7,14.04,5,103,209,Jerick McKinnon,2140,RB,21.7,KC,64
159.8,14.04,10,123,191,Denver Defense,1309,DEF,13.8,DEN,417
160.0,14.04,6,130,207,Tyrell Williams,2483,WR,21.3,DET,42
160.6,14.05,6,108,180,Tua Tagovailoa,4890,QB,20.0,MIA,174
