name,team,position,adp,stdev,tier,mu_hat,n_eff,m_hat,B,pi,sig,theta_bar,shift,post_SD,rank,mkt_rank
Omarion Hampton,LAC,RB,21.3,4.1,soph,15.077777777777776,1.0,14.48335307918446,0.8064887327080991,14.59838095591886,8.087792038404505,15.959676191183773,1.3612952352649135,0.899321524172779,17,21
Ashton Jeanty,LV,RB,15.1,3.0,soph,14.41764705882353,1.0,16.190543020377497,0.8064887327080991,15.847467676080496,8.087792038404505,15.847467676080496,0.0,2.010944061679054,18,16
Saquon Barkley,PHI,RB,20.2,3.6,vet,16.724331142713496,2.9766536964980546,14.48335307918446,0.5705574978420087,15.44572430606754,7.913078293153824,15.717862153033769,0.27213784696622945,1.4065097131866726,19,20
A.J. Brown,NE,WR,17.3,2.9,vet,16.283783478564047,2.953488372093023,15.258774295026134,0.6207791150229675,15.647479184716968,5.956804714567722,15.647479184716968,0.0,1.7258048433365405,20,17
George Pickens,DAL,WR,19.6,2.7,vet,14.679516806722688,2.6470588235294117,15.258774295026134,0.6462038944829394,15.05383525157278,5.956804714567722,15.52691762578639,0.473082374213611,1.220328307727855,21,19
Nico Collins,HOU,WR,21.7,3.0,vet,15.530952380952382,2.8181818181818183,15.258774295026134,0.6317546130769396,15.359002619590022,5.956804714567722,15.359002619590024,1.7763568394002505e-15,1.7258048433365405,22,22
Chris Olave,NO,WR,21.9,3.1,vet,15.070611111111113,2.6470588235294117,15.258774295026134,0.6462038944829394,15.192202893355308,5.956804714567722,15.192202893355308,0.0,1.7258048433365405,23,23
Davante Adams,LAR,WR,41.2,4.4,vet,16.807252616496957,2.9985355137905785,14.121116510466548,0.6172092103455751,15.14934467161319,5.956804714567722,15.14934467161319,0.0,1.7258048433365405,24,39
Kyren Williams,LAR,RB,31.9,4.3,vet,15.926058823529411,2.6470588235294117,14.387153529204111,0.5990423993652927,15.004189303620832,7.913078293153824,15.004189303620832,0.0,1.9891051119980843,25,32
Josh Jacobs,GB,RB,31.1,4.4,vet,16.11477060842508,2.953488372093023,14.387153529204111,0.5724707331543313,15.125760392473508,7.913078293153824,14.886608313978806,-0.23915207849470121,1.7791096979280197,26,31
Tee Higgins,CIN,WR,36.0,4.5,vet,15.041179138321995,2.9076923076923076,14.61763665901109,0.6244509526839487,14.77669763361418,5.956804714567722,14.77669763361418,0.0,1.7258048433365405,27,35
Cam Skattebo,NYG,RB,34.7,4.1,soph,17.82857142857143,1.0,14.387153529204111,0.8064887327080991,15.053106668191711,8.087792038404505,14.736553334095854,-0.3165533340958575,1.421952182600078,28,34
Tetairoa McMillan,CAR,WR,33.4,3.6,soph,12.552941176470588,1.0,14.61763665901109,0.8299991366179679,14.266636644358224,5.519659526545828,14.73331832217911,0.4666816778208869,1.1746977831069816,29,33
Kenneth Walker,KC,RB,23.4,3.9,vet,13.08556387403446,2.6470588235294117,14.48335307918446,0.5990423993652927,13.922898873294423,7.913078293153824,14.526449436647212,0.6035505633527887,1.4065097131866726,30,24
Malik Nabers,NYG,WR,27.8,4.1,vet,15.59666666666667,1.8,14.61763665901109,0.7287039305478349,14.883243651963772,5.956804714567722,14.441621825981887,-0.44162182598188515,1.220328307727855,31,27
Garrett Wilson,NYJ,WR,27.2,3.3,vet,14.05036414565826,2.6470588235294117,14.61763665901109,0.6462038944829394,14.416937853019984,5.956804714567722,14.416937853019986,1.7763568394002505e-15,1.7258048433365405,32,26
Breece Hall,NYJ,RB,29.5,3.1,vet,14.311621848739495,2.6470588235294117,14.387153529204111,0.5990423993652927,14.356868527833113,7.913078293153824,14.356868527833113,0.0,1.9891051119980843,33,30
Zay Flowers,BAL,WR,24.4,3.1,vet,13.793508403361344,2.3333333333333335,14.61763665901109,0.6744860315109984,14.349371399970623,5.956804714567722,14.349371399970622,-1.7763568394002505e-15,1.7258048433365405,34,25
Emeka Egbuka,TB,WR,37.1,5.1,soph,11.511764705882351,1.0,14.61763665901109,0.8299991366179679,14.089635745425166,5.519659526545828,14.344817872712584,0.2551821272874175,1.1746977831069816,35,36
DeVonta Smith,PHI,WR,28.4,3.6,vet,13.246547949204496,2.8181818181818183,14.61763665901109,0.6317546130769396,14.11273956656252,5.956804714567722,14.270191653250015,0.15745208668749378,1.5436067782395517,36,28
Javonte Williams,DAL,RB,37.9,4.9,vet,13.04213788741303,2.8181818181818183,14.387153529204111,0.5839072368801086,13.827502254371788,7.913078293153824,14.123751127185894,0.2962488728141057,1.4065097131866726,37,37
Jeremiyah Love,ARI,RB,28.9,4.3,rookie,,0.0,14.387153529204111,1.0,14.387153529204111,7.341232830602354,13.893576764602056,-0.49357676460205546,1.3547354751576368,38,29
Ladd McConkey,LAC,WR,39.0,5.2,vet,12.55625,1.8,14.121116510466548,0.7287039305478349,13.69657437695965,5.956804714567722,13.69657437695965,0.0,1.7258048433365405,39,38
Mike Evans,SF,WR,53.4,6.7,vet,13.662406955944771,2.9985355137905785,12.345496916178542,0.6172092103455751,12.849597950204496,5.956804714567722,13.43979897510225,0.5902010248977536,1.220328307727855,40,49
DJ Moore,BUF,WR,50.3,6.1,vet,12.27039600153787,2.9766536964980546,12.345496916178542,0.6189381623258323,12.316878823634555,5.956804714567722,13.248439411817277,0.9315605881827214,1.220328307727855,41,47
Rome Odunze,CHI,WR,49.1,5.2,vet,10.957843137254905,1.8,12.345496916178542,0.7287039305478349,11.969031900196114,5.956804714567722,12.964515950098058,0.9954840499019433,1.220328307727855,42,46
