name,team,adp,position,curve,out_of_support,board_value,post_SD,pi,sd,value_final,view
Makai Lemon,PHI,106.4,WR,10.169649826735766,False,10.169649826735766,3.3797501259033287,10.169649826735766,3.3797501259033287,10.169649826735766,0.0
Romeo Doubs,NE,111.1,WR,10.169649826735766,False,10.169649826735766,2.5473867911679027,10.169649826735766,2.5473867911679027,10.169649826735766,0.0
John Metchie III,CAR,116.3,WR,10.169649826735766,False,10.169649826735766,2.6097074742806288,10.169649826735766,2.6097074742806288,10.169649826735766,0.0
Ricky Pearsall,SF,118.3,WR,10.169649826735766,False,10.169649826735766,2.7270354839591304,10.169649826735766,2.7270354839591304,10.169649826735764,-1.7763568394002505e-15
Rashid Shaheed,SEA,119.0,WR,10.169649826735766,False,10.169649826735766,2.5473867911679027,10.169649826735766,2.5473867911679027,10.169649826735766,0.0
Matthew Golden,GB,119.9,WR,10.169649826735766,False,10.169649826735766,2.7558578383878753,10.169649826735766,2.7558578383878753,10.169649826735766,0.0
Jalen Coker,CAR,126.1,WR,10.169649826735766,False,10.169649826735766,2.7270354839591304,10.169649826735766,2.7270354839591304,10.169649826735764,-1.7763568394002505e-15
KC Concepcion,CLE,129.2,WR,10.169649826735766,False,10.169649826735766,3.3797501259033287,10.169649826735766,3.3797501259033287,10.169649826735766,0.0
Calvin Ridley,TEN,130.2,WR,10.169649826735766,False,10.169649826735766,2.547620688400818,10.169649826735766,2.547620688400818,10.169649826735766,0.0
Jerry Jeudy,CLE,133.6,WR,10.169649826735766,False,10.169649826735766,2.4988743491945176,10.169649826735766,2.4988743491945176,10.169649826735766,0.0
Jayden Higgins,HOU,135.6,WR,10.169649826735766,False,,,10.169649826735766,2.5473867911679027,10.169649826735766,0.0
Tre Tucker,LV,136.2,WR,10.169649826735766,False,,,10.169649826735766,2.5473867911679027,10.169649826735766,0.0
Theo Wease Jr.,MIA,136.5,WR,10.169649826735766,False,,,10.169649826735766,2.5473867911679027,10.169649826735766,0.0
Jauan Jennings,MIN,140.9,WR,10.169649826735766,False,,,10.169649826735766,2.5473867911679027,10.169649826735766,0.0
Jalen McMillan,TB,143.8,WR,10.009144774160418,False,,,10.009144774160418,2.5473867911679027,10.009144774160418,0.0
Ja'Kobi Lane,BAL,146.4,WR,9.338003994797472,False,,,9.338003994797472,2.5473867911679027,9.338003994797472,0.0
Rashod Bateman,BAL,148.2,WR,9.338003994797472,False,,,9.338003994797472,2.5473867911679027,9.338003994797472,0.0
Tank Dell,HOU,153.1,WR,9.338003994797472,False,,,9.338003994797472,2.5473867911679027,9.338003994797472,0.0
Denzel Boston,CLE,154.9,WR,9.338003994797472,False,,,9.338003994797472,2.5473867911679027,9.338003994797472,0.0
Malik Washington,MIA,155.7,WR,9.338003994797472,False,,,9.338003994797472,2.5473867911679027,9.338003994797472,0.0
De'Zhaun Stribling,SF,156.9,WR,9.338003994797472,False,,,9.338003994797472,2.5473867911679027,9.338003994797472,0.0
Antonio Williams,WAS,156.9,WR,9.338003994797472,False,,,9.338003994797472,2.5473867911679027,9.338003994797472,0.0
Jalen Nailor,LV,159.5,WR,8.413288726154798,False,,,8.413288726154798,2.5473867911679027,8.413288726154798,0.0
Cooper Kupp,SEA,159.7,WR,8.413288726154798,False,,,8.413288726154798,2.5473867911679027,8.413288726154798,0.0
Adonai Mitchell,NYJ,160.7,WR,8.413288726154798,False,,,8.413288726154798,2.5473867911679027,8.413288726154798,0.0
Isaac TeSlaa,DET,163.0,WR,8.413288726154798,False,,,8.413288726154798,2.5473867911679027,8.413288726154798,0.0
Travis Hunter,JAX,163.8,WR,8.413288726154798,False,,,8.413288726154798,2.5473867911679027,8.413288726154798,0.0
Germie Bernard,PIT,164.9,WR,8.115833333333333,False,,,8.115833333333333,2.5473867911679027,8.115833333333333,0.0
Cyrus Allen,KC,166.3,WR,8.115833333333333,False,,,8.115833333333333,2.5473867911679027,8.115833333333333,0.0
Omar Cooper Jr.,NYJ,168.2,WR,7.737402755974185,False,,,7.737402755974185,2.5473867911679027,7.737402755974184,-8.881784197001252e-16
Tory Horton,SEA,169.3,WR,7.737402755974185,False,,,7.737402755974185,2.5473867911679027,7.737402755974184,-8.881784197001252e-16
Kayshon Boutte,NE,169.6,WR,7.737402755974185,False,,,7.737402755974185,2.5473867911679027,7.737402755974184,-8.881784197001252e-16
Zachariah Branch,ATL,172.5,WR,7.737402755974185,True,,,7.737402755974185,2.5473867911679027,7.737402755974184,-8.881784197001252e-16
Dontayvion Wicks,PHI,174.3,WR,7.737402755974185,True,,,7.737402755974185,2.5473867911679027,7.737402755974184,-8.881784197001252e-16
Ryan Flournoy,DAL,176.7,WR,7.737402755974185,True,,,7.737402755974185,2.5473867911679027,7.737402755974184,-8.881784197001252e-16
Christian Kirk,SF,178.4,WR,7.737402755974185,True,,,7.737402755974185,2.5473867911679027,7.737402755974184,-8.881784197001252e-16
Darnell Mooney,NYG,178.5,WR,7.737402755974185,True,,,7.737402755974185,2.5473867911679027,7.737402755974184,-8.881784197001252e-16
Tyquan Thornton,KC,178.9,WR,7.737402755974185,True,,,7.737402755974185,2.5473867911679027,7.737402755974184,-8.881784197001252e-16
Jahmyr Gibbs,DET,1.6,RB,19.40125646412411,False,19.40125646412411,2.6352914885520216,19.40125646412411,2.6352914885520216,20.20025129282482,0.7989948287007103
Bijan Robinson,ATL,2.0,RB,19.40125646412411,False,19.40125646412411,2.6352914885520216,19.40125646412411,2.6352914885520216,19.40125646412411,0.0
Christian McCaffrey,SF,5.3,RB,18.801468895250412,False,18.801468895250412,2.4959778027520705,18.801468895250412,2.4959778027520705,19.00117511620033,0.19970622094991697
Jonathan Taylor,IND,7.5,RB,16.783941579810566,False,16.783941579810566,2.5119402434091533,16.783941579810566,2.5119402434091533,17.181970789905282,0.39802921009471603
De'Von Achane,MIA,9.4,RB,16.783941579810566,False,16.783941579810566,2.6352914885520216,16.783941579810566,2.6352914885520216,16.391970789905283,-0.3919707899052831
Chase Brown,CIN,12.2,RB,16.783941579810566,False,16.783941579810566,2.6352914885520216,16.783941579810566,2.6352914885520216,16.78394157981057,3.552713678800501e-15
Ashton Jeanty,LV,14.1,RB,15.781450991037447,False,15.781450991037447,3.38266902990673,15.781450991037447,3.38266902990673,14.540725495518725,-1.2407254955187224
James Cook III,BUF,15.1,RB,15.48991409805029,False,15.48991409805029,2.5657254701148773,15.48991409805029,2.5657254701148773,16.19495704902514,0.7050429509748515
Derrick Henry,BAL,16.1,RB,15.48991409805029,False,15.48991409805029,2.494832735158614,15.48991409805029,2.494832735158614,15.48991409805029,0.0
Saquon Barkley,PHI,18.7,RB,15.48991409805029,False,15.48991409805029,2.4982659696242853,15.48991409805029,2.4982659696242853,15.739957049025145,0.25004295097485496
Omarion Hampton,LAC,19.8,RB,14.434106455309395,False,14.434106455309395,3.38266902990673,14.434106455309395,3.38266902990673,15.92682129106188,1.4927148357524853
Josh Jacobs,GB,24.6,RB,14.434106455309395,False,14.434106455309395,2.5028344559234483,14.434106455309395,2.5028344559234483,14.067285164247517,-0.36682129106187844
