k,name,position,espn_adp,ffc_adp,ffc_equiv,pool
aj brown,A.J. Brown,WR,27.19,17.5,21.905821305289546,matched
chris olave,Chris Olave,WR,35.41,20.1,22.31095833317905,matched
george pickens,George Pickens,WR,28.15,21.6,22.31095833317905,matched
breece hall,Breece Hall,RB,38.43,28.3,30.973698519873267,matched
javonte williams,Javonte Williams,RB,38.91,36.7,33.76254598473099,matched
malik nabers,Malik Nabers,WR,37.87,33.9,30.973698519873267,matched
tetairoa mcmillan,Tetairoa McMillan,WR,41.28,33.9,33.76254598473099,matched
zay flowers,Zay Flowers,WR,42.46,26.6,33.76254598473099,matched
devonta smith,DeVonta Smith,WR,39.45,29.1,33.76254598473099,matched
josh allen,Josh Allen,QB,22.57,26.7,21.077558739681454,matched
kyren williams,Kyren Williams,RB,42.54,32.2,33.76254598473099,matched
travis etienne,Travis Etienne Jr.,RB,50.15,37.1,49.702296406664395,matched
cam skattebo,Cam Skattebo,RB,42.95,30.6,33.76254598473099,matched
quinshon judkins,Quinshon Judkins,RB,54.8,49.8,51.063132301542794,matched
bucky irving,Bucky Irving,RB,56.04,42.8,51.063132301542794,matched
emeka egbuka,Emeka Egbuka,WR,44.63,33.7,33.76254598473099,matched
davante adams,Davante Adams,WR,47.5,41.2,49.702296406664395,matched
ladd mcconkey,Ladd McConkey,WR,52.8,44.2,51.063132301542794,matched
terry mclaurin,Terry McLaurin,WR,62.08,42.6,51.063132301542794,matched
tee higgins,Tee Higgins,WR,58.06,39.2,51.063132301542794,matched
jaylen waddle,Jaylen Waddle,WR,60.59,48.8,51.063132301542794,matched
jameson williams,Jameson Williams,WR,67.3,45.8,59.24211636071694,matched
colston loveland,Colston Loveland,TE,45.37,60.8,49.702296406664395,matched
tyler warren,Tyler Warren,TE,47.06,65.8,49.702296406664395,matched
carnell tate,Carnell Tate,WR,69.62,76.4,59.24211636071694,matched
rome odunze,Rome Odunze,WR,72.31,49.7,59.24211636071694,matched
luther burden,Luther Burden III,WR,77.29,53.4,69.67356531621753,matched
dj moore,DJ Moore,WR,71.14,51.3,59.24211636071694,matched
jayden daniels,Jayden Daniels,QB,51.08,71.3,51.063132301542794,matched
lamar jackson,Lamar Jackson,QB,39.28,52.8,33.76254598473099,matched
drake maye,Drake Maye,QB,47.91,49.6,49.702296406664395,matched
jalen hurts,Jalen Hurts,QB,53.68,74.6,51.063132301542794,matched
treveyon henderson,TreVeyon Henderson,RB,71.52,55.7,59.24211636071694,matched
bhayshul tuten,Bhayshul Tuten,RB,79.78,51.2,69.67356531621753,matched
dandre swift,D'Andre Swift,RB,72.71,44.4,59.24211636071694,matched
david montgomery,David Montgomery,RB,75.84,63.6,69.67356531621753,matched
jadarian price,Jadarian Price,RB,81.21,64.5,69.67356531621753,matched
tony pollard,Tony Pollard,RB,90.64,63.5,73.52284750866616,matched
courtland sutton,Courtland Sutton,WR,85.87,59.8,73.52284750866616,matched
michael pittman,Michael Pittman Jr.,WR,91.18,72.2,73.52284750866616,matched
alec pierce,Alec Pierce,WR,97.81,55.5,79.10274419252515,matched
marvin harrison,Marvin Harrison Jr.,WR,92.05,63.9,79.10274419252515,matched
dk metcalf,DK Metcalf,WR,88.1,65.1,73.52284750866616,matched
jordyn tyson,Jordyn Tyson,WR,98.52,85.6,88.557584133917,matched
kyle pitts,Kyle Pitts Sr.,TE,65.97,78.5,59.24211636071694,matched
harold fannin,Harold Fannin Jr.,TE,76.81,81.5,69.67356531621753,matched
sam laporta,Sam LaPorta,TE,66.41,87.6,59.24211636071694,matched
joe burrow,Joe Burrow,QB,60.01,57.8,51.063132301542794,matched
jaxson dart,Jaxson Dart,QB,75.7,104.3,69.67356531621753,matched
mike evans,Mike Evans,WR,97.31,60.0,79.10274419252515,matched
parker washington,Parker Washington,WR,102.64,75.4,88.557584133917,matched
christian watson,Christian Watson,WR,102.0,68.7,88.557584133917,matched
matthew golden,Matthew Golden,WR,107.19,119.9,95.29858764645077,matched
michael wilson,Michael Wilson,WR,106.29,87.8,95.29858764645077,matched
brian thomas,Brian Thomas Jr.,WR,106.17,83.0,95.29858764645077,matched
trevor lawrence,Trevor Lawrence,QB,95.89,90.4,79.10274419252515,matched
dak prescott,Dak Prescott,QB,87.96,67.3,73.52284750866616,matched
bo nix,Bo Nix,QB,91.22,119.7,79.10274419252515,matched
brock purdy,Brock Purdy,QB,105.49,80.1,88.557584133917,matched
matthew stafford,Matthew Stafford,QB,79.04,83.6,69.67356531621753,matched
caleb williams,Caleb Williams,QB,92.7,106.4,79.10274419252515,matched
jakobi meyers,Jakobi Meyers,WR,117.42,76.1,100.27302497070912,matched
wandale robinson,Wan'Dale Robinson,WR,117.66,70.9,100.27302497070912,matched
travis hunter,Travis Hunter,WR,117.02,163.8,100.27302497070912,matched
makai lemon,Makai Lemon,WR,117.84,106.4,100.27302497070912,matched
josh downs,Josh Downs,WR,123.45,92.4,100.27302497070912,matched
jordan addison,Jordan Addison,WR,123.58,102.8,100.27302497070912,matched
justin herbert,Justin Herbert,QB,109.68,108.5,95.29858764645077,matched
patrick mahomes,Patrick Mahomes,QB,108.91,96.2,95.29858764645077,matched
jaylen warren,Jaylen Warren,RB,104.7,67.2,88.557584133917,matched
rhamondre stevenson,Rhamondre Stevenson,RB,112.39,72.2,95.29858764645077,matched
rico dowdle,Rico Dowdle,RB,110.79,71.3,95.29858764645077,matched
kenny gainwell,Kenny Gainwell,RB,123.26,89.6,100.27302497070912,matched
chuba hubbard,Chuba Hubbard,RB,115.02,74.7,100.27302497070912,matched
aaron jones,Aaron Jones Sr.,RB,123.48,89.4,100.27302497070912,matched
george kittle,George Kittle,TE,98.1,121.0,88.557584133917,matched
tucker kraft,Tucker Kraft,TE,100.26,110.6,88.557584133917,matched
dallas goedert,Dallas Goedert,TE,101.74,105.3,88.557584133917,matched
travis kelce,Travis Kelce,TE,101.97,99.6,88.557584133917,matched
rachaad white,Rachaad White,RB,128.41,98.0,100.27302497070912,matched
jonathon brooks,Jonathon Brooks,RB,129.66,112.2,112.20000000000005,matched
jk dobbins,J.K. Dobbins,RB,124.82,91.4,100.27302497070912,matched
rj harvey,RJ Harvey,RB,129.54,83.1,100.27302497070912,matched
jake ferguson,Jake Ferguson,TE,112.55,141.1,100.27302497070912,matched
mark andrews,Mark Andrews,TE,123.29,138.6,100.27302497070912,matched
tj hockenson,T.J. Hockenson,TE,133.75,153.1,119.44739385910853,matched
khalil shakir,Khalil Shakir,WR,136.94,101.1,119.44739385910853,matched
jayden reed,Jayden Reed,WR,140.82,92.5,119.44739385910853,matched
xavier worthy,Xavier Worthy,WR,137.09,104.4,119.44739385910853,matched
kyle monangai,Kyle Monangai,RB,133.34,100.1,119.44739385910853,matched
kenyon sadiq,Kenyon Sadiq,TE,136.44,159.6,119.44739385910853,matched
isaiah likely,Isaiah Likely,TE,129.95,139.2,119.44739385910853,matched
dalton kincaid,Dalton Kincaid,TE,137.02,153.4,119.44739385910853,matched
hunter henry,Hunter Henry,TE,142.83,158.1,119.44739385910853,matched
jacory croskey merritt,Jacory Croskey-Merritt,RB,142.15,113.3,119.44739385910853,matched
blake corum,Blake Corum,RB,140.54,121.7,119.44739385910853,matched
woody marks,Woody Marks,RB,151.59,144.7,135.10610400190234,matched
zach charbonnet,Zach Charbonnet,RB,150.08,139.1,135.10610400190234,matched
quentin johnston,Quentin Johnston,WR,144.43,95.2,119.44739385910853,matched
kc concepcion,KC Concepcion,WR,150.64,129.2,135.10610400190234,matched
deebo samuel,Deebo Samuel Sr.,WR,136.19,97.7,119.44739385910853,matched
stefon diggs,Stefon Diggs,WR,140.67,88.1,119.44739385910853,matched
chris godwin,Chris Godwin Jr.,WR,147.64,88.1,119.44739385910853,matched
romeo doubs,Romeo Doubs,WR,152.2,111.1,135.10610400190234,matched
jayden higgins,Jayden Higgins,WR,159.3,135.6,135.59999999999994,matched
jalen coker,Jalen Coker,WR,160.38,126.1,141.08998199775561,matched
jerry jeudy,Jerry Jeudy,WR,161.59,133.6,141.08998199775561,matched
kyler murray,Kyler Murray,QB,150.52,145.0,135.10610400190234,matched
tyler shough,Tyler Shough,QB,155.18,136.7,135.10610400190234,matched
jared goff,Jared Goff,QB,139.68,105.4,119.44739385910853,matched
daniel jones,Daniel Jones,QB,159.99,158.5,141.08998199775561,matched
jordan mason,Jordan Mason,RB,156.93,122.3,135.10610400190234,matched
alvin kamara,Alvin Kamara,RB,156.69,132.8,135.10610400190234,matched
isiah pacheco,Isiah Pacheco,RB,158.0,148.9,135.10610400190234,matched
chris rodriguez,Chris Rodriguez Jr.,RB,168.24,160.6,155.6492201029886,matched
brian robinson,Brian Robinson Jr.,RB,166.61,164.9,155.6492201029886,matched
tank bigsby,Tank Bigsby,RB,167.58,155.6,155.6492201029886,matched
rashid shaheed,Rashid Shaheed,WR,158.24,119.0,135.10610400190234,matched
jalen mcmillan,Jalen McMillan,WR,167.38,143.8,155.6492201029886,matched
calvin ridley,Calvin Ridley,WR,167.2,130.2,155.6492201029886,matched
denzel boston,Denzel Boston,WR,166.64,154.9,155.6492201029886,matched
baker mayfield,Baker Mayfield,QB,149.31,128.1,135.10610400190234,matched
malik willis,Malik Willis,QB,167.16,159.9,155.6492201029886,matched
tre tucker,Tre Tucker,WR,168.28,136.2,155.6492201029886,matched
tyrone tracy,Tyrone Tracy Jr.,RB,167.44,156.1,155.6492201029886,matched
juwan johnson,Juwan Johnson,TE,164.21,160.3,155.6492201029886,matched
tank dell,Tank Dell,WR,167.91,153.1,155.6492201029886,matched
tyjae spears,Tyjae Spears,RB,168.51,126.9,155.6492201029886,matched
brandon aubrey,Brandon Aubrey,PK,84.48,131.5,73.52284750866616,matched
cameron dicker,Cameron Dicker,PK,105.93,144.9,95.29858764645077,matched
jason myers,Jason Myers,PK,116.17,133.9,100.27302497070912,matched
harrison mevis,Harrison Mevis,PK,131.19,152.4,119.44739385910853,matched
kaimi fairbairn,Ka'imi Fairbairn,PK,133.83,138.1,119.44739385910853,matched
harrison butker,Harrison Butker,PK,148.69,162.7,135.10610400190234,matched
cam little,Cam Little,PK,136.07,164.4,119.44739385910853,matched
jake bates,Jake Bates,PK,154.48,145.5,135.10610400190234,matched
tyler loop,Tyler Loop,PK,163.17,159.4,155.6492201029886,matched
cairo santos,Cairo Santos,PK,167.07,154.6,155.6492201029886,matched
will reichard,Will Reichard,PK,166.03,165.3,155.6492201029886,matched
brenton strange,Brenton Strange,TE,167.65,163.8,155.6492201029886,matched
jordan love,Jordan Love,QB,159.42,148.4,141.08998199775561,matched
cam ward,Cam Ward,QB,167.46,171.3,155.6492201029886,matched
cj stroud,C.J. Stroud,QB,166.01,159.3,155.6492201029886,matched
pat freiermuth,Pat Freiermuth,TE,168.87,152.0,155.8024390052992,matched
dalton schultz,Dalton Schultz,TE,167.6,157.6,155.6492201029886,matched
chig okonkwo,Chig Okonkwo,TE,168.95,164.8,164.80000000000004,matched
sam darnold,Sam Darnold,QB,163.16,140.1,155.45819373709452,matched
bryce young,Bryce Young,QB,168.29,177.1,155.6492201029886,matched
fernando mendoza,Fernando Mendoza,QB,166.99,168.6,155.6492201029886,matched
cooper kupp,Cooper Kupp,WR,168.79,159.7,155.8024390052992,matched
chris boswell,Chris Boswell,PK,161.95,172.5,155.45819373709452,matched
terrance ferguson,Terrance Ferguson,TE,166.74,,155.6492201029886,espn_only
broncos dst,Broncos D/ST,DST,89.62,,73.52284750866616,espn_only
texans dst,Texans D/ST,DST,90.5,,73.52284750866616,espn_only
steelers dst,Steelers D/ST,DST,115.73,,100.27302497070912,espn_only
seahawks dst,Seahawks D/ST,DST,107.35,,95.29858764645077,espn_only
rams dst,Rams D/ST,DST,97.02,,79.10274419252515,espn_only
ravens dst,Ravens D/ST,DST,131.77,,119.44739385910853,espn_only
eagles dst,Eagles D/ST,DST,134.42,,119.44739385910853,espn_only
browns dst,Browns D/ST,DST,152.37,,135.10610400190234,espn_only
patriots dst,Patriots D/ST,DST,148.18,,127.27333811145816,espn_only
lions dst,Lions D/ST,DST,151.09,,135.10610400190234,espn_only
chiefs dst,Chiefs D/ST,DST,162.43,,155.45819373709452,espn_only
chargers dst,Chargers D/ST,DST,162.76,,155.45819373709452,espn_only
eddy pineiro,Eddy Pineiro,K,149.44,,135.10610400190234,espn_only
aj barner,AJ Barner,TE,168.76,,155.78602764953354,espn_only
packers dst,Packers D/ST,DST,167.6,,155.6492201029886,espn_only
