name,team,adp,position,value_final,rk,adp_rk,edge
Tucker Kraft,,110.6,TE,10.059453965152493,133,113,-20
Jalen McMillan,TB,143.8,WR,10.009144774160418,134,142,8
RJ Harvey,DEN,83.1,RB,9.503735633804158,135,85,-50
J.K. Dobbins,DEN,91.4,RB,9.4762971493062,136,95,-41
Aaron Jones Sr.,MIN,89.4,RB,9.4762971493062,137,92,-45
Kyle Monangai,CHI,100.1,RB,9.4762971493062,138,103,-35
Rachaad White,WAS,98.0,RB,9.4762971493062,139,101,-38
Kenny Gainwell,TB,89.6,RB,9.4762971493062,140,93,-47
Pat Freiermuth,,152.0,TE,9.359024349638846,141,149,8
Oronde Gadsden II,,158.6,TE,9.359024349638846,142,163,21
Hunter Henry,,158.1,TE,9.359024349638846,143,161,18
Dalton Schultz,,157.6,TE,9.359024349638846,144,160,16
Dalton Kincaid,,153.4,TE,9.359024349638846,145,152,7
T.J. Hockenson,,153.1,TE,9.359024349638846,146,150,4
Juwan Johnson,,160.3,TE,9.359024349638846,147,170,23
Kenyon Sadiq,,159.6,TE,9.359024349638846,148,166,18
De'Zhaun Stribling,SF,156.9,WR,9.338003994797472,149,157,8
Rashod Bateman,BAL,148.2,WR,9.338003994797472,150,146,-4
Antonio Williams,WAS,156.9,WR,9.338003994797472,151,157,6
Tank Dell,HOU,153.1,WR,9.338003994797472,152,150,-2
Denzel Boston,CLE,154.9,WR,9.338003994797472,153,153,0
Malik Washington,MIA,155.7,WR,9.338003994797472,154,155,1
Ja'Kobi Lane,BAL,146.4,WR,9.338003994797472,155,145,-10
Jacory Croskey-Merritt,WAS,113.3,RB,8.801446416016189,156,116,-40
Jonathon Brooks,CAR,112.2,RB,8.801446416016189,157,115,-42
Jordan Mason,MIN,122.3,RB,8.514685960281549,158,124,-34
Blake Corum,LAR,121.7,RB,8.514685960281545,159,123,-36
Jalen Nailor,LV,159.5,WR,8.413288726154798,160,165,5
Cooper Kupp,SEA,159.7,WR,8.413288726154798,161,167,6
Adonai Mitchell,NYJ,160.7,WR,8.413288726154798,162,172,10
Isaac TeSlaa,DET,163.0,WR,8.413288726154798,163,178,15
Travis Hunter,JAX,163.8,WR,8.413288726154798,164,181,17
Tyjae Spears,TEN,126.9,RB,8.371889717425432,165,126,-39
Cyrus Allen,KC,166.3,WR,8.115833333333333,166,190,24
Germie Bernard,PIT,164.9,WR,8.115833333333333,167,186,19
Dontayvion Wicks,PHI,174.3,WR,7.737402755974184,168,200,32
Kayshon Boutte,NE,169.6,WR,7.737402755974184,169,196,27
Tory Horton,SEA,169.3,WR,7.737402755974184,170,195,25
Omar Cooper Jr.,NYJ,168.2,WR,7.737402755974184,171,193,22
Ryan Flournoy,DAL,176.7,WR,7.737402755974184,172,201,29
Christian Kirk,SF,178.4,WR,7.737402755974184,173,202,29
Darnell Mooney,NYG,178.5,WR,7.737402755974184,174,203,29
Tyquan Thornton,KC,178.9,WR,7.737402755974184,175,204,29
Zachariah Branch,ATL,172.5,WR,7.737402755974184,176,198,22
Chris Rodriguez Jr.,JAX,160.6,RB,7.491790151433536,177,171,-6
Keaton Mitchell,LAC,157.1,RB,7.491790151433535,178,159,-19
Jaydon Blue,DAL,160.2,RB,7.491790151433535,179,169,-10
Alvin Kamara,NO,132.8,RB,7.491790151433535,180,130,-50
Zach Charbonnet,SEA,139.1,RB,7.491790151433535,181,137,-44
Woody Marks,HOU,144.7,RB,7.491790151433535,182,143,-39
