pos,arm,n,rmse_mu,rmse_arm,d_rmse,label,mean_gain,dm_t,dm_p,mde80,folds_improved,n_folds,obs_over_mde,spearman,spearman_mu,gain_vs_mucal,p_vs_mucal,rmse_theta_mu,rmse_theta_arm,eq7_gain,eq7_p,eq7_mde,block
RB,ridge_P0,489,4.490909578515818,4.156766846392467,-0.33414273212335033,ablation: -environment,2.8540711581523905,3.8488777355319077,0.003913024232983578,2.332538367680306,9,10,1.2235902301537467,0.4978071636838429,0.49473399193971657,0.09275989595217686,0.8959253708761388,3.7842142879145224,3.71528316412653,0.5104728032657834,0.01731577012153304,0.5518253843279524,-environment
RB,ridge_P1,489,4.490909578515818,4.050535563896212,-0.44037401461960535,ablation: -environment,3.7180742568136202,6.210399668732113,0.00015689584987571862,1.8832007736997336,10,10,1.9743376854657386,0.5228436686079665,0.49473399193971657,0.9567629946134071,0.19307821289167112,3.7842142879145224,3.6968713214464,0.645657658923834,0.003298404186220845,0.5127155028831123,-environment
WR,ridge_P0,568,3.776007070631069,3.536252242395209,-0.23975482823585992,ablation: -structure,1.7812131382235008,2.39620762662483,0.040146733552134314,2.338242545502322,8,10,0.7617743256146443,0.5671893883242586,0.542041250309014,0.4946009030360739,0.18897998315927053,3.403603515941307,3.3853547164882234,0.12227495586871864,0.6054071792668727,0.7185038590303688,-structure
WR,ridge_P1,568,3.776007070631069,3.5067506017549883,-0.26925646887608057,ablation: -structure,1.98600348736936,2.880119574691598,0.01817447574502793,2.169040207702401,9,10,0.9156139569552165,0.5863565419718013,0.542041250309014,0.6993912521819331,0.0935728663182759,3.403603515941307,3.379532786977938,0.16207955206447688,0.4723751637353114,0.6797285289201166,-structure
RB,ridge_P0,489,4.490909578515818,4.205769360298075,-0.2851402182177427,ablation: -structure,2.4407728632341774,3.700015889235897,0.004920441118854226,2.075018111624213,8,10,1.1762658116384686,0.4866097467608636,0.49473399193971657,-0.3205383989660355,0.631540157797202,3.7842142879145224,3.7344077061368695,0.36496176746225606,0.05451149682138527,0.5196366044321429,-structure
RB,ridge_P1,489,4.490909578515818,4.135217332900273,-0.35569224561554513,ablation: -structure,3.022540900712849,5.100465898189411,0.0006447469230403055,1.8640624280399918,9,10,1.6214805122653344,0.504867066634488,0.49473399193971657,0.2612296385126363,0.6892223738977477,3.7842142879145224,3.7207825663255165,0.46527021801776736,0.013399530358529064,0.4770490589386977,-structure
WR,ridge_P0,568,3.776007070631069,3.569893466255847,-0.20611360437522208,ablation: opportunity only,1.5325318713896157,1.919017512439554,0.08719360580216888,2.5120523857620185,6,10,0.6100716211476338,0.5517785420998165,0.542041250309014,0.2459196362021888,0.5932161788896889,3.403603515941307,3.3843027389746756,0.12493461134393316,0.6627847942602654,0.871722724453356,opportunity only
WR,ridge_P1,568,3.776007070631069,3.497287744797366,-0.27871932583370285,ablation: opportunity only,2.0413596859501255,3.0913075838817026,0.012902206463653799,2.0771862025600876,9,10,0.9827523808092858,0.5893133721652202,0.542041250309014,0.754747450762699,0.11374610305200444,3.403603515941307,3.3724034376844605,0.2078776070819896,0.37808665283479914,0.7053403312566402,opportunity only
RB,ridge_P0,489,4.490909578515818,4.192792052105242,-0.298117526410576,ablation: opportunity only,2.549055401552226,3.4251103238330654,0.007566520038610109,2.3410076048130106,9,10,1.0888710469421279,0.4750177293367903,0.49473399193971657,-0.21225586064798724,0.7812085139329681,3.7842142879145224,3.725061121236788,0.43519691367210145,0.043257694866037595,0.5823613743863605,opportunity only
RB,ridge_P1,489,4.490909578515818,4.0930318343119945,-0.39787774420382327,ablation: opportunity only,3.37016868405888,5.704575910106501,0.0002926081738944595,1.8583451984884427,10,10,1.8135321073824915,0.5025717393526433,0.49473399193971657,0.6088574218586664,0.39990811865983866,3.7842142879145224,3.7110747542772202,0.5388881591297848,0.005273022599546938,0.46372558725439433,opportunity only
WR,ridge_P0,568,3.776007070631069,4.230825396774446,0.4548183261433767,ablation: structure only,-3.550561195598493,-2.487028101004765,0.03459026490426705,4.490703945204394,2,10,-0.7906469094650793,0.18380710062114042,0.542041250309014,-4.83717343078592,0.0005599806038070297,3.403603515941307,3.5086936080122397,-0.7178067726332327,0.18888332727688664,1.588395402739895,structure only
WR,ridge_P1,568,3.776007070631069,3.5466327676373006,-0.22937430299376826,ablation: structure only,1.7216807932104221,2.8780299232833895,0.018236466804871877,1.881721921153402,9,10,0.9149496394000222,0.5684366540804764,0.542041250309014,0.43506855802299516,0.09030026807939127,3.403603515941307,3.3919475662935374,0.08350190326959214,0.7048811824849137,0.6717391595995834,structure only
RB,ridge_P0,489,4.490909578515818,4.564176035341023,0.0732664568252055,ablation: structure only,-0.6600093832611493,-0.5926853596427325,0.5679827967788085,3.502870041784305,4,10,-0.18841960317915513,0.3368854350663423,0.49473399193971657,-3.4213206454613627,0.004737892815148754,3.7842142879145224,3.798035506643447,-0.10364326744507561,0.7346559542111588,0.9324524125981736,structure only
RB,ridge_P1,489,4.490909578515818,4.026358168362814,-0.46455141015300416,ablation: structure only,3.9217416898641106,6.7611533204902745,8.259921317667835e-05,1.8245522938696908,10,10,2.149426850104961,0.5298920678670161,0.49473399193971657,1.1604304276638973,0.08154169155765773,3.7842142879145224,3.7024341865386647,0.6066668991196786,0.0007930638797091925,0.3856430408422189,structure only
