name,team,position,adp,stdev,tier,mu_hat,n_eff,m_hat,B,pi,sig
Kenneth Walker,KC,RB,22.1,4.1,vet,13.085563874034461,2.6470588235294117,14.483353079184461,0.5990423993652927,13.922898873294423,7.913078293153824
Javonte Williams,DAL,RB,36.8,4.7,vet,13.04213788741303,2.8181818181818183,14.387153529204111,0.5839072368801086,13.827502254371787,7.913078293153824
Ladd McConkey,LAC,WR,37.7,4.3,vet,12.55625,1.8,14.121116510466548,0.7287039305478349,13.69657437695965,5.956804714567722
D'Andre Swift,CHI,RB,45.8,4.3,vet,13.789432952668246,2.9076923076923076,12.272818662357915,0.5762910609229639,12.915421694294377,7.913078293153824
Mike Evans,SF,WR,53.7,6.2,vet,13.662406955944771,2.9985355137905785,12.345496916178542,0.6172092103455751,12.849597950204497,5.956804714567722
Bucky Irving,TB,RB,45.2,4.6,vet,14.025490196078431,1.8,12.272818662357915,0.6872167255739929,12.821025003668268,7.913078293153824
Terry McLaurin,WAS,WR,46.8,4.6,vet,12.817073380533317,2.953488372093023,12.759274924960417,0.6207791150229675,12.781193306433078,5.956804714567722
Jameson Williams,DET,WR,44.2,4.2,vet,12.649264069264069,2.6470588235294117,12.759274924960417,0.6462038944829394,12.72035351265045,5.956804714567722
Travis Etienne Jr.,NO,RB,40.1,4.9,vet,13.348392156862745,2.6470588235294117,12.272818662357915,0.5990423993652927,12.70407803002086,7.913078293153824
Jaylen Waddle,DEN,WR,45.9,5.4,vet,12.542768003975784,2.8181818181818183,12.759274924960417,0.6317546130769396,12.679547250070911,5.956804714567722
Courtland Sutton,DEN,WR,60.2,6.7,vet,13.1324141950898,2.9766536964980546,12.017118503975786,0.6189381623258323,12.442115129581772,5.956804714567722
DJ Moore,BUF,WR,48.9,6.3,vet,12.27039600153787,2.9766536964980546,12.345496916178542,0.6189381623258323,12.316878823634557,5.956804714567722
Christian Watson,GB,WR,58.8,6.4,vet,11.954043771043773,2.6470588235294117,12.017118503975786,0.6462038944829394,11.99480290910791,5.956804714567722
Rome Odunze,CHI,WR,51.9,6.3,vet,10.957843137254903,1.8,12.345496916178542,0.7287039305478349,11.969031900196114,5.956804714567722
Quinshon Judkins,CLE,RB,50.9,5.3,soph,12.12857142857143,1.0,11.92035768749286,0.8064887327080991,11.960649392396562,8.087792038404505
Luther Burden III,CHI,WR,58.5,7.7,soph,9.715384615384615,1.0,12.017118503975786,0.8299991366179679,11.625821755639604,5.519659526545828
David Montgomery,HOU,RB,58.2,6.4,vet,12.341600608747436,2.953488372093023,11.038752212162414,0.5724707331543313,11.595758031965463,7.913078293153824
TreVeyon Henderson,NE,RB,61.5,6.4,soph,12.85625,1.0,11.038752212162414,0.8064887327080991,11.390458512387092,8.087792038404505
Rhamondre Stevenson,NE,RB,67.8,7.1,vet,12.680932666321661,2.8181818181818183,10.364818044096594,0.5839072368801086,11.328536576960605,7.913078293153824
Jaylen Warren,PIT,RB,58.4,6.2,vet,11.525233426704013,2.6470588235294117,11.038752212162414,0.5990423993652927,11.233810552698873,7.913078293153824
Tony Pollard,TEN,RB,68.9,6.8,vet,11.82906214674626,2.953488372093023,10.364818044096594,0.5724707331543313,10.9908252517855,7.913078293153824
Bhayshul Tuten,JAX,RB,52.7,5.6,soph,6.333333333333333,1.0,11.92035768749286,0.8064887327080991,10.839205524328735,8.087792038404505
Rico Dowdle,PIT,RB,74.6,7.4,vet,11.53952528379773,2.4156133828996285,10.364818044096594,0.620806448997743,10.810259453706927,7.913078293153824
Jadarian Price,SEA,RB,78.0,10.9,rookie,,0.0,9.782729924455083,1.0,9.782729924455083,7.341232830602354
