pos,panel,arm,label,n,rmse_incumbent,rmse_arm,d_rmse,folds_improved,mean_gain,sd_folds,dm_t,dm_p,mde80,obs_over_mde,spearman_arm,spearman_incumbent,bh_reject,bh_thresh,bh_reject_pooled14,bh_thresh_pooled14
WR,top-30 stratum (§7-comparable),a7_slope,7 slope-adjusted level,290,3.433157172094699,3.4300007849676852,-0.0031563871270137156,5,0.03351531764462486,1.0010449319717982,0.10587410901954415,0.9180044775968335,0.995753143211861,0.033658259452256624,0.4652895414910717,0.46109373375287194,False,,False,
WR,top-30 stratum (§7-comparable),a8_usage,8 usage-implied mean,290,3.433157172094699,3.535681111490282,0.10252393939558324,4,-0.7010265179850264,1.4558710651378575,-1.522690126958297,0.16216716557794097,1.448174944921516,-0.48407585039597445,0.3956466027873521,0.46109373375287194,False,,False,
RB,wide (all board rows),a2_median,2 median (game),573,3.790927307456422,3.814973674655402,0.0240463671989799,4,-0.20516222159105188,0.9320938574221647,-0.6960456877617339,0.5039767237257244,0.9271665623124462,-0.2212787107845615,0.6048097285236664,0.6079017519422714,False,0.07142857142857142,False,0.07142857142857142
RB,wide (all board rows),a3_trim20,3 trimmed mean 20% (game),573,3.790927307456422,3.7925839003470685,0.0016565928906464578,5,-0.024100801526991015,0.5629790545252137,-0.13537524291242053,0.8952946110174214,0.5600029980689382,-0.04303691517741505,0.6048272888892365,0.6079017519422714,False,0.1,False,0.09285714285714286
RB,wide (all board rows),a4_huber,4 Huber c=1.345 (game),573,3.790927307456422,3.7857874549500967,-0.005139852506325315,6,0.032616660278720566,0.3355302646981726,0.3074027800189112,0.7655311885626608,0.3337565628126327,0.09772589939162096,0.6070832008564457,0.6079017519422714,False,0.08571428571428573,False,0.08571428571428573
RB,wide (all board rows),a5_p60,5 p60 (game),573,3.790927307456422,3.8487014575428375,0.05777415008641551,2,-0.45164759445570646,0.5301272697292339,-2.694136257026637,0.024629090439040605,0.5273248765122145,-0.8564883140787023,0.5996590665338533,0.6079017519422714,False,0.014285714285714287,False,0.014285714285714287
RB,wide (all board rows),a6_stable,6 seasons with G>=12 only,573,3.790927307456422,3.8592375976425655,0.06831029018614343,1,-0.5127853513792238,0.7066514856551924,-2.2947233453059632,0.04740691556894318,0.7029159386586982,-0.7295116288837027,0.5980988534378872,0.6079017519422714,False,0.028571428571428574,False,0.021428571428571432
RB,wide (all board rows),a7_slope,7 slope-adjusted level,573,3.790927307456422,3.7510285954479787,-0.039898712008443304,8,0.3087371980639472,0.4602817792979817,2.121119688443165,0.06292301787393033,0.45784860785052706,0.6743215830957382,0.621521527637787,0.6079017519422714,False,0.042857142857142864,False,0.028571428571428574
RB,wide (all board rows),a8_usage,8 usage-implied mean,573,3.790927307456422,3.8122841683426993,0.021356860886277307,6,-0.1478636654573185,0.6493787704105678,-0.7200512048317492,0.4897698744292974,0.64594598216256,-0.2289102642333749,0.6289444687600612,0.6079017519422714,False,0.05714285714285715,False,0.0642857142857143
RB,top-30 stratum (§7-comparable),a2_median,2 median (game),286,3.8191138677673218,3.882311417643503,0.0631975498761812,3,-0.5023256083116614,1.2049015886231706,-1.318359162518504,0.21994669011340431,1.1985321595597345,-0.4191173380747533,0.5116315108897433,0.5267935028646065,False,,False,
RB,top-30 stratum (§7-comparable),a3_trim20,3 trimmed mean 20% (game),286,3.8191138677673218,3.8326440695066255,0.013530201739303749,5,-0.11204648401973376,0.6053722553397752,-0.5852962209461486,0.5727292175197338,0.6021720971909549,-0.1860705345571711,0.5171272647741607,0.5267935028646065,False,,False,
RB,top-30 stratum (§7-comparable),a4_huber,4 Huber c=1.345 (game),286,3.8191138677673218,3.822492879137738,0.003379011370416407,6,-0.03219355243743205,0.3789890072504454,-0.2686224395080552,0.7942762579888579,0.37698557093639573,-0.085397306738999,0.5234039614889646,0.5267935028646065,False,,False,
RB,top-30 stratum (§7-comparable),a5_p60,5 p60 (game),286,3.8191138677673218,3.867583048425769,0.048469180658447186,3,-0.37051799430128274,0.7455783506377621,-1.5715058988328918,0.1505140263667114,0.7416370259184152,-0.4995947901096865,0.5211631977809659,0.5267935028646065,False,,False,
RB,top-30 stratum (§7-comparable),a6_stable,6 seasons with G>=12 only,286,3.8191138677673218,3.903750095932844,0.08463622816552219,1,-0.6600942130585102,0.731200807808071,-2.8547577645856,0.018941628475476383,0.7273354865897775,-0.907551226674587,0.5161594735721848,0.5267935028646065,False,,False,
RB,top-30 stratum (§7-comparable),a7_slope,7 slope-adjusted level,286,3.8191138677673218,3.803814306979966,-0.015299560787355837,5,0.11178900303755299,0.923379855864331,0.3828412161182002,0.710722587371343,0.9184986252758194,0.12170840539253225,0.5338924409715264,0.5267935028646065,False,,False,
RB,top-30 stratum (§7-comparable),a8_usage,8 usage-implied mean,286,3.8191138677673218,3.9070594808406054,0.08794561307328363,4,-0.6853738054884507,1.3054966438975333,-1.6601668675992611,0.1312512330025466,1.298595442716978,-0.5277808491723041,0.5198508932361389,0.5267935028646065,False,,False,
