pos,gsis_id,season,mean_t,mean_t1,p25_t,p25_t1,p90_t,p90_t1,iqr_t,iqr_t1,sd_t,sd_t1,bust_t,bust_t1,boom_t,boom_t1
QB,00-0036971,2024,14.520000000000001,19.89294117647059,11.785,15.02,21.447999999999997,28.208000000000002,7.149999999999999,8.100000000000001,6.638888795908878,8.785507786054458,0.1564362898165086,0.12717192516664996,0.2585532470782031,0.363473667708849
RB,00-0036973,2022,12.064705882352943,16.611764705882354,7.6,9.9,23.88,25.84,6.800000000000001,12.799999999999999,7.719451176773401,8.528619638674039,0.0759117337640133,0.022512221159757363,0.347566255104587,0.49600582951698785
RB,00-0036973,2023,16.611764705882354,8.68,9.9,6.0,25.84,12.5,12.799999999999999,5.949999999999999,8.528619638674039,3.9004029095906048,0.022512221159757363,0.08280274823220433,0.49600582951698785,0.1333877696861491
RB,00-0036973,2024,8.68,14.93529411764706,6.0,9.5,12.5,20.84,5.949999999999999,9.8,3.9004029095906048,6.944326927110232,0.08280274823220433,0.03705889558379811,0.1333877696861491,0.5351859268363864
RB,00-0036997,2023,11.2,9.288235294117648,7.675,4.3,19.65,17.14,6.3,7.2,5.512410241143765,6.500180992955233,0.023666555023204448,0.16732081094104778,0.27275122993491413,0.21679489425311857
RB,00-0036997,2024,9.288235294117648,15.175,4.3,11.125,17.14,22.7,7.2,7.725000000000001,6.500180992955233,6.01703138322102,0.16732081094104778,0.03876589026081976,0.21679489425311857,0.5127358383307469
RB,00-0037197,2022,8.4375,15.278571428571428,4.175,9.575,14.25,25.57,8.150000000000002,10.400000000000002,5.118967994951065,7.502428178358562,0.17913331359066448,0.026370941257556783,0.17469030971661853,0.467835065757036
RB,00-0037228,2022,6.093333333333333,11.552941176470588,3.55,8.0,11.42,19.32,6.8500000000000005,4.6,4.147368643690438,4.97758948275403,0.18850651575903624,0.022512221159757363,0.08400288432646463,0.259869960176014
RB,00-0037228,2023,11.552941176470588,8.273333333333333,8.0,4.4,19.32,14.92,4.6,6.200000000000001,4.97758948275403,4.747550746989241,0.022512221159757363,0.18430409931600059,0.259869960176014,0.23988238259783412
RB,00-0037228,2024,8.273333333333333,13.56875,4.4,9.15,14.92,18.6,6.200000000000001,6.475,4.747550746989241,5.615421474238006,0.18430409931600059,0.03876589026081976,0.23988238259783412,0.41613769381743665
WR,00-0037238,2022,11.04375,11.625333333333334,7.074999999999999,6.75,16.75,20.38,7.575000000000001,7.640000000000001,5.8050516793565246,7.214404110296751,0.39441853268045346,0.3348375051487773,0.10859148469892003,0.15020987601201602
WR,00-0037238,2023,11.625333333333334,16.51764705882353,6.75,10.9,20.38,25.000000000000004,7.640000000000001,7.4,7.214404110296751,9.032250224481553,0.3348375051487773,0.1823336004571133,0.15020987601201602,0.1555759941170287
WR,00-0037238,2024,16.51764705882353,16.825,10.9,7.625,25.000000000000004,31.120000000000005,7.4,16.924999999999997,9.032250224481553,11.453949299060762,0.1823336004571133,0.30462510051506014,0.1555759941170287,0.25670952716670936
WR,00-0037239,2022,13.213333333333333,14.45625,9.649999999999999,11.924999999999999,19.759999999999998,20.299999999999997,6.400000000000002,6.475,4.952180856763537,5.780307806106292,0.12845064483126054,0.17386613433015458,0.15709497862396488,0.14415878206064361
WR,00-0037240,2023,6.390909090909091,15.114285714285714,2.9000000000000004,10.15,12.4,24.47,6.5,11.225,4.6541281773184,7.238875512213114,0.48367990024086643,0.16143190201291727,0.0796292956201205,0.2148630040185089
WR,00-0037240,2024,15.114285714285714,13.618749999999999,10.15,6.15,24.47,25.15,11.225,12.874999999999998,7.238875512213114,8.787811160920562,0.16143190201291727,0.37740967721159246,0.2148630040185089,0.1748272937654797
WR,00-0037247,2022,9.794117647058824,13.03125,4.9,7.65,17.26,24.65,11.299999999999999,9.15,6.393304171967271,8.9440273367203,0.42066126527184833,0.36694465233301754,0.0639907643365569,0.2247273054097789
WR,00-0037247,2023,13.03125,11.742857142857144,7.65,8.075,24.65,19.42,9.15,8.3,8.9440273367203,6.150636525623154,0.36694465233301754,0.2537132945958207,0.2247273054097789,0.16679365034378987
WR,00-0037247,2024,11.742857142857144,17.170588235294115,8.075,11.8,19.42,30.48,8.3,14.2,6.150636525623154,9.650632408415158,0.2537132945958207,0.24483920228164568,0.16679365034378987,0.24569928876073874
RB,00-0037248,2022,7.678571428571429,13.688235294117646,4.175,7.9,15.120000000000005,21.98,4.8,11.299999999999999,5.059215289020555,8.317142113801859,0.19891478933674064,0.022512221159757363,0.19295620512155717,0.4015514817805983
RB,00-0037248,2023,13.688235294117646,16.668750000000003,7.9,10.775,21.98,27.950000000000003,11.299999999999999,10.575000000000001,8.317142113801859,7.943107599254422,0.022512221159757363,0.030503975335325083,0.4015514817805983,0.5310872554852726
RB,00-0037248,2024,16.668750000000003,17.776470588235295,10.775,10.7,27.950000000000003,28.340000000000003,10.575000000000001,11.8,7.943107599254422,9.20159832663358,0.030503975335325083,0.08109231428092765,0.5310872554852726,0.5351859268363864
RB,00-0037256,2022,8.81875,15.758823529411764,5.025,10.8,16.75,21.66,6.824999999999999,8.899999999999999,5.812081526154521,6.192238975476622,0.12940982190853437,0.022512221159757363,0.26935373551021563,0.5432330033851827
RB,00-0037256,2023,15.758823529411764,13.306666666666668,10.8,9.2,21.66,22.539999999999996,8.899999999999999,6.949999999999999,6.192238975476622,7.005453657856923,0.022512221159757363,0.03205207269030623,0.5432330033851827,0.39962430196536164
