year,name,pos_adp,adp,pid,total,games,touches,pos,ppg,rank_T,rank_P,pos_eff,round12,round10,bin12,bin10,hit_pos_T,hit_pos_P,tier_T,tier_P,hit24_T,hit24_P,hit36_T,hit36_P,elig_P,hit_val_T_12,hit_val_P_12,hit_val_T_10,hit_val_P_10,hit_val_T,hit_val_P,board_team,fr,wt17,proj_rank,top10_proj,ppg_team,real_rank,top10_real,hit12,hit24,band1324,ladp,own_pts,pts_tot,gms,top10_real_loo,g_all,g_last,g_last2,g_ex_last2,rb_rank_on_team,is_lead,n_rb_drafted,birth_date,rookie_season,draft_round,age,exp
2015,Mark Ingram II,RB,31.0,00-0027966,203.4,12,60.0,RB,16.95,11.0,6.0,RB,3,4,R3-4,R3-4,1,1.0,1-12,1-12,1,1.0,1,1.0,True,1,1.0,0,1.0,1,1.0,NO,NO,9.32689366677838,11.0,0,25.5,8.0,1,1,1,0,3.4339872044851463,38.0,408.0,16,0,12.0,0.0,0.0,12.0,1.0,True,3.0,1989-12-21,2011,1.0,26,4
2015,Emmanuel Sanders,WR,31.9,00-0027685,226.4,15,137.0,WR,15.093333333333334,18.0,22.0,WR,3,4,R3-4,R3-4,0,0.0,13-24,13-24,1,1.0,1,1.0,True,1,1.0,1,1.0,1,1.0,DEN,DEN,10.996289018117695,5.0,1,22.1875,19.0,0,0,1,1,3.462606009790799,36.0,355.0,16,0,15.0,1.0,2.0,13.0,,False,2.0,1987-03-17,2010,3.0,28,5
2015,Latavius Murray,RB,33.2,00-0030513,204.8,16,53.0,RB,12.8,10.0,19.0,RB,3,4,R3-4,R3-4,1,0.0,1-12,13-24,1,1.0,1,1.0,True,1,0.0,0,0.0,1,0.0,LV,LV,6.514951138982778,29.0,0,22.4375,17.0,0,1,1,0,3.502549875922443,36.0,359.0,16,0,16.0,1.0,2.0,14.0,1.0,True,2.0,1990-01-18,2013,6.0,25,2
2015,Davante Adams,WR,34.6,00-0031381,106.3,13,94.0,WR,8.176923076923076,69.0,68.0,WR,3,4,R3-4,R3-4,0,0.0,none,none,0,0.0,0,0.0,True,0,0.0,0,0.0,0,0.0,GB,GB,11.107631071735087,4.0,1,23.0,15.0,0,0,0,0,3.543853682063679,8.0,368.0,16,0,13.0,1.0,2.0,11.0,,False,2.0,1992-12-24,2014,2.0,23,1
2015,Jarvis Landry,WR,36.6,00-0031382,275.36,16,166.0,WR,17.21,8.0,12.0,WR,4,4,R3-4,R3-4,1,1.0,1-12,1-12,1,1.0,1,1.0,True,1,1.0,1,1.0,1,1.0,MIA,MIA,10.142368928264913,7.0,1,19.375,27.0,0,1,1,0,3.6000482404073204,32.0,310.0,16,0,16.0,1.0,2.0,14.0,,False,1.0,1992-11-28,2014,2.0,23,1
2015,Arian Foster,RB,37.5,00-0026796,77.0,4,28.0,RB,19.25,63.0,3.0,RB,4,4,R3-4,R3-4,0,1.0,none,1-12,0,1.0,0,1.0,True,0,1.0,0,1.0,0,1.0,HOU,HOU,8.881101184865114,17.0,0,21.1875,22.0,0,0,0,0,3.624340932976365,18.0,339.0,16,0,4.0,0.0,0.0,4.0,1.0,True,2.0,1986-08-24,2009,,29,6
2015,Andre Johnson,WR,37.7,00-0022044,115.3,16,77.0,WR,7.206250000000001,58.0,80.0,WR,4,4,R3-4,R3-4,0,0.0,none,none,0,0.0,0,0.0,True,0,0.0,0,0.0,0,0.0,IND,IND,11.827451138982779,1.0,1,20.8125,24.0,0,0,0,0,3.629660094453965,24.0,333.0,16,0,16.0,1.0,2.0,14.0,,False,1.0,1981-07-11,2003,1.0,34,12
2015,Doug Martin,RB,38.0,00-0029613,232.3,16,44.0,RB,14.51875,5.0,13.0,RB,4,4,R3-4,R3-4,1,0.0,1-12,13-24,1,1.0,1,1.0,True,1,1.0,1,0.0,1,1.0,TB,TB,6.854173407029665,26.0,0,21.375,20.0,0,1,1,0,3.6375861597263857,42.0,342.0,16,0,16.0,1.0,2.0,14.0,1.0,True,2.0,1989-01-13,2012,1.0,26,3
2015,Jeremy Maclin,WR,38.8,00-0026995,243.2,15,124.0,WR,16.21333333333333,15.0,19.0,WR,4,4,R3-4,R3-4,0,0.0,13-24,13-24,1,1.0,1,1.0,True,1,1.0,1,1.0,1,1.0,KC,KC,9.586094353810449,10.0,1,25.3125,9.0,1,0,1,1,3.6584202466292277,48.0,405.0,16,0,15.0,1.0,2.0,13.0,,False,2.0,1988-05-11,2009,1.0,27,6
2015,Amari Cooper,WR,40.8,00-0031544,212.7,16,130.0,WR,13.29375,21.0,28.0,WR,4,5,R3-4,R5-6,0,0.0,13-24,25-36,1,0.0,1,1.0,True,1,0.0,1,1.0,1,0.0,LV,LV,6.514951138982778,29.0,0,22.4375,17.0,0,0,1,1,3.708682081410116,36.0,359.0,16,0,16.0,1.0,2.0,14.0,,False,2.0,1994-06-17,2015,1.0,21,0
2015,Ameer Abdullah,RB,41.5,00-0032104,117.0,16,38.0,RB,7.3125,43.0,64.0,RB,4,5,R3-4,R5-6,0,0.0,none,none,0,0.0,0,0.0,True,0,0.0,0,0.0,0,0.0,DET,DET,8.476405646189551,20.0,0,22.375,18.0,0,0,0,0,3.7256934272366524,18.0,358.0,16,0,16.0,1.0,2.0,14.0,1.0,True,2.0,1993-06-13,2015,2.0,22,0
2015,Julian Edelman,WR,41.9,00-0027150,172.5,9,88.0,WR,19.166666666666668,38.0,7.0,WR,4,5,R3-4,R5-6,0,1.0,none,1-12,0,1.0,0,1.0,True,0,1.0,1,1.0,0,1.0,NE,NE,11.45189366677838,3.0,1,29.0625,3.0,1,0,0,0,3.735285826928092,42.0,465.0,16,1,9.0,0.0,0.0,9.0,,False,2.0,1986-05-22,2009,7.0,29,6
2015,Golden Tate,WR,43.5,00-0027891,209.4,16,128.0,WR,13.0875,24.0,30.0,WR,4,5,R3-4,R5-6,0,0.0,13-24,25-36,1,0.0,1,1.0,True,1,0.0,1,1.0,1,0.0,DET,DET,8.476405646189551,20.0,0,22.375,18.0,0,0,1,1,3.7727609380946383,36.0,358.0,16,0,16.0,1.0,2.0,14.0,,False,2.0,1988-08-02,2010,2.0,27,5
2015,Andre Ellington,RB,43.7,00-0030287,74.7,10,24.0,RB,7.470000000000001,64.0,63.0,RB,4,5,R3-4,R5-6,0,0.0,none,none,0,0.0,0,0.0,True,0,0.0,0,0.0,0,0.0,ARI,ARI,8.60119392387092,18.0,0,30.5625,2.0,1,0,0,0,3.7773481021015445,18.0,489.0,16,1,10.0,1.0,2.0,8.0,1.0,True,2.0,1989-02-03,2013,6.0,26,2
2015,Carlos Hyde,RB,44.7,00-0031045,81.3,7,15.0,RB,11.614285714285714,59.0,29.0,RB,4,5,R3-4,R5-6,0,0.0,none,25-36,0,0.0,0,1.0,True,0,0.0,0,0.0,0,0.0,SF,SF,6.074206798947595,31.0,0,14.875,32.0,0,0,0,0,3.7999735016195233,18.0,238.0,16,0,7.0,0.0,0.0,7.0,1.0,True,2.0,1990-09-20,2014,2.0,25,1
2015,Chris Ivory,RB,47.6,00-0027531,202.7,15,37.0,RB,13.513333333333334,12.0,17.0,RB,4,5,R3-4,R5-6,1,0.0,1-12,13-24,1,1.0,1,1.0,True,0,0.0,1,1.0,0,0.0,NYJ,NYJ,7.673106333221622,24.0,0,24.1875,11.0,0,1,1,0,3.8628327612373745,48.0,387.0,16,0,15.0,1.0,2.0,13.0,1.0,True,1.0,1988-03-22,2010,,27,5
2015,Alfred Morris,RB,48.2,00-0029141,96.6,16,13.0,RB,6.0375,52.0,70.0,RB,5,5,R5-6,R5-6,0,0.0,none,none,0,0.0,0,0.0,True,0,0.0,0,0.0,0,0.0,WAS,WAS,6.630181116817948,28.0,0,24.25,10.0,1,0,0,0,3.8753590210565547,6.0,388.0,16,0,16.0,1.0,2.0,14.0,1.0,True,2.0,1988-12-12,2012,6.0,27,3
2015,Keenan Allen,WR,48.7,00-0030279,163.5,8,89.0,WR,20.4375,42.0,6.0,WR,5,5,R5-6,R5-6,0,1.0,none,1-12,0,1.0,0,1.0,True,1,1.0,1,1.0,1,1.0,LAC,LAC,9.079868928264913,12.0,0,20.0,26.0,0,0,0,0,3.885679030088544,24.0,320.0,16,0,8.0,0.0,0.0,8.0,,False,2.0,1992-04-27,2013,3.0,23,2
2015,Brandon Marshall,WR,50.5,00-0024334,339.2,16,173.0,WR,21.2,3.0,4.0,WR,5,6,R5-6,R5-6,1,1.0,1-12,1-12,1,1.0,1,1.0,True,1,1.0,1,1.0,1,1.0,NYJ,NYJ,7.673106333221622,24.0,0,24.1875,11.0,0,1,1,0,3.9219733362813143,84.0,387.0,16,0,16.0,1.0,2.0,14.0,,False,1.0,1984-03-23,2006,4.0,31,9
2015,Melvin Gordon III,RB,51.8,00-0032144,108.3,14,37.0,RB,7.735714285714286,48.0,60.0,RB,5,6,R5-6,R5-6,0,0.0,none,none,0,0.0,0,0.0,True,0,0.0,0,0.0,0,0.0,LAC,LAC,9.079868928264913,12.0,0,20.0,26.0,0,0,0,0,3.9473901492654373,0.0,320.0,16,0,14.0,0.0,0.0,14.0,1.0,True,2.0,1993-04-13,2015,1.0,22,0
2015,Jonathan Stewart,RB,53.0,00-0026153,162.8,13,21.0,RB,12.523076923076925,24.0,20.0,RB,5,6,R5-6,R5-6,0,0.0,13-24,13-24,1,1.0,1,1.0,True,0,0.0,0,1.0,0,0.0,CAR,CAR,8.251135774512742,21.0,0,31.25,1.0,1,0,1,1,3.970291913552122,42.0,500.0,16,1,13.0,0.0,0.0,13.0,1.0,True,2.0,1987-03-21,2008,1.0,28,7
2015,Allen Robinson II,WR,53.5,00-0031428,304.0,16,151.0,WR,19.0,6.0,8.0,WR,5,6,R5-6,R5-6,1,1.0,1-12,1-12,1,1.0,1,1.0,True,1,1.0,1,1.0,1,1.0,JAX,JAX,5.993898815134886,32.0,0,23.5,14.0,0,1,1,0,3.979681653901961,84.0,376.0,16,0,16.0,1.0,2.0,14.0,,False,2.0,1993-08-24,2014,2.0,22,1
2015,Joseph Randle,RB,56.6,00-0030388,74.1,6,10.0,RB,12.35,65.0,21.0,RB,5,6,R5-6,R5-6,0,0.0,none,13-24,0,1.0,0,1.0,True,0,0.0,0,0.0,0,0.0,DAL,DAL,9.798106333221622,9.0,1,17.1875,31.0,0,0,0,0,4.036008985209137,24.0,275.0,16,0,6.0,0.0,0.0,6.0,1.0,True,2.0,1991-12-29,2013,5.0,24,2
2015,Nelson Agholor,WR,56.6,00-0031549,57.3,13,44.0,WR,4.407692307692307,102.0,118.0,WR,5,6,R5-6,R5-6,0,0.0,none,none,0,0.0,0,0.0,True,0,0.0,0,0.0,0,0.0,PHI,PHI,10.880181116817948,6.0,1,23.5625,13.0,0,0,0,0,4.036008985209137,6.0,377.0,16,0,13.0,1.0,2.0,11.0,,False,3.0,1993-05-24,2015,1.0,22,0
2015,C.J. Spiller,RB,57.9,00-0027861,81.1,13,44.0,RB,6.238461538461538,60.0,69.0,RB,5,6,R5-6,R5-6,0,0.0,none,none,0,0.0,0,0.0,True,0,0.0,0,0.0,0,0.0,NO,NO,9.32689366677838,11.0,0,25.5,8.0,1,0,0,0,4.05871738457895,12.0,408.0,16,1,13.0,0.0,0.0,13.0,2.0,False,3.0,1987-08-05,2010,1.0,28,5
2015,Todd Gurley,RB,60.2,00-0032241,208.4,13,26.0,RB,16.03076923076923,9.0,9.0,RB,6,7,R5-6,R7-8,1,1.0,1-12,1-12,1,1.0,1,1.0,True,1,1.0,1,1.0,1,1.0,LAR,LA,7.96875,22.0,0,17.5,29.0,0,1,1,0,4.097672352314776,60.0,280.0,16,0,13.0,0.0,1.0,12.0,1.0,True,2.0,1994-08-03,2015,1.0,21,0
2015,Charles Johnson,WR,61.6,00-0008454,0.0,0,,WR,,,,,6,7,R5-6,R7-8,0,,none,none,0,,0,,False,0,,0,,0,,MIN,MIN,8.979173407029666,15.0,0,22.8125,16.0,0,0,0,0,4.120661870539474,0.0,365.0,16,0,0.0,0.0,0.0,0.0,,False,1.0,1972-01-03,1994,1.0,43,21
2015,TJ Yeldon,RB,63.1,00-0032209,155.9,12,46.0,RB,12.991666666666667,28.0,18.0,RB,6,7,R5-6,R7-8,0,0.0,25-36,13-24,0,1.0,1,1.0,True,0,0.0,0,0.0,0,0.0,JAX,JAX,5.993898815134886,32.0,0,23.5,14.0,0,0,0,0,4.144720769547168,18.0,376.0,16,0,12.0,0.0,0.0,12.0,1.0,True,2.0,1993-10-02,2015,2.0,22,0
2015,John Brown,WR,64.3,00-0031051,207.5,15,101.0,WR,13.833333333333334,25.0,27.0,WR,6,7,R5-6,R7-8,0,0.0,25-36,25-36,0,0.0,1,1.0,True,1,1.0,1,1.0,1,1.0,ARI,ARI,8.60119392387092,18.0,0,30.5625,2.0,1,0,0,0,4.163559631243574,42.0,489.0,16,1,15.0,1.0,2.0,13.0,,False,2.0,1990-04-03,2014,3.0,25,1
2015,Martavis Bryant,WR,67.2,00-0031373,170.2,11,92.0,WR,15.47272727272727,39.0,21.0,WR,6,7,R5-6,R7-8,0,0.0,none,13-24,0,1.0,0,1.0,True,1,1.0,1,1.0,1,1.0,PIT,PIT,9.03125,14.0,0,26.4375,4.0,1,0,0,0,4.207673247529104,42.0,423.0,16,0,11.0,1.0,2.0,9.0,,False,2.0,1991-12-20,2014,4.0,24,1
2015,LeGarrette Blount,RB,68.5,00-0027325,122.6,12,7.0,RB,10.216666666666669,39.0,40.0,RB,6,7,R5-6,R7-8,0,0.0,none,none,0,0.0,0,0.0,True,0,0.0,0,0.0,0,0.0,NE,NE,11.45189366677838,3.0,1,29.0625,3.0,1,0,0,0,4.22683374526818,42.0,465.0,16,1,12.0,0.0,0.0,12.0,1.0,True,2.0,1986-12-05,2010,,29,5
2015,Danny Woodhead,RB,69.0,00-0026019,243.1,16,106.0,RB,15.19375,3.0,10.0,RB,6,7,R5-6,R7-8,1,1.0,1-12,1-12,1,1.0,1,1.0,True,1,1.0,1,1.0,1,1.0,LAC,LAC,9.079868928264913,12.0,0,20.0,26.0,0,1,1,0,4.23410650459726,54.0,320.0,16,0,16.0,1.0,2.0,14.0,2.0,False,2.0,1985-01-25,2008,,30,7
