name,position,team,adp_aug18,stdev,times_drafted,adp_jul13,adp_aug08,d_jul_aug18,d_aug08_aug18
Matthew Stafford,QB,LAR,79.8,12.6,370,103.0,83.6,-23.200000000000003,-3.799999999999997
Jadarian Price,RB,SEA,82.1,13.1,2274,75.5,64.5,6.599999999999994,17.599999999999994
Chris Godwin Jr.,WR,TB,82.4,9.5,958,78.5,88.1,3.9000000000000057,-5.699999999999989
Josh Downs,WR,IND,83.0,8.7,927,85.7,92.4,-2.700000000000003,-9.400000000000006
Wan'Dale Robinson,WR,TEN,83.9,10.0,539,88.2,70.9,-4.299999999999997,13.0
RJ Harvey,RB,DEN,83.9,9.0,491,88.9,83.1,-5.0,0.8000000000000114
Jakobi Meyers,WR,JAX,86.1,9.5,309,98.3,76.1,-12.200000000000003,10.0
Sam LaPorta,TE,DET,86.7,13.9,583,69.7,87.6,17.0,-0.8999999999999915
Seattle Defense,DEF,SEA,88.0,12.2,164,97.4,101.0,-9.400000000000006,-13.0
Brock Purdy,QB,SF,88.2,13.1,212,100.5,80.1,-12.299999999999997,8.100000000000009
Denver Defense,DEF,DEN,88.9,8.5,321,102.6,94.3,-13.699999999999989,-5.3999999999999915
Kenny Gainwell,RB,TB,89.5,10.7,535,101.2,89.6,-11.700000000000003,-0.09999999999999432
Caleb Williams,QB,CHI,91.9,15.1,868,109.1,106.4,-17.19999999999999,-14.5
Quentin Johnston,WR,LAC,92.5,8.3,729,100.2,95.2,-7.700000000000003,-2.700000000000003
Jayden Reed,WR,GB,92.8,8.7,355,85.1,92.5,7.700000000000003,0.29999999999999716
Trevor Lawrence,QB,JAX,92.9,12.9,855,83.4,90.4,9.5,2.5
Stefon Diggs,WR,WAS,93.7,9.9,948,,88.1,,5.6000000000000085
Jordyn Tyson,WR,NO,96.9,10.6,707,84.1,85.6,12.800000000000011,11.300000000000011
Houston Defense,DEF,HOU,97.4,10.8,580,108.4,106.9,-11.0,-9.5
J.K. Dobbins,RB,DEN,98.3,12.5,705,94.7,91.4,3.5999999999999943,6.8999999999999915
Patrick Mahomes,QB,KC,99.4,12.1,638,74.9,96.2,24.5,3.200000000000003
Jordan Addison,WR,MIN,99.4,8.8,480,92.6,102.8,6.800000000000011,-3.3999999999999915
Aaron Jones Sr.,RB,MIN,100.1,12.5,422,95.6,89.4,4.5,10.699999999999989
Khalil Shakir,WR,BUF,100.7,8.9,259,100.9,101.1,-0.20000000000000284,-0.3999999999999915
Tucker Kraft,TE,GB,102.6,19.6,959,72.2,110.6,30.39999999999999,-8.0
Jared Goff,QB,DET,104.0,13.9,440,91.8,105.4,12.200000000000003,-1.4000000000000057
Justin Herbert,QB,LAC,105.5,14.1,1215,74.5,108.5,31.0,-3.0
Rachaad White,RB,WAS,106.3,12.2,457,102.2,98.0,4.099999999999994,8.299999999999997
Xavier Worthy,WR,KC,106.6,8.8,492,97.8,104.4,8.799999999999997,2.1999999999999886
Travis Kelce,TE,KC,107.7,21.4,245,99.1,99.6,8.600000000000009,8.100000000000009
Jonathon Brooks,RB,CAR,108.1,15.8,1840,128.2,112.2,-20.099999999999994,-4.1000000000000085
Deebo Samuel Sr.,WR,SF,110.8,10.8,485,,97.7,,13.099999999999994
Romeo Doubs,WR,NE,111.7,9.7,384,99.9,111.1,11.799999999999997,0.6000000000000085
Ricky Pearsall,WR,SF,112.3,6.6,18,103.1,118.3,9.200000000000003,-6.0
Makai Lemon,WR,PHI,112.7,9.8,599,107.7,106.4,5.0,6.299999999999997
