year,name,gsis_id,adp,tier,age,rookie_season,games,ppg,m_hat,tau2,sig2,mu_hat,n_eff,B,theta_star,mu_hat_a,theta_star_a,cohort,exp_bucket,era
2017,Dez Bryant,00-0027902,20.5,vet,28.82409308692676,2010,16,11.65,15.908792824822235,10.904218737551092,43.459600014646625,14.221428571428572,2.3333333333333335,0.6307380030730586,15.285713331070955,14.119423305080845,15.248046662722327,career_start<2014,exp6-8,2017-24
2017,Amari Cooper,00-0031544,21.3,vet,23.208761122518823,2015,12,12.541666666666666,15.908792824822235,10.904218737551092,43.459600014646625,14.110416666666666,1.8,0.6888814898347466,15.349284713780161,15.86920110166326,15.89647510689814,career_start>=2014,exp0-2,2017-24
2017,Doug Baldwin,00-0028434,22.4,vet,28.944558521560573,2011,16,13.95625,15.908792824822235,10.904218737551092,43.459600014646625,15.352678571428571,2.3333333333333335,0.6307380030730586,15.703440965094558,15.22717563699838,15.657097500906673,career_start<2014,exp6-8,2017-24
2017,Keenan Allen,00-0030279,25.8,vet,25.347022587268995,2013,16,17.3875,15.290409544159543,10.904218737551092,43.459600014646625,14.67704081632653,2.3333333333333335,0.6307380030730586,15.063915782867387,15.876209846650982,15.506723333657938,career_start<2014,exp3-5,2017-24
2017,T.Y. Hilton,00-0029608,28.8,vet,27.797399041752225,2012,16,10.975,15.099033154572371,10.904218737551092,43.459600014646625,16.01547619047619,2.3333333333333335,0.6307380030730586,15.437440740080003,16.153284628840062,15.48832815922363,career_start<2014,exp3-5,2017-24
2017,Terrelle Pryor,00-0028825,30.2,vet,28.199863107460644,2011,7,7.142857142857143,15.099033154572371,10.904218737551092,43.459600014646625,9.743333333333334,1.8,0.6888814898347466,13.432775805296167,9.720776973791628,13.4257581043208,career_start<2014,exp6-8,2017-24
2017,DeAndre Hopkins,00-0030564,31.7,vet,25.23750855578371,2013,15,20.653333333333332,15.099033154572371,10.904218737551092,43.459600014646625,15.025,2.3333333333333335,0.6307380030730586,15.071695524076176,16.28312037446774,15.536271565926604,career_start<2014,exp3-5,2017-24
2017,Demaryius Thomas,00-0027874,34.5,vet,29.686516084873375,2010,16,12.86875,14.682810297465965,10.904218737551092,43.459600014646625,15.900892857142859,2.3333333333333335,0.6307380030730586,15.132601895874135,15.643801007218968,15.037667645977598,career_start<2014,exp6-8,2017-24
2017,Kelvin Benjamin,00-0031359,38.6,vet,26.570841889117045,2014,13,9.930769230769233,14.682810297465965,10.904218737551092,43.459600014646625,13.334500000000002,1.4705882352941178,0.7304721804349728,14.31940316289289,13.849487042996966,14.458206497696104,career_start>=2014,exp3-5,2017-24
2017,Alshon Jeffery,00-0029137,39.1,vet,27.54551676933607,2012,16,12.24375,14.682810297465965,10.904218737551092,43.459600014646625,14.33095238095238,2.3333333333333335,0.6307380030730586,14.552882540579606,14.543652771270043,14.631424711455445,career_start<2014,exp3-5,2017-24
2017,Martavis Bryant,00-0031373,40.9,vet,25.700205338809035,2014,15,8.833333333333334,14.682810297465965,10.904218737551092,43.459600014646625,14.65181818181818,1.8,0.6888814898347466,14.673168076618758,16.36892648871608,15.207392254853213,career_start>=2014,exp3-5,2017-24
2017,Michael Crabtree,00-0026986,43.7,vet,29.965776865160848,2009,13,13.215384615384616,13.739350788658179,10.904218737551092,43.459600014646625,14.20547619047619,2.3333333333333335,0.6307380030730586,13.91147318535187,13.903315753101994,13.799896818854757,career_start<2014,exp6-8,2017-24
2017,Davante Adams,00-0031381,44.9,vet,24.687200547570157,2014,14,15.892857142857142,13.739350788658179,10.904218737551092,43.459600014646625,12.152472527472526,2.3333333333333335,0.6307380030730586,13.153376953052812,13.700111664797406,13.724861271423686,career_start>=2014,exp3-5,2017-24
2017,Tyreek Hill,00-0033040,45.5,soph,23.50444900752909,2016,15,16.346666666666668,13.739350788658179,7.818732463055213,40.05902290190149,14.142857142857142,1.0,0.8366938382249641,13.80524586261425,15.357674921809732,14.00363309135107,career_start>=2014,exp0-2,2017-24
2017,Golden Tate,00-0027891,47.8,vet,29.08145106091718,2010,16,14.03125,13.739350788658179,10.904218737551092,43.459600014646625,14.020535714285716,2.3333333333333335,0.6307380030730586,13.843181695801157,13.869142132969419,13.787277799642379,career_start<2014,exp6-8,2017-24
2017,Larry Fitzgerald,00-0022921,48.4,vet,34.0041067761807,2004,16,16.34,13.739350788658179,10.904218737551092,43.459600014646625,15.260969387755102,2.3333333333333335,0.6307380030730586,14.301226711121883,14.48067801119771,14.013094759229428,career_start<2014,exp9+,2017-24
2017,DeVante Parker,00-0031547,51.9,vet,24.61327857631759,2015,12,10.7,13.641995686756294,10.904218737551092,43.459600014646625,11.247936507936508,1.8,0.6888814898347466,12.897159561794432,12.521325658124175,13.293334497061418,career_start>=2014,exp0-2,2017-24
2017,Stefon Diggs,00-0031588,54.8,vet,23.756331279945243,2015,14,14.157142857142857,12.585014809647163,10.904218737551092,43.459600014646625,13.741025641025642,1.8,0.6888814898347466,12.944671177240533,15.346732869772504,13.444236418009833,career_start>=2014,exp0-2,2017-24
2017,Jamison Crowder,00-0031941,61.2,vet,24.20807665982204,2015,14,11.857142857142858,12.585014809647163,10.904218737551092,43.459600014646625,11.809722222222222,1.8,0.6888814898347466,12.343806934905352,13.25433174243601,12.793251696604806,career_start>=2014,exp0-2,2017-24
2017,Jarvis Landry,00-0031382,64.0,vet,24.758384668035593,2014,16,16.25,12.585014809647163,10.904218737551092,43.459600014646625,15.053095238095239,2.3333333333333335,0.6307380030730586,13.4963831172322,16.56455294560531,14.054507008577986,career_start>=2014,exp3-5,2017-24
2017,Brandon Marshall,00-0024334,65.2,vet,33.44284736481862,2006,5,6.68,12.585014809647163,10.904218737551092,43.459600014646625,13.96051282051282,2.3333333333333335,0.6307380030730586,13.092933951908451,13.228266259600352,12.822543124583028,career_start<2014,exp9+,2017-24
2018,Antonio Brown,00-0027793,4.7,vet,30.143737166324435,2010,15,21.58,19.170356321290278,11.235774409735447,43.25989353664156,22.156146825396824,2.6470588235294117,0.5925878926761715,20.3868035225958,21.645241803991993,20.178654631182933,career_start<2014,exp6-8,2017-24
2018,DeAndre Hopkins,00-0030564,8.8,vet,26.236824093086927,2013,16,20.84375,17.63529990842491,11.235774409735447,43.25989353664156,18.026777777777777,2.6470588235294117,0.5925878926761715,17.794792732148604,18.866687400583213,18.136982081537326,career_start<2014,exp3-5,2017-24
2018,Odell Beckham Jr.,00-0031235,11.2,vet,25.82067077344285,2014,12,19.361666666666668,17.284875487147183,11.235774409735447,43.25989353664156,19.298222222222225,2.6470588235294117,0.5925878926761715,18.105137323257654,20.40104317531502,18.55443993175806,career_start>=2014,exp3-5,2017-24
2018,Julio Jones,00-0027944,14.2,vet,29.560574948665295,2011,16,20.36875,15.908137533422462,11.235774409735447,43.25989353664156,17.744753968253967,2.6470588235294117,0.5925878926761715,16.65639730548274,17.341151018727803,16.491964577294176,career_start<2014,exp6-8,2017-24
2018,Michael Thomas,00-0032765,16.0,vet,25.49760438056126,2016,16,19.71875,15.81388071895425,11.235774409735447,43.25989353664156,16.453055555555554,1.8,0.681426779094685,16.017504705371955,17.28358204097363,16.28208820287876,career_start>=2014,exp0-2,2017-24
2018,Keenan Allen,00-0030279,17.2,vet,26.34633812457221,2013,15,17.34,15.81388071895425,11.235774409735447,43.25989353664156,16.122619047619047,2.6470588235294117,0.5925878926761715,15.93966445204721,16.89616517091455,16.25481650825121,career_start<2014,exp3-5,2017-24
2018,Davante Adams,00-0031381,18.2,vet,25.686516084873375,2014,15,21.973333333333336,15.81388071895425,11.235774409735447,43.25989353664156,14.14734432234432,2.6470588235294117,0.5925878926761715,15.134913613679538,15.33759933146767,15.619837915199223,career_start>=2014,exp3-5,2017-24
2018,A.J. Green,00-0027942,21.3,vet,30.086242299794662,2011,8,18.4625,15.195135825823543,11.235774409735447,43.25989353664156,16.504351851851855,2.6470588235294117,0.5925878926761715,15.728526285929867,16.00340255811892,15.52443347850775,career_start<2014,exp6-8,2017-24
2018,Tyreek Hill,00-0033040,23.7,vet,24.503764544832308,2016,16,20.875,14.71441195083412,11.235774409735447,43.25989353664156,15.612063492063493,1.8,0.681426779094685,15.000379693574182,16.981058572804553,15.436504865849393,career_start>=2014,exp0-2,2017-24
2018,Mike Evans,00-0031408,25.5,vet,25.02943189596167,2014,16,17.775,14.71441195083412,11.235774409735447,43.25989353664156,15.268777777777778,2.6470588235294117,0.5925878926761715,14.940267300617553,16.886243251549608,15.599242317810468,career_start>=2014,exp3-5,2017-24
2018,Stefon Diggs,00-0031588,26.0,vet,24.75564681724846,2015,15,17.753333333333334,14.71441195083412,11.235774409735447,43.25989353664156,13.978806907378337,2.3333333333333335,0.6226532525273358,14.436833780261592,15.541314662355225,15.026440999502935,career_start>=2014,exp3-5,2017-24
2018,T.Y. Hilton,00-0029608,27.4,vet,28.79671457905544,2012,14,17.071428571428573,14.71441195083412,11.235774409735447,43.25989353664156,13.327222222222222,2.6470588235294117,0.5925878926761715,14.149254060242376,13.090997705719035,14.05301333217226,career_start<2014,exp6-8,2017-24
2018,Amari Cooper,00-0031544,31.4,vet,24.20807665982204,2015,13,16.423076923076923,14.71441195083412,11.235774409735447,43.25989353664156,13.213988095238095,2.3333333333333335,0.6226532525273358,14.148231889094566,15.075341017740296,14.85060736029951,career_start>=2014,exp3-5,2017-24
2018,Adam Thielen,00-0030035,33.5,vet,28.02737850787132,2013,16,19.20625,14.318344938045692,11.235774409735447,43.25989353664156,13.196031746031744,2.6470588235294117,0.5925878926761715,13.861100955409956,13.179116456497347,13.854209461654754,career_start<2014,exp3-5,2017-24
2018,Larry Fitzgerald,00-0022921,34.9,vet,35.00342231348392,2004,16,11.605,14.318344938045692,11.235774409735447,43.25989353664156,15.83645238095238,2.6470588235294117,0.5925878926761715,14.936840290504295,14.756918197247705,14.497024993793064,career_start<2014,exp9+,2017-24
2018,Doug Baldwin,00-0028434,37.6,vet,29.94387405886379,2011,11,12.79090909090909,14.318344938045692,11.235774409735447,43.25989353664156,14.607916666666666,2.6470588235294117,0.5925878926761715,14.436319966224566,14.132232923182702,14.242520649872077,career_start<2014,exp6-8,2017-24
2018,Jarvis Landry,00-0031382,39.4,vet,25.75770020533881,2014,16,13.57,14.318344938045692,11.235774409735447,43.25989353664156,15.691444444444445,2.6470588235294117,0.5925878926761715,14.877762301512917,16.83520715370371,15.343745077170645,career_start>=2014,exp3-5,2017-24
2018,JuJu Smith-Schuster,00-0033857,41.2,soph,21.7741273100616,2017,16,18.55625,14.318344938045692,7.852446794939327,39.51468355947813,15.207692307692307,1.0,0.8342216060761003,14.465779516626153,16.284167580523974,14.644235858454978,career_start>=2014,exp0-2,2017-24
2018,Chris Hogan,00-0028237,42.1,vet,30.855578370978783,2011,13,7.9,14.318344938045692,11.235774409735447,43.25989353664156,10.498396344396346,2.6470588235294117,0.5925878926761715,12.762051631638318,9.872377854179597,12.507004119315429,career_start<2014,exp6-8,2017-24
