year,name,gsis_id,adp,adp_rank,rookie_season,exp,games,ppg,tier,in_fit,m_ols,m_iso,resid_iso,resid_ols
2017,DeAndre Hopkins,00-0030564,31.7,15,2013,4,15,20.653333333333332,vet,True,14.450321743052438,14.888359769943483,5.76497356338985,6.203011590280894
2017,Demaryius Thomas,00-0027874,34.5,16,2010,7,16,12.86875,vet,True,14.259683991521001,14.183591681330652,-1.3148416813306518,-1.3909339915210008
2017,Kelvin Benjamin,00-0031359,38.6,17,2014,3,13,9.930769230769231,vet,True,14.006770387136333,14.133351985789945,-4.202582755020714,-4.076001156367102
2017,Alshon Jeffery,00-0029137,39.1,18,2012,5,16,12.24375,vet,True,13.97778329397397,14.133351985789945,-1.8896019857899446,-1.7340332939739689
2017,Martavis Bryant,00-0031373,40.9,19,2014,3,15,8.833333333333334,vet,True,13.876414213395922,14.133351985789945,-5.300018652456611,-5.043080880062588
2017,Michael Crabtree,00-0026986,43.7,20,2009,8,13,13.215384615384616,vet,True,13.727273572160689,13.68010859492245,-0.4647239795378333,-0.5118889567760725
2017,Davante Adams,00-0031381,44.9,21,2014,3,14,15.892857142857142,vet,True,13.666260377116236,13.68010859492245,2.2127485479346927,2.226596765740906
2017,Tyreek Hill,00-0033040,45.5,22,2016,1,15,16.346666666666668,soph,True,13.636362601149422,13.68010859492245,2.666558071744218,2.7103040655172457
2017,Golden Tate,00-0027891,47.8,23,2010,7,16,14.03125,vet,True,13.525295899264728,13.68010859492245,0.3511414050775503,0.5059541007352717
2017,Larry Fitzgerald,00-0022921,48.4,24,2004,13,16,16.34,vet,True,13.497200740159524,13.68010859492245,2.65989140507755,2.8427992598404757
2017,DeVante Parker,00-0031547,51.9,25,2015,2,12,10.700000000000001,vet,True,13.339949829879187,13.11668762609939,-2.416687626099389,-2.6399498298791855
2017,Stefon Diggs,00-0031588,54.8,26,2015,2,14,14.157142857142857,vet,True,13.21749096306705,12.691904761904762,1.4652380952380941,0.9396518940758067
2017,Allen Robinson II,00-0031428,57.0,27,2014,3,0,,vet,False,13.128839352686722,12.496525615649945,,
2017,Jamison Crowder,00-0031941,61.2,28,2015,2,14,11.857142857142858,vet,True,12.968712422007478,12.496525615649945,-0.6393827585070877,-1.1115695648646202
2017,Jarvis Landry,00-0031382,64.0,29,2014,3,16,16.25,vet,True,12.867955287106252,12.496525615649945,3.7534743843500546,3.382044712893748
2017,Brandon Marshall,00-0024334,65.2,30,2006,11,5,6.68,vet,True,12.826116324554492,12.496525615649945,-5.816525615649946,-6.146116324554493
2018,Antonio Brown,00-0027793,4.7,1,2010,8,15,21.58,vet,True,18.74934396221704,18.700576563958915,2.8794234360410833,2.8306560377829584
2018,DeAndre Hopkins,00-0030564,8.8,2,2013,5,16,20.84375,vet,True,17.33674699157141,18.00710576923077,2.836644230769231,3.5070030084285904
2018,Odell Beckham Jr.,00-0031235,11.2,3,2014,4,12,19.361666666666668,vet,True,16.793585878530813,18.00710576923077,1.3545608974358991,2.5680807881358554
2018,Julio Jones,00-0027944,14.2,4,2011,7,16,20.36875,vet,True,16.259059661880393,16.281429738562093,4.087320261437906,4.109690338119606
2018,Michael Thomas,00-0032765,16.0,5,2016,2,16,19.71875,vet,True,15.99025901152472,16.174372178623514,3.544377821376486,3.7284909884752793
2018,Keenan Allen,00-0030279,17.2,6,2013,5,15,17.34,vet,True,15.827373640758253,16.174372178623514,1.1656278213764857,1.5126263592417466
2018,Davante Adams,00-0031381,18.2,7,2014,4,15,21.973333333333336,vet,True,15.700093108189535,16.174372178623514,5.798961154709822,6.273240225143802
2018,A.J. Green,00-0027942,21.3,8,2011,7,8,18.4625,vet,True,15.345844364556989,15.309814510824573,3.1526854891754255,3.11665563544301
2018,Tyreek Hill,00-0033040,23.7,9,2016,2,16,20.875,vet,True,15.105374478312193,15.179405480140774,5.695594519859226,5.769625521687807
2018,Mike Evans,00-0031408,25.5,10,2014,4,16,17.775,vet,True,14.940500936709238,15.179405480140774,2.5955945198592243,2.8344990632907603
2018,Stefon Diggs,00-0031588,26.0,11,2015,3,15,17.753333333333334,vet,True,14.896766241183443,15.179405480140774,2.5739278531925596,2.8565670921498914
2018,T.Y. Hilton,00-0029608,27.4,12,2012,6,14,17.071428571428573,vet,True,14.778642825276286,14.888359769943483,2.1830688014850903,2.292785746152287
2018,Amari Cooper,00-0031544,31.4,13,2015,3,13,16.423076923076923,vet,True,14.471738063368718,14.888359769943483,1.5347171531334407,1.9513388597082049
2018,Adam Thielen,00-0030035,33.5,14,2013,5,16,19.20625,vet,True,14.325931886560433,14.888359769943483,4.317890230056518,4.880318113439568
2018,Larry Fitzgerald,00-0022921,34.9,15,2004,14,16,11.605,vet,True,14.23372098298665,14.183591681330652,-2.5785916813306518,-2.62872098298665
2018,Doug Baldwin,00-0028434,37.6,16,2011,7,11,12.79090909090909,vet,True,14.065888375589338,14.133351985789945,-1.3424428948808558,-1.2749792846802492
2018,Jarvis Landry,00-0031382,39.4,17,2014,4,16,13.57,vet,True,13.960568437811398,14.133351985789945,-0.5633519857899447,-0.39056843781139783
2018,JuJu Smith-Schuster,00-0033857,41.2,18,2017,1,16,18.55625,soph,True,13.85995421772666,14.133351985789945,4.422898014210054,4.696295782273339
2018,Chris Hogan,00-0028237,42.1,19,2011,7,13,7.9,vet,True,13.811283909812595,13.68010859492245,-5.780108594922449,-5.911283909812594
2018,Josh Gordon,00-0029664,44.1,20,2012,6,12,11.558333333333332,vet,True,13.706751643849984,13.68010859492245,-2.121775261589118,-2.148418310516652
2018,Golden Tate,00-0027891,46.7,21,2010,8,15,12.193333333333333,vet,True,13.577731974594146,13.68010859492245,-1.4867752615891163,-1.3843986412608125
2018,Demaryius Thomas,00-0027874,47.0,22,2010,8,14,11.192857142857141,vet,True,13.56330973075846,13.68010859492245,-2.4872514520653084,-2.370452587901319
2018,Marquise Goodwin,00-0030068,48.9,23,2013,5,9,9.522222222222222,vet,True,13.474052889440323,13.555967770655272,-4.03374554843305,-3.9518306672181005
2018,Brandin Cooks,00-0031236,52.5,24,2014,4,15,16.21333333333333,vet,True,13.31406142933642,13.11668762609939,3.0966457072339413,2.8992719039969117
2018,Allen Robinson II,00-0031428,55.2,25,2014,4,13,11.792307692307693,vet,True,13.201110774142643,12.496525615649945,-0.7042179233422523,-1.4088030818349502
2018,Emmanuel Sanders,00-0027685,57.6,26,2010,8,12,16.518333333333334,vet,True,13.105255199499554,12.496525615649945,4.021807717683389,3.41307813383378
2018,Corey Davis,00-0033871,61.1,27,2017,1,16,11.475,soph,True,12.97239560524806,12.496525615649945,-1.0215256156499457,-1.4973956052480606
2018,Marvin Jones Jr.,00-0029293,62.3,28,2012,6,9,12.866666666666667,vet,True,12.928590022443963,12.496525615649945,0.3701410510167218,-0.0619233557772958
2018,Julian Edelman,00-0027150,65.5,29,2009,9,12,17.285,vet,True,12.815776906015437,12.496525615649945,4.788474384350055,4.469223093984564
2018,Michael Crabtree,00-0026986,70.4,30,2009,9,15,8.846666666666666,vet,True,12.653291404943706,11.833267719934385,-2.9866010532677194,-3.8066247382770406
2019,Davante Adams,00-0031381,6.4,1,2014,5,12,17.725,vet,True,18.053989518564833,18.25394794129773,-0.52894794129773,-0.32898951856483194
2019,DeAndre Hopkins,00-0030564,7.0,2,2013,6,15,17.90266666666667,vet,True,17.85215909590917,18.25394794129773,-0.35128127463106296,0.050507570757499565
2019,Julio Jones,00-0027944,10.2,3,2011,8,15,18.273333333333333,vet,True,17.00423144374935,18.00710576923077,0.26622756410256443,1.2691018895839825
2019,Michael Thomas,00-0032765,10.4,4,2016,3,16,23.4125,vet,True,16.960496748223555,18.00710576923077,5.405394230769232,6.452003251776446
2019,JuJu Smith-Schuster,00-0033857,12.9,5,2017,2,12,9.433333333333334,vet,True,16.475310205644085,16.281429738562093,-6.848096405228759,-7.041976872310752
2019,Tyreek Hill,00-0033040,13.9,6,2016,3,12,15.691666666666668,vet,True,16.30715257918013,16.281429738562093,-0.5897630718954243,-0.6154859125134617
2019,Odell Beckham Jr.,00-0031235,15.1,7,2014,5,16,12.70625,vet,True,16.120651653598742,16.174372178623514,-3.4681221786235135,-3.414401653598741
2019,Mike Evans,00-0031408,20.2,8,2014,5,13,17.9,vet,True,15.46526957433013,15.309814510824573,2.5901854891754255,2.434730425669869
2019,Antonio Brown,00-0027793,21.4,9,2010,9,1,16.1,vet,False,15.335295089768778,15.309814510824573,0.7901854891754283,0.7647049102312238
2019,Adam Thielen,00-0030035,22.9,10,2013,6,9,12.711111111111112,vet,True,15.18271309979501,15.179405480140774,-2.468294369029662,-2.471601988683897
2019,Keenan Allen,00-0030279,25.0,11,2013,6,16,16.34375,vet,True,14.985101721862966,15.179405480140774,1.1643445198592257,1.358648278137034
2019,Stefon Diggs,00-0031588,30.8,12,2015,4,15,14.273333333333333,vet,True,14.515191489328156,14.888359769943483,-0.6150264366101492,-0.24185815599482297
2019,Amari Cooper,00-0031544,33.1,13,2015,4,16,15.40625,vet,True,14.352986458711761,14.888359769943483,0.5178902300565174,1.0532635412882385
2019,Julian Edelman,00-0027150,36.1,14,2009,10,16,16.0175,vet,True,14.157580795535646,14.183591681330652,1.8339083186693461,1.8599192044643527
2019,Brandin Cooks,00-0031236,39.1,15,2014,5,13,9.038461538461538,vet,True,13.97778329397397,14.133351985789945,-5.094890447328407,-4.939321755512431
2019,Chris Godwin Jr.,00-0033921,39.9,16,2017,2,14,19.72142857142857,vet,True,13.932166219692814,14.133351985789945,5.5880765856386265,5.789262351735758
2019,Robert Woods,00-0030431,42.2,17,2013,6,15,15.526666666666667,vet,True,13.805940452858572,13.68010859492245,1.8465580717442176,1.7207262138080957
2019,Tyler Lockett,00-0032211,42.9,18,2015,4,16,14.7,vet,True,13.768887061697496,13.68010859492245,1.0198914050775496,0.931112938302503
2019,Cooper Kupp,00-0033908,45.2,19,2017,2,16,16.90625,vet,True,13.651261879627054,13.68010859492245,3.2261414050775503,3.2549881203729463
2019,Kenny Golladay,00-0033932,47.1,20,2017,2,16,15.5,vet,True,13.558522766045314,13.68010859492245,1.8198914050775503,1.9414772339546857
2019,T.Y. Hilton,00-0029608,49.0,21,2012,7,10,12.51,vet,True,13.46945173145668,13.555967770655272,-1.0459677706552721,-0.9594517314566797
2019,Tyler Boyd,00-0033009,51.5,22,2016,3,16,13.93125,vet,True,13.357375572895782,13.555967770655272,0.37528222934472844,0.5738744271042187
2019,Josh Gordon,00-0029664,52.1,23,2012,7,8,8.15,vet,True,13.331287257470908,13.11668762609939,-4.9666876260993895,-5.181287257470908
2019,Calvin Ridley,00-0034837,53.5,24,2018,1,12,16.283333333333335,soph,True,13.271564582728665,13.11668762609939,3.166645707233945,3.01176875060467
2019,Mike Williams,00-0033536,60.3,25,2017,2,15,10.753333333333334,vet,True,13.002079936744503,12.496525615649945,-1.7431922823166115,-2.2487466034111687
2019,Dede Westbrook,00-0033839,62.7,26,2017,2,14,11.192857142857141,vet,True,12.91417547052418,12.496525615649945,-1.303668472792804,-1.7213183276670385
2019,A.J. Green,00-0027942,63.8,27,2011,8,0,,vet,False,12.875004638869402,12.496525615649945,,
2019,Jarvis Landry,00-0031382,64.8,28,2014,5,16,14.8375,vet,True,12.839976467061982,12.496525615649945,2.340974384350055,1.9975235329380183
2019,DJ Moore,00-0034827,67.2,29,2018,1,15,15.366666666666667,soph,True,12.758066856788938,12.496525615649945,2.870141051016722,2.608599809877729
2019,Alshon Jeffery,00-0029137,71.9,30,2012,7,9,13.577777777777778,vet,True,12.605806876297923,11.833267719934385,1.7445100578433923,0.971970901479855
2020,Michael Thomas,00-0032765,5.6,1,2016,4,7,11.985714285714286,vet,True,18.354737740740045,18.25394794129773,-6.268233655583446,-6.36902345502576
2020,Davante Adams,00-0031381,10.4,2,2014,6,14,25.6,vet,True,16.960496748223555,18.00710576923077,7.592894230769232,8.639503251776446
2020,Julio Jones,00-0027944,14.4,3,2011,9,9,16.233333333333334,vet,True,16.227558923918025,16.233333333333334,0.0,0.005774409415309378
2020,Tyreek Hill,00-0033040,15.8,4,2016,4,15,21.926666666666666,vet,True,16.018589775635597,16.174372178623514,5.752294488043152,5.908076891031069
2020,DeAndre Hopkins,00-0030564,18.5,5,2013,7,16,17.9875,vet,True,15.663270499727094,16.174372178623514,1.8131278213764865,2.3242295002729065
2020,Chris Godwin Jr.,00-0033921,21.5,6,2017,3,12,15.916666666666666,vet,True,15.324794995927377,15.309814510824573,0.606852155842093,0.5918716707392893
2020,Kenny Golladay,00-0033932,25.8,7,2017,3,5,13.16,vet,True,14.914158343434849,15.179405480140774,-2.019405480140774,-1.7541583434348489
2020,Mike Evans,00-0031408,27.9,8,2014,6,16,15.5375,vet,True,14.737913577044374,14.888359769943483,0.649140230056517,0.7995864229556258
2020,Adam Thielen,00-0030035,30.3,9,2013,7,15,16.933333333333334,vet,True,14.552054277006727,14.888359769943483,2.044973563389851,2.3812790563266066
2020,Allen Robinson II,00-0031428,31.8,10,2014,6,16,16.431250000000002,vet,True,14.443227985850662,14.888359769943483,1.5428902300565195,1.9880220141493403
2020,DJ Moore,00-0034827,32.6,11,2018,2,15,14.1,vet,True,14.387268186763727,14.888359769943483,-0.788359769943483,-0.28726818676372723
