player_id,name,season,n_games,adot,target_share,yac_per_rec,td_per_target,slot,ppg,cluster,is_top30_recent
00-0029664,Josh Gordon,2019,8,10.3409,0.1533,5.7083,0.0227,0,8.15,1,False
00-0029708,Kendall Wright,2014,13,8.7826,0.2217,6.4286,0.0652,0,12.7923,1,False
00-0029708,Kendall Wright,2015,10,11.6833,0.1705,3.9722,0.05,0,9.65,1,False
00-0029708,Kendall Wright,2016,9,9.3902,0.1376,4.2857,0.0732,0,9.8,0,False
00-0029708,Kendall Wright,2017,14,7.7692,0.205,3.0847,0.011,0,9.0286,1,False
00-0030000,Kenbrell Thompkins,2014,8,12.0465,0.1191,4.4,0.0,1,5.6625,2,False
00-0030035,Adam Thielen,2016,14,10.7222,0.1758,4.3824,0.0556,0,13.9643,1,False
00-0030035,Adam Thielen,2017,16,10.5352,0.2694,4.9121,0.0282,0,14.9812,1,False
00-0030035,Adam Thielen,2018,16,9.4314,0.2525,3.6814,0.0588,0,19.2062,1,False
00-0030035,Adam Thielen,2019,9,12.3617,0.1911,3.9,0.1277,0,12.7111,0,False
00-0030035,Adam Thielen,2020,15,11.4722,0.2293,3.2838,0.1296,0,16.9333,0,False
00-0030035,Adam Thielen,2021,13,9.5053,0.1947,3.5672,0.1053,0,15.3692,0,False
00-0030035,Adam Thielen,2022,17,9.6822,0.1592,2.1714,0.0561,0,10.5882,1,False
00-0030035,Adam Thielen,2023,17,7.7226,0.2338,3.301,0.0292,0,13.5882,1,False
00-0030035,Adam Thielen,2024,10,11.1613,0.1902,3.1667,0.0806,0,13.95,1,False
00-0030035,Adam Thielen,2025,10,9.2903,0.0849,2.4118,0.0,0,3.45,1,False
00-0030047,Marquess Wilson,2015,11,13.1176,0.1364,6.6429,0.0196,0,7.3091,0,False
00-0030068,Marquise Goodwin,2016,14,14.8971,0.165,3.3793,0.0441,0,6.4357,1,False
00-0030068,Marquise Goodwin,2017,16,14.7048,0.173,3.5357,0.019,0,10.5375,1,False
00-0030068,Marquise Goodwin,2018,9,14.7381,0.1516,5.1818,0.0952,0,9.5222,0,False
00-0030068,Marquise Goodwin,2021,11,11.5676,0.1079,4.2632,0.027,0,5.0,1,False
00-0030068,Marquise Goodwin,2022,11,10.6829,0.1043,4.2222,0.0976,0,8.2,0,False
00-0030085,Kenny Stills,2014,15,12.6548,0.1361,2.9841,0.0357,0,11.5933,1,False
00-0030085,Kenny Stills,2015,13,16.3443,0.122,3.7778,0.0492,0,6.8462,0,False
00-0030085,Kenny Stills,2016,14,14.2152,0.1837,4.6098,0.1139,0,11.8929,0,False
00-0030085,Kenny Stills,2017,16,14.8095,0.1744,2.7414,0.0571,0,10.9188,1,False
00-0030085,Kenny Stills,2018,14,16.3968,0.1603,3.3056,0.0952,0,9.3943,0,False
00-0030085,Kenny Stills,2019,13,10.4727,0.13,3.6,0.0727,0,9.2385,0,False
00-0030091,Tavarres King,2017,8,12.4865,0.1289,4.3333,0.0811,0,7.5375,0,False
00-0030113,Charles D. Johnson,2014,10,14.8276,0.1768,5.6333,0.0345,0,8.91,0,False
00-0030113,Charles D. Johnson,2016,9,13.7273,0.0959,3.8235,0.0,0,4.2556,0,False
00-0030147,Russell Shepard,2016,11,13.7,0.1,3.3043,0.05,0,6.2818,1,False
00-0030147,Russell Shepard,2017,8,8.8276,0.1103,5.4,0.0345,0,4.95,1,False
00-0030279,Keenan Allen,2014,14,8.5041,0.249,3.9481,0.0331,0,12.6643,1,False
00-0030279,Keenan Allen,2015,8,7.6517,0.2514,3.5224,0.0449,0,20.4375,1,False
00-0030279,Keenan Allen,2017,16,9.0189,0.2727,4.9118,0.0377,0,17.3875,1,False
00-0030279,Keenan Allen,2018,15,8.5956,0.2869,4.1546,0.0441,0,17.34,1,False
00-0030279,Keenan Allen,2019,16,10.1074,0.2496,3.5481,0.0403,0,16.3438,1,False
00-0030279,Keenan Allen,2020,14,7.1565,0.2611,4.37,0.0544,0,17.5071,1,False
00-0030279,Keenan Allen,2021,16,8.3185,0.2442,3.217,0.0382,0,16.1125,1,False
00-0030279,Keenan Allen,2022,10,8.6517,0.2181,3.8939,0.0449,0,16.4,1,False
00-0030279,Keenan Allen,2023,13,9.68,0.3112,3.6667,0.0467,0,21.4508,1,False
00-0030279,Keenan Allen,2024,15,9.2149,0.2537,3.4286,0.0579,0,12.2933,1,False
