rank_model,player,team,adp,rb_adp_rank,tier,n_seasons,mu_hat,n_eff,V,m_adp,tau2,B,theta_star,post_SD,p_avail,SV,board_value,delta_rank_vs_adp,thin_data_flag,arm_ii_adopted,arm_iii_adopted,m_old,m_deep,d_m,theta_deep,d_theta,rank_old,rank_new,d_rank
11,Omarion Hampton,LAC,19.8,11,soph,1,15.0778,1.0,43.81668066802514,14.434106455309395,14.658756969839503,0.7493177039457075,14.59546903104776,3.314221796340473,0.7864000418139123,11.477877456309622,14.434106455309395,0,single season: n_eff = 1,False,False,14.434106455309395,14.434106455309395,0.0,14.602202964160757,0.0067339331129971924,12,12,0
12,Josh Jacobs,GB,24.6,12,vet,7,16.1148,2.9535,13.421625097815348,14.434106455309395,12.991944015840865,0.5081337186982491,15.26078293914422,2.5693666195949314,0.7766739261280114,11.852652201132516,14.434106455309395,0,,False,False,14.434106455309395,14.434106455309395,0.0,15.21852324493598,-0.04225969420823894,11,11,0
13,Jeremiyah Love,ARI,25.6,13,rookie,0,,0.0,inf,14.434106455309395,11.6785606826606,1.0,14.434106455309395,3.4173909174486607,0.8317548361271903,12.005637849378283,14.434106455309395,0,no NFL rows: full shrinkage to market,False,False,14.434106455309395,14.434106455309395,0.0,14.434106455309395,0.0,14,14,0
14,Kenneth Walker III,KC,26.5,14,vet,4,13.0856,2.6471,14.975168949566555,14.434106455309395,12.991944015840865,0.535456375782848,13.807666379279745,2.637540380182986,0.7925453413369307,10.943201663632728,14.434106455309395,0,,False,False,14.434106455309395,14.434106455309395,0.0,13.841319415203802,0.03365303592405766,17,16,1
15,Javonte Williams,DAL,36.7,18,vet,5,12.7406,2.8182,14.065988832019595,13.416324058711414,12.991944015840865,0.5198471335969713,13.09187321502364,2.5988122010809476,0.8106455966406111,10.612869373536071,13.416324058711414,3,,False,False,13.416324058711414,13.416324058711414,0.0,13.10882150312136,0.016948288097720976,19,19,0
16,Travis Etienne,NO,37.1,19,vet,4,13.2994,2.6471,14.975168949566555,13.416324058711414,12.991944015840865,0.535456375782848,13.362007732719434,2.637540380182986,0.7878401524432858,10.527126209094044,13.416324058711414,3,,False,False,13.416324058711414,13.416324058711414,0.0,13.364925664281948,0.0029179315625142976,18,18,0
17,Cam Skattebo,NYG,30.6,16,soph,1,15.9625,1.0,43.81668066802514,13.416324058711414,14.658756969839503,0.7493177039457075,14.054605289831835,3.314221796340473,0.7663869803894594,10.771266508639943,13.416324058711414,-1,single season: n_eff = 1,False,False,13.416324058711414,13.416324058711414,0.0,14.081241844794953,0.02663655496311712,15,15,0
18,Kyren Williams,LAR,32.2,17,vet,4,15.8829,2.6471,14.975168949566555,13.416324058711414,12.991944015840865,0.535456375782848,14.562156185884447,2.637540380182986,0.8138293669086054,11.851110349582571,13.416324058711414,-1,,False,False,13.416324058711414,13.416324058711414,0.0,14.500600849286107,-0.06155533659834056,13,13,0
19,Breece Hall,NYJ,28.3,15,vet,4,14.3116,2.6471,14.975168949566555,13.416324058711414,12.991944015840865,0.535456375782848,13.832218789152035,2.637540380182986,0.8201599953962868,11.344632498431364,13.416324058711414,-4,,False,False,13.416324058711414,13.416324058711414,0.0,13.809876476072624,-0.02234231307941137,16,17,-1
20,Bucky Irving,TB,42.8,20,vet,2,14.0255,1.8,22.02264984799868,12.035856922066072,12.991944015840865,0.6289563127202805,12.774101426073248,2.8585599876986287,0.8202770575415637,10.478302330516856,12.035856922066072,0,,False,False,12.035856922066072,12.035856922066072,0.0,12.727949868943135,-0.046151557130112764,21,21,0
21,D'Andre Swift,CHI,44.4,21,vet,6,13.6519,2.9077,13.633032887298423,12.035856922066072,12.991944015840865,0.5120392380768971,12.824422533675268,2.579221804151178,0.7935136070637276,10.176353783206013,12.035856922066072,0,,False,False,12.035856922066072,12.035856922066072,0.0,12.783817186872684,-0.04060534680258421,20,20,0
22,Quinshon Judkins,CLE,49.8,22,soph,1,12.1286,1.0,43.81668066802514,11.36028003858886,14.658756969839503,0.7493177039457075,11.55288425061975,3.314221796340473,0.8123726123859547,9.38524675926852,11.36028003858886,0,single season: n_eff = 1,False,False,11.36028003858886,11.360280038588861,1.7763568394002505e-15,11.560921950037738,0.008037699417988264,25,25,0
23,Bhayshul Tuten,JAX,51.2,23,soph,1,5.9067,1.0,43.81668066802514,11.36028003858886,14.658756969839503,0.7493177039457075,9.993164072799548,3.314221796340473,0.7930847187140818,7.9254257177398975,11.36028003858886,0,single season: n_eff = 1,False,False,11.36028003858886,11.360280038588861,1.7763568394002505e-15,9.936112012064848,-0.057052060734699594,30,30,0
24,TreVeyon Henderson,NE,55.7,24,soph,1,12.1294,1.0,43.81668066802514,11.36028003858886,14.658756969839503,0.7493177039457075,11.553084796456591,3.314221796340473,0.8092717552023327,9.349585211229812,11.36028003858886,0,single season: n_eff = 1,False,False,11.36028003858886,11.360280038588861,1.7763568394002505e-15,11.56113086499143,0.008046068534838469,24,24,0
25,Tony Pollard,TEN,63.5,25,vet,7,11.8195,2.9535,13.421625097815348,10.82966031491174,12.991944015840865,0.5081337186982491,11.316529079901,2.5693666195949314,0.7675270650359891,8.685742351090836,10.82966031491174,0,,False,False,10.82966031491174,10.925918745824406,0.09625843091266617,11.342972848807797,0.02644376890679645,26,26,0
26,David Montgomery,HOU,63.6,26,vet,7,12.337,2.9535,13.421625097815348,10.82966031491174,12.991944015840865,0.5081337186982491,11.571069880474656,2.5693666195949314,0.7584497828854173,8.776075438597994,10.82966031491174,0,,False,False,10.82966031491174,10.925918745824406,0.09625843091266617,11.58450152601021,0.013431645535554537,23,23,0
27,Jadarian Price,SEA,64.5,27,rookie,0,,0.0,inf,10.82966031491174,11.6785606826606,1.0,10.82966031491174,3.4173909174486607,0.8114394185644148,8.7876132691821,10.82966031491174,0,no NFL rows: full shrinkage to market,False,False,10.82966031491174,10.925918745824406,0.09625843091266617,10.925918745824406,0.09625843091266617,29,29,0
28,Jaylen Warren,PIT,67.2,28,vet,4,11.3895,2.6471,14.975168949566555,10.82966031491174,12.991944015840865,0.535456375782848,11.08973027120323,2.637540380182986,0.7807667270629891,8.6584924078587,10.82966031491174,0,,False,False,10.82966031491174,10.925918745824406,0.09625843091266617,11.12970342807729,0.03997315687406022,28,28,0
29,Rico Dowdle,PIT,71.3,29,vet,4,11.4369,2.4156,16.410320304022864,10.82966031491174,12.991944015840865,0.5581311740312564,11.097980601643318,2.6928068936538354,0.7840109761449922,8.700938604732565,10.82966031491174,0,,False,False,10.82966031491174,10.925918745824406,0.09625843091266617,11.139090981113265,0.04111037946994678,27,27,0
30,Rhamondre Stevenson,NE,72.2,30,vet,5,12.4388,2.8182,14.065988832019595,10.82966031491174,12.991944015840865,0.5198471335969713,11.602293347149736,2.5988122010809476,0.7628275219964575,8.850548683482218,10.82966031491174,0,,False,False,10.82966031491174,10.925918745824406,0.09625843091266617,11.614387427626905,0.0120940804771692,22,22,0
