rank_model,name,team,adp,adp_rank,tier,n_seasons,n_games,mu_hat,n_eff,m_deep,tau2,B,theta_star,post_SD,arm,board_value,delta_rank_vs_adp,thin_data_flag,team_2025,g_2025,ppg_2025,targets,tgt_share_2025,ay_share_2025,snap_share_2025,rz_tgt_share_2025,i10_tgt_share_2025,rec_tds,team_vacated_share_2026,position,carries,carry_share_full,touches_pg,gl10_carries,sig,pi,value,view
43,Stefon Diggs,WAS,88.1,43,vet,11,161,14.326596684444326,2.9970717423133237,11.063778356464836,10.782394134943546,0.5717301724824253,12.461144999009791,2.4828652920657546,m_deep (market),11.063778356464836,0,,NE,17.0,12.370588235294118,102.0,0.2116182572614107,0.1888551604509974,0.5365630712979891,0.1846153846153846,0.2121212121212121,4.0,0.5231481481481481,WR,,,,,6.164620058544765,11.063778356464836,11.063778356464836,0.0
44,Josh Downs,IND,92.4,44,vet,3,46,10.072576530612244,2.3333333333333335,11.063778356464836,10.782394134943546,0.6316382999991158,10.698657566849796,2.6097074742806288,m_deep (market),11.063778356464836,0,,IND,16.0,8.65,88.0,0.1660377358490566,0.1504566210045662,0.5869565217391305,0.1785714285714285,0.1388888888888889,4.0,0.2886792452830188,WR,,,,,6.810573101316178,11.063778356464836,11.063778356464836,0.0
45,Jayden Reed,GB,92.5,45,vet,3,37,11.0,2.3333333333333335,11.063778356464836,10.782394134943546,0.6316382999991158,11.040284852654183,2.6097074742806288,m_deep (market),11.063778356464836,0,,GB,5.0,9.7,22.0,0.0478260869565217,0.0417931356525799,0.4172839506172839,0.0597014925373134,0.0,1.0,0.4021739130434782,WR,,,,,6.810573101316178,11.063778356464836,11.063778356464836,0.0
46,Jordan Addison,MIN,102.8,49,vet,3,43,11.861607142857142,2.3333333333333335,10.82380934425052,10.782394134943546,0.6316382999991158,11.20609430560243,2.6097074742806288,m_deep (market),10.82380934425052,3,,MIN,14.0,9.65,79.0,0.1688034188034188,0.2882619110992813,0.8520286396181385,0.1733333333333333,0.1785714285714285,3.0,0.1794871794871795,WR,,,,,6.810573101316178,10.82380934425052,10.82380934425052,0.0
47,Xavier Worthy,KC,104.4,50,vet,2,29,9.535897435897436,1.8,10.82380934425052,10.782394134943546,0.6897097655400394,10.424182856243869,2.7270354839591304,m_deep (market),10.82380934425052,3,,KC,14.0,7.85,73.0,0.1329690346083788,0.2082506066622546,0.7033805888767721,0.0769230769230769,0.0454545454545454,1.0,0.3169398907103825,WR,,,,,7.436722530772209,10.82380934425052,10.82380934425052,0.0
48,Quentin Johnston,LAC,95.2,46,vet,3,45,11.642809739280327,2.3333333333333335,10.82380934425052,10.782394134943546,0.6316382999991158,11.125497722065097,2.6097074742806288,m_deep (market),10.82380934425052,-2,,LAC,13.0,13.169230769230769,84.0,0.1544117647058823,0.217553893532776,0.767515923566879,0.1948051948051948,0.2333333333333333,8.0,0.3033088235294117,WR,,,,,6.810573101316178,10.82380934425052,10.82380934425052,0.0
49,Khalil Shakir,BUF,101.1,48,vet,4,47,10.499047619047618,2.6470588235294117,10.82380934425052,10.782394134943546,0.6018310388772187,10.69449930551404,2.5473867911679027,m_deep (market),10.82380934425052,-1,,BUF,16.0,10.4,95.0,0.1983298538622129,0.0965688987271721,0.6007568590350048,0.1884057971014492,0.1111111111111111,4.0,0.1189979123173277,WR,,,,,6.489179463816704,10.82380934425052,10.82380934425052,0.0
50,Deebo Samuel Sr.,SF,97.7,47,vet,7,91,12.921640218049667,2.953488372093023,10.82380934425052,10.782394134943546,0.5753131613547278,11.714730506056728,2.490633103599775,m_deep (market),10.82380934425052,-3,,WAS,16.0,11.7625,99.0,0.2291666666666666,0.131815907953977,0.7223910840932117,0.2553191489361702,0.3043478260869565,5.0,0.3090909090909091,WR,,,,,6.203253256747047,10.82380934425052,10.82380934425052,0.0
51,Makai Lemon,PHI,106.4,51,rookie,0,0,,0.0,10.169649826735766,11.422710913543565,1.0,10.169649826735766,3.3797501259033287,m_deep (market),10.169649826735766,0,no NFL rows: full shrinkage to market,,,,,,,,,,,0.3771551724137931,WR,,,,,11.422710913543566,10.169649826735766,10.169649826735766,0.0
52,Romeo Doubs,NE,111.1,52,vet,4,57,10.225299145299145,2.6470588235294117,10.169649826735766,10.782394134943546,0.6018310388772187,10.191807658095335,2.5473867911679027,m_deep (market),10.169649826735766,0,,GB,16.0,10.3375,85.0,0.1847826086956521,0.253327107167873,0.78,0.2537313432835821,0.32,6.0,0.2759336099585062,WR,,,,,6.489179463816704,10.169649826735766,10.169649826735766,0.0
53,John Metchie III,CAR,116.3,53,vet,3,28,6.393968253968254,2.3333333333333335,10.169649826735766,10.782394134943546,0.6316382999991158,8.778833343929112,2.6097074742806288,m_deep (market),10.169649826735766,0,,NYJ,13.0,5.5307692307692315,48.0,0.1016949152542373,0.0787309048178613,0.4649947753396029,0.1063829787234042,0.1,2.0,0.1583333333333333,WR,,,,,6.810573101316178,10.169649826735766,10.169649826735766,0.0
54,Ricky Pearsall,SF,118.3,54,vet,2,18,10.025925925925923,1.8,10.169649826735766,10.782394134943546,0.6897097655400394,10.12505370385598,2.7270354839591304,m_deep (market),10.169649826735766,0,,SF,9.0,9.844444444444443,53.0,0.0963636363636363,0.1741154562383612,0.7817589576547231,0.0465116279069767,0.048780487804878,0.0,0.3090909090909091,WR,,,,,7.436722530772209,10.169649826735766,10.169649826735764,-1.7763568394002505e-15
