position,era,age,hazard,in_support
WR,1999-2007,29.850000000000126,0.4186417381538686,True
WR,1999-2007,29.900000000000126,0.42082368347203625,True
WR,1999-2007,29.950000000000127,0.4229779592910109,True
WR,1999-2007,30.000000000000128,0.4251045147272168,True
WR,1999-2007,30.05000000000013,0.4272033076357293,True
WR,1999-2007,30.10000000000013,0.42927430436358943,True
WR,1999-2007,30.15000000000013,0.43131747950494065,True
WR,1999-2007,30.20000000000013,0.43333281565825116,True
WR,1999-2007,30.25000000000013,0.4353203031858629,True
WR,1999-2007,30.300000000000132,0.4372799399760959,True
WR,1999-2007,30.350000000000133,0.4392117312081177,True
WR,1999-2007,30.400000000000134,0.4411156891197749,True
WR,1999-2007,30.450000000000134,0.442991832778564,True
WR,1999-2007,30.500000000000135,0.44484018785590984,True
WR,1999-2007,30.550000000000136,0.4466607864049016,True
WR,1999-2007,30.600000000000136,0.4484536666416233,True
WR,1999-2007,30.650000000000137,0.4502188727302038,True
WR,1999-2007,30.700000000000138,0.45195645457169786,True
WR,1999-2007,30.75000000000014,0.45366646759689744,True
WR,1999-2007,30.80000000000014,0.45534897256316015,True
WR,1999-2007,30.85000000000014,0.4570040353553338,True
WR,1999-2007,30.90000000000014,0.45863172679083974,True
WR,1999-2007,30.95000000000014,0.4602321224289725,True
WR,1999-2007,31.000000000000142,0.4618053023844621,True
WR,1999-2007,31.050000000000143,0.46335135114533416,True
WR,1999-2007,31.100000000000144,0.4648703573950969,True
WR,1999-2007,31.150000000000144,0.4663624138392746,True
WR,1999-2007,31.200000000000145,0.4678276170362992,True
WR,1999-2007,31.250000000000146,0.4692660672327644,True
WR,1999-2007,31.300000000000146,0.47067786820304014,True
WR,1999-2007,31.350000000000147,0.47206312709323855,True
WR,1999-2007,31.400000000000148,0.4734219542695145,True
WR,1999-2007,31.45000000000015,0.47475446317068337,True
WR,1999-2007,31.50000000000015,0.4760607701651254,True
WR,1999-2007,31.55000000000015,0.4773409944119488,True
WR,1999-2007,31.60000000000015,0.47859525772637435,True
WR,1999-2007,31.65000000000015,0.4798236844493001,True
WR,1999-2007,31.700000000000152,0.48102640132100416,True
WR,1999-2007,31.750000000000153,0.48220353735893656,True
WR,1999-2007,31.800000000000153,0.4833552237395485,True
WR,1999-2007,31.850000000000154,0.48448159368410515,True
WR,1999-2007,31.900000000000155,0.48558278234842533,True
WR,1999-2007,31.950000000000156,0.48665892671648747,True
WR,1999-2007,32.000000000000156,0.48771016549784024,True
WR,1999-2007,32.05000000000015,0.48873663902875436,True
WR,1999-2007,32.10000000000016,0.48973848917704965,True
WR,1999-2007,32.15000000000016,0.49071585925052863,True
WR,1999-2007,32.20000000000016,0.4916688939089498,True
WR,1999-2007,32.250000000000156,0.492597739079469,True
WR,1999-2007,32.30000000000016,0.4935025418754799,True
WR,1999-2007,32.350000000000165,0.4943834505187774,True
WR,1999-2007,32.40000000000016,0.49524061426497773,True
WR,1999-2007,32.45000000000016,0.4960741833321164,True
WR,1999-2007,32.50000000000016,0.496884308832354,True
WR,1999-2007,32.55000000000017,0.4976711427067132,True
WR,1999-2007,32.600000000000165,0.4984348376627771,True
WR,1999-2007,32.65000000000016,0.49917554711527073,True
WR,1999-2007,32.700000000000166,0.499893425129455,True
WR,1999-2007,32.75000000000017,0.5005886263672575,True
WR,1999-2007,32.80000000000017,0.5012613060360678,True
WR,1999-2007,32.850000000000165,0.5019116198401244,True
WR,1999-2007,32.90000000000017,0.5025397239344208,True
WR,1999-2007,32.95000000000017,0.5031457748810567,True
WR,1999-2007,33.00000000000017,0.5037299296079674,True
WR,1999-2007,33.05000000000017,0.5042923453699555,True
WR,1999-2007,33.10000000000017,0.5048331797119587,True
WR,1999-2007,33.150000000000176,0.5053525904344832,True
WR,1999-2007,33.20000000000017,0.5058507355611332,True
WR,1999-2007,33.25000000000017,0.506327773308171,True
WR,1999-2007,33.300000000000175,0.5067838620560394,True
WR,1999-2007,33.35000000000018,0.5072191603227815,True
WR,1999-2007,33.400000000000176,0.5076338267392921,True
WR,1999-2007,33.45000000000017,0.5080280200263397,True
WR,1999-2007,33.50000000000018,0.508401898973291,True
WR,1999-2007,33.55000000000018,0.5087556224184827,True
WR,1999-2007,33.60000000000018,0.5090893492311732,True
WR,1999-2007,33.650000000000176,0.5094032382950217,True
WR,1999-2007,33.70000000000018,0.5096974484930282,True
WR,1999-2007,33.750000000000185,0.5099721386938839,True
WR,1999-2007,33.80000000000018,0.5102274677396706,True
WR,1999-2007,33.85000000000018,0.5104635944348572,True
WR,1999-2007,33.90000000000018,0.5106806775365358,True
WR,1999-2007,33.95000000000019,0.5108788757458469,True
WR,1999-2007,34.000000000000185,0.5110583477005403,True
WR,1999-2007,34.05000000000018,0.511219251968621,True
WR,1999-2007,34.100000000000186,0.5113617470430293,True
WR,1999-2007,34.15000000000019,0.5114859913373077,True
WR,1999-2007,34.20000000000019,0.5115921431822057,True
WR,1999-2007,34.250000000000185,0.5116803608231764,True
WR,1999-2007,34.30000000000019,0.5117508024187181,True
WR,1999-2007,34.35000000000019,0.5118036260395183,True
WR,1999-2007,34.40000000000019,0.5118389896683538,True
WR,1999-2007,34.45000000000019,0.5118570512007068,True
WR,1999-2007,34.50000000000019,0.511857968446054,True
