pos,window,rate,fit,n_fit,alpha,beta,prior_mean,prior_n,mu_phat,var_phat,binom_noise,var_p,degenerate
QB,season_2020,boom,population,34,3.341218999343019,6.422283059376326,0.3422152194211017,9.763502058719345,0.3422152194211017,0.03870152550357966,0.01778788960797301,0.020913635895606648,False
QB,season_2020,bust,board,11,1.4936016053287238,8.949742195834657,0.14301948051948052,10.443343801163381,0.14301948051948052,0.019352472428365287,0.008641887232195793,0.010710585196169494,False
QB,season_2020,bust,population,34,3.4226503644310546,18.52411533115739,0.15595238095238095,21.946765695588443,0.15595238095238095,0.016137976514960642,0.010401602266237183,0.005736374248723459,False
QB,season_2021,boom,board,14,3.379468130161057,6.001807523870917,0.36023545781949146,9.381275654031974,0.36023545781949146,0.03808947999988654,0.015889330381514504,0.022200149618372033,False
QB,season_2021,boom,population,31,2.8028813989036485,6.811852842785038,0.2915193835260249,9.614734241688687,0.2915193835260249,0.03351157385646785,0.014054107672955212,0.01945746618351264,False
QB,season_2021,bust,board,14,2.067220776236134,9.285684469689281,0.1820873804067082,11.352905245925415,0.18208738040670816,0.022324396834438823,0.010267996875210142,0.012056399959228681,False
QB,season_2021,bust,population,31,2.979886997401282,11.8797511970493,0.20053563609066458,14.859638194450582,0.20053563609066458,0.021018090052057237,0.010909341492807331,0.010108748559249906,False
QB,season_2022,boom,board,13,1.8933353369579289,3.494821418164814,0.35138831756478817,5.3881567551227425,0.35138831756478817,0.052475812106911705,0.016798139097242957,0.035677673009668745,False
QB,season_2022,boom,population,33,1.246769152875599,4.262557331508335,0.2263015554459405,5.509326484383934,0.2263015554459405,0.04040098553939579,0.013502786183635637,0.026898199355760155,False
QB,season_2022,bust,board,13,0.8869239741236087,6.291110854346388,0.12356083459024636,7.178034828469997,0.12356083459024636,0.021223634092903124,0.0079816319472766,0.013242002145626524,False
QB,season_2022,bust,population,33,2.301948815655016,10.29929325406519,0.18267634276992564,12.601242069720207,0.18267634276992567,0.022491736111164885,0.01151437861713701,0.010977357494027874,False
QB,season_2023,boom,board,15,8.019639026008708,14.591628322350061,0.3546744595274006,22.61126734835877,0.3546744595274007,0.025535242306885243,0.015841544636638987,0.009693697670246255,False
QB,season_2023,boom,population,35,2.955199730926593,8.8292373785151,0.25077139480500826,11.784437109441692,0.25077139480500826,0.029448861915381076,0.014752469673457487,0.01469639224192359,False
QB,season_2023,bust,board,15,5.011239863088077,35.823099937119565,0.12272121669180494,40.834339800207644,0.12272121669180494,0.01002504106024202,0.007451539956133437,0.0025735011041085826,False
QB,season_2023,bust,population,35,1.8836219273393642,5.114330931900891,0.2691675644616821,6.997952859240256,0.2691675644616821,0.04004173172906253,0.015445889497237363,0.024595842231825166,False
QB,season_2024,boom,board,21,2.3774857314872775,4.553207581999693,0.3430372148859544,6.930693313486971,0.3430372148859544,0.04399155278357841,0.015575035440007804,0.028416517343570605,False
QB,season_2024,boom,population,36,1.6182345126407118,4.534455563490431,0.2630125185272244,6.152690076131142,0.2630125185272244,0.042511401773895036,0.015411537029016232,0.027099864744878806,False
QB,season_2024,bust,board,21,4.420273840621603,26.6205476219191,0.14240196078431366,31.040821462540706,0.14240196078431366,0.012251585928489043,0.008440084326013819,0.0038115016024752243,False
QB,season_2024,bust,population,36,8.978198543477198,35.23852766994153,0.20304982553757062,44.21672621341873,0.20304982553757062,0.01644476744124695,0.012865990129440815,0.0035787773118061365,False
QB,season_2025,boom,board,21,3098.8664653752767,5429.089445607384,0.3633774022429485,8527.95591098266,0.3633774022429485,0.016547983064400463,0.016520859666390605,2.7123398009858135e-05,False
QB,season_2025,boom,population,36,14.563156546043032,35.833478362431094,0.288970812684048,50.39663490847413,0.288970812684048,0.020646108598890458,0.016648440610185382,0.003997667988705076,False
QB,season_2025,bust,board,21,5.744843349323225,30.292360738643332,0.159414235779782,36.03720408796656,0.159414235779782,0.013187796574979352,0.009569776788921383,0.003618019786057969,False
