year,name,gsis_id,adp,adp_rank,rookie_season,exp,games,ppg,tier,in_fit,m_ols,m_iso,resid_iso,resid_ols
2016,Jordy Nelson,00-0026176,17.3,11,2008,8,16,19.04375,vet,True,15.970281406537824,16.42261932202348,2.62113067797652,3.0734685934621755
2016,Amari Cooper,00-0031544,20.1,12,2015,1,16,14.518749999999999,soph,True,15.622951655087569,15.39774859415863,-0.8789985941586309,-1.1042016550875697
2016,Alshon Jeffery,00-0029137,22.1,13,2012,4,12,12.174999999999999,vet,True,15.403324923013155,15.39774859415863,-3.222748594158631,-3.2283249230131563
2016,Brandin Cooks,00-0031236,23.3,14,2014,2,15,16.42,vet,True,15.280900310286668,15.39774859415863,1.0222514058413719,1.1390996897133334
2016,Jarvis Landry,00-0031382,26.9,15,2014,2,16,14.58125,vet,True,14.948250624031505,14.881502854988153,-0.3002528549881518,-0.3670006240315047
2016,Sammy Watkins,00-0031325,28.3,16,2014,2,8,10.375,vet,True,14.830781351120482,14.881502854988153,-4.5065028549881525,-4.455781351120482
2016,T.Y. Hilton,00-0029608,29.4,17,2012,4,16,17.1125,vet,True,14.742491319796084,14.881502854988153,2.230997145011848,2.3700086802039166
2016,Demaryius Thomas,00-0027874,29.7,18,2010,6,16,14.14375,vet,True,14.718985268409604,14.881502854988153,-0.7377528549881518,-0.5752352684096032
2016,Randall Cobb,00-0028002,31.5,19,2011,5,12,12.358333333333334,vet,True,14.582750318570813,14.881502854988153,-2.5231695216548182,-2.224416985237479
2016,Julian Edelman,00-0027150,35.1,20,2009,7,16,14.51875,vet,True,14.332200573589176,14.318447404719464,0.20030259528053662,0.18654942641082428
2016,Jeremy Maclin,00-0026995,37.3,21,2009,7,11,9.954545454545455,vet,True,14.191446810557506,14.318447404719464,-4.363901950174009,-4.236901356012051
2016,Donte Moncrief,00-0031339,38.4,22,2014,2,9,11.399999999999999,vet,True,14.124153862805898,14.318447404719464,-2.9184474047194655,-2.724153862805899
2016,Kelvin Benjamin,00-0031359,39.2,23,2014,2,15,13.140000000000002,vet,True,14.076413487440606,14.318447404719464,-1.1784474047194617,-0.9364134874406034
2016,Golden Tate,00-0027891,43.6,24,2010,6,16,13.94375,vet,True,13.830108154600405,13.894337842606387,0.04941215739361304,0.1136418453995951
