pos,a,b,adp_a,adp_b,val_a,val_b,d_p25,d_p90,d_bust,d_boom,shape_dist,p25_a,p25_b,p90_a,p90_b,bust_a,bust_b,boom_a,boom_b,n_a,n_b
WR,Rashid Shaheed,Matthew Golden,119.0,119.9,10.169649826735766,10.169649826735766,3.4250000000000003,8.800000000000004,-0.1589906281275082,0.038307867652988506,12.225000000000005,6.15,2.725,19.980000000000004,11.18,0.3942950282300519,0.5532856563575601,0.1280536120997148,0.0897457444467263,35,12
RB,Tyrone Tracy Jr.,Dylan Sampson,156.1,164.1,7.491790151433533,7.481169871794872,4.1,8.089999999999995,-0.240121671008303,0.1552874838013443,12.189999999999994,6.1,2.0,22.7,14.610000000000005,0.1052639096620575,0.3453855806703605,0.354166831776986,0.1988793479756417,31,14
RB,James Conner,Kimani Vidal,163.1,172.2,7.481169871794872,7.481169871794872,5.65,6.2200000000000095,-0.3543230768510057,0.3376908716775661,11.87000000000001,8.05,2.4,25.92000000000001,19.7,0.0497835065168283,0.404106583367834,0.5597838353925445,0.2220929637149784,32,21
WR,Romeo Doubs,John Metchie III,111.1,116.3,10.169649826735766,10.169649826735766,4.175,7.649999999999995,-0.3794868336934176,0.0005790718421612023,11.824999999999996,6.0,1.825,18.56,10.910000000000004,0.3762659640045022,0.7557527976979198,0.0573406303081617,0.0567615584660005,45,28
RB,Isiah Pacheco,Tank Bigsby,148.9,155.6,7.491790151433535,7.491790151433535,4.324999999999999,7.339999999999996,-0.3151129731791222,0.15617862987301628,11.664999999999996,5.725,1.4,19.74,12.400000000000002,0.0973584602245659,0.4124714334036881,0.2760115723372355,0.1198329424642192,34,35
RB,Tyrone Tracy Jr.,Ray Davis,156.1,161.4,7.491790151433533,7.481169871794872,4.6499999999999995,6.949999999999999,-0.29819993707717607,0.16768300383887638,11.599999999999998,6.1,1.45,22.7,15.75,0.1052639096620575,0.4034638467392336,0.354166831776986,0.1864838279381096,31,26
RB,Isiah Pacheco,Keaton Mitchell,148.9,157.1,7.491790151433535,7.491790151433535,2.8499999999999996,8.389999999999995,-0.20669858779707762,0.1642194174880264,11.239999999999995,5.725,2.875,19.74,11.350000000000003,0.0973584602245659,0.3040570480216435,0.2760115723372355,0.1117921548492091,34,20
RB,Tyrone Tracy Jr.,Chris Rodriguez Jr.,156.1,160.6,7.491790151433533,7.491790151433536,3.3499999999999996,7.8199999999999985,-0.19157255456630318,0.154903499363692,11.169999999999998,6.1,2.75,22.7,14.88,0.1052639096620575,0.2968364642283607,0.354166831776986,0.199263332413294,31,24
WR,Calvin Ridley,Tre Tucker,130.2,136.2,10.169649826735766,10.169649826735766,2.1000000000000005,8.999999999999998,-0.20333678111595016,0.11182973677455499,11.099999999999998,6.65,4.55,24.22,15.22,0.3818293864169578,0.585166167532908,0.2103470372405856,0.0985173004660306,39,40
RB,Tyrone Tracy Jr.,Justice Hill,156.1,163.6,7.491790151433533,7.481169871794872,3.05,7.779999999999989,-0.1592550107677692,0.1999178180885545,10.829999999999988,6.1,3.05,22.7,14.92000000000001,0.1052639096620575,0.2645189204298267,0.354166831776986,0.1542490136884315,31,39
