overall_rank,name,team,adp,position,pi,sig,theta_bar,shift,post_SD,theta_tau0.25,theta_tau1.0
22,Ashton Jeanty,LV,14.1,RB,15.781450991037447,14.658756969839503,15.280725495518723,-0.5007254955187239,1.914337807822819,15.280725495518723,15.280725495518723
23,Chris Olave,NO,20.1,WR,15.264123230025064,6.657037092896323,15.264123230025062,-1.7763568394002505e-15,1.8244227981606023,15.264123230025062,15.264123230025062
24,DeVonta Smith,PHI,29.1,WR,14.18879424254527,6.485773461465934,14.939397121272634,0.7506028787273635,1.2733590873616458,14.939397121272634,14.939397121272634
25,Malik Nabers,NYG,33.9,WR,14.852016653924087,7.658015775788999,14.852016653924087,0.0,1.9567850898590011,14.852016653924087,14.852016653924087
26,Kenneth Walker,KC,26.5,RB,14.434106455309395,12.991944015840865,14.782053227654698,0.3479467723453027,1.8022169691688668,14.782053227654698,14.782053227654698
27,Tetairoa McMillan,CAR,33.9,WR,14.180664596844746,6.556580007084911,14.690332298422375,0.5096677015776283,1.2802909832421798,14.690332298422375,14.690332298422375
28,Tee Higgins,CIN,39.2,WR,14.630189912747197,6.399653037140908,14.630189912747197,0.0,1.7888058918089615,14.630189912747197,14.630189912747197
29,Garrett Wilson,NYJ,28.5,WR,14.54200885495766,6.657037092896323,14.542008854957661,1.7763568394002505e-15,1.8244227981606023,14.542008854957661,14.542008854957661
30,Zay Flowers,BAL,26.6,WR,14.469832975288512,6.995706845089024,14.469832975288513,1.7763568394002505e-15,1.87025490844016,14.469832975288513,14.469832975288513
31,Emeka Egbuka,TB,33.7,WR,14.060640731506089,6.556580007084911,14.460320365753043,0.3996796342469544,1.2802909832421798,14.460320365753043,14.460320365753043
32,Omarion Hampton,LAC,19.8,RB,14.434106455309395,14.658756969839503,14.434106455309394,-1.7763568394002505e-15,2.7072824907866098,14.434106455309394,14.434106455309394
33,Josh Jacobs,GB,24.6,RB,14.434106455309395,12.991944015840865,14.333285164247515,-0.1008212910618802,2.279644184151629,14.333285164247515,14.333285164247515
34,Cam Skattebo,NYG,30.6,RB,13.416324058711414,14.658756969839503,13.918162029355708,0.5018379706442939,1.914337807822819,13.918162029355706,13.918162029355706
35,Javonte Williams,DAL,36.7,RB,13.416324058711414,12.991944015840865,13.918162029355706,0.5018379706442921,1.8022169691688668,13.918162029355706,13.918162029355706
36,Jeremiyah Love,ARI,25.6,RB,14.434106455309395,11.6785606826606,13.9170532276547,-0.5170532276546957,1.7086954587243302,13.9170532276547,13.9170532276547
37,DJ Moore,BUF,51.3,WR,13.184516640660508,6.3348474257848,13.682258320330254,0.4977416796697458,1.2584561400566172,13.682258320330254,13.682258320330254
38,Mike Evans,SF,60.0,WR,13.03472593917432,6.3145576846418425,13.53236296958716,0.49763703041283947,1.2564391832319066,13.532362969587162,13.532362969587162
39,Ladd McConkey,LAC,44.2,WR,13.466787350001091,7.658015775788999,13.466787350001091,0.0,1.9567850898590011,13.466787350001091,13.466787350001091
40,Rome Odunze,CHI,49.7,WR,12.956058816499738,7.658015775788999,13.45802940824987,0.5019705917501316,1.3836560063640275,13.45802940824987,13.45802940824987
41,Terry McLaurin,WAS,42.6,WR,13.425537829677204,6.356469858895891,13.425537829677204,0.0,1.782760480111657,13.425537829677204,13.425537829677204
42,Breece Hall,NYJ,28.3,RB,13.416324058711414,12.991944015840865,13.416324058711412,-1.7763568394002505e-15,2.5487196801375456,13.416324058711412,13.416324058711412
43,Kyren Williams,LAR,32.2,RB,13.416324058711414,12.991944015840865,13.416324058711412,-1.7763568394002505e-15,2.5487196801375456,13.416324058711412,13.416324058711412
44,Travis Etienne Jr.,NO,37.1,RB,13.416324058711414,12.991944015840865,13.416324058711412,-1.7763568394002505e-15,2.5487196801375456,13.416324058711412,13.416324058711412
45,Jameson Williams,DET,45.8,WR,13.385764398847712,6.657037092896323,13.38576439884771,-1.7763568394002505e-15,1.8244227981606023,13.38576439884771,13.38576439884771
46,Jaylen Waddle,DEN,48.8,WR,13.321695707813866,6.485773461465934,13.321695707813866,0.0,1.8008016911178661,13.321695707813866,13.321695707813866
47,Luther Burden III,CHI,53.4,WR,12.602472268720962,6.556580007084911,13.251236134360482,0.6487638656395198,1.2802909832421798,13.251236134360482,13.251236134360482
48,Courtland Sutton,DEN,59.8,WR,12.801050490804348,6.3348474257848,12.100525245402176,-0.7005252454021722,1.2584561400566172,12.100525245402176,12.100525245402176
49,Bucky Irving,TB,42.8,RB,12.035856922066072,12.991944015840865,12.035856922066072,0.0,2.5487196801375456,12.035856922066072,12.035856922066072
50,D'Andre Swift,CHI,44.4,RB,12.035856922066072,12.991944015840865,12.035856922066072,0.0,2.5487196801375456,12.035856922066072,12.035856922066072
51,Quinshon Judkins,CLE,49.8,RB,11.36028003858886,14.658756969839503,11.860140019294432,0.4998599807055726,1.914337807822819,11.860140019294429,11.860140019294429
52,Alec Pierce,IND,55.5,WR,11.810399696098331,6.657037092896323,11.710319756878667,-0.10007993921966474,1.631813358554994,11.710319756878667,11.710319756878667
