log_src,log_ffc_equiv,position
5.117933930384341,5.101038832703832,QB
5.118951437579715,5.101038832703832,QB
5.120744516776286,5.143416405330075,QB
5.125688681724982,5.176714544788788,QB
0.4762341789963717,0.47000362924573563,RB
0.959350221334602,0.6931471805599453,RB
1.8946168546677629,1.667706820558076,RB
2.089391872533004,2.0149030205422647,RB
2.511223958105374,2.2407096892759584,RB
2.5626389983283526,2.714694743820879,RB
2.8338014064077703,2.7873491606223317,RB
2.8814431271518632,2.7873491606223317,RB
2.9621754900251482,2.9571348491815623,RB
3.0402275134405423,2.9571348491815623,RB
3.0946722214088944,2.9571348491815623,RB
3.211649779776461,2.9571348491815623,RB
3.2634667081960758,2.9571348491815623,RB
3.3520071374713836,3.202746442938317,RB
3.6488384045767526,3.342861804649192,RB
3.661251286996462,3.4985810721897406,RB
3.750444809772091,3.4985810721897406,RB
3.7600366484302645,3.4985810721897406,RB
3.9150185144079446,3.6136169696133895,RB
4.00369019395397,3.832276543309179,RB
4.0260657214688065,3.832276543309179,RB
4.269977130865259,3.906609808185709,RB
4.286478926661966,3.906609808185709,RB
4.328625857946767,4.0441765011957695,RB
4.379272846477261,4.0441765011957695,RB
4.397038392294319,4.158852564850186,RB
4.506895616719751,4.158852564850186,RB
4.651099117876491,4.207673247529104,RB
4.707636517532581,4.26689632742025,RB
4.721974965530176,4.279440045898781,RB
4.745106026285608,4.3134800921387715,RB
4.814295945534097,4.494238001080177,RB
4.8160791996339585,4.494238001080177,RB
4.826872699505897,4.5067525529973596,RB
4.855228269843183,4.5067525529973596,RB
4.863989713754771,4.5067525529973596,RB
4.864915639746849,4.663226339704885,RB
4.892902257189914,4.663226339704885,RB
4.945492145764051,4.765799084013722,RB
4.956882838097009,4.765799084013722,RB
5.011168485257914,4.901294253075574,RB
5.021179507971927,4.901294253075574,RB
5.054269331116317,4.901294253075574,RB
5.055799846050629,4.901294253075574,RB
5.062595033026967,5.003274939689963,RB
5.115655751940977,5.0250881690128475,RB
