overall,n_avail,key,p_M0,rank_M0,p_M1,rank_M1,p_M2,rank_M2,p_M2R,rank_M2R,p_OLS,rank_OLS,p_UNIF
58,147,joe burrow,0.033750491585032634,6,0.016766623363387852,19,0.020818666657961015,17,0.02030686779071149,17,0.045668928095120666,6,0.006802721088435374
59,146,terry mclaurin,0.05627589809573089,2,0.07465967769723633,2,0.051034945843204824,3,0.0516404868197796,3,0.014160536197084593,25,0.00684931506849315
60,145,dj moore,0.08501355265194158,1,0.08600303899764773,1,0.07261283603534892,1,0.07248335346492006,1,0.03303806104366862,17,0.006896551724137931
61,144,rome odunze,0.057461619249244575,2,0.05268544933999826,2,0.05326002970439659,2,0.052983418187798004,2,0.023121176888699514,22,0.006944444444444444
62,143,jadarian price,0.010661614303845865,27,0.010465138564964924,27,0.03230716777470275,9,0.032242885330681204,9,0.04446499748090432,5,0.006993006993006993
63,142,mike evans,0.04164624462949458,5,0.0348749129702989,6,0.03442226067279354,9,0.03429405593859912,9,0.03903404707410596,13,0.007042253521126761
64,141,carnell tate,0.03409111145623026,7,0.0425920335187178,7,0.029561211958775105,9,0.029850297501424903,9,0.027541067861003184,20,0.0070921985815602835
66,139,sam laporta,0.0013884246844327254,77,0.02426611076849928,11,0.034482253889057284,9,0.033573764170359476,9,0.0442174787909217,6,0.007194244604316547
67,138,jonathon brooks,0.002012846804897311,68,0.0009431606552419437,86,0.0031010011802387978,60,0.003117912626663287,60,7.198654897673755e-06,50,0.007246376811594203
68,137,brian thomas,0.013141618753324402,20,0.011942824010755776,20,0.010511712753253194,21,0.010243798691152706,21,0.02873440115645077,17,0.0072992700729927005
69,136,parker washington,0.025304914059794334,13,0.029672718464803207,9,0.01911332787445827,19,0.0193586933619737,18,0.042522539571942776,7,0.007352941176470588
70,135,tucker kraft,0.0008142629135113329,91,0.013172402126398843,28,0.01775063412032451,22,0.01731246136566721,22,0.004041834995197794,36,0.007407407407407408
71,134,marvin harrison,0.039885315426352506,6,0.04522800894870894,6,0.048450956870621516,7,0.047500095585501265,7,0.027240128435709755,19,0.007462686567164179
72,133,jalen hurts,0.030447527895081948,10,0.02094440380906213,11,0.012289698191960012,16,0.012157379425957737,16,0.04476866560046819,2,0.007518796992481203
73,132,jaylen warren,0.014406664995320147,17,0.013131236936785876,17,0.06164678308091679,5,0.05981221362378385,5,0.027144929932420524,21,0.007575757575757576
75,130,rhamondre stevenson,0.008542178948165067,30,0.0069106384388352045,30,0.031243541071076224,10,0.030393954285499625,10,0.03462101380055174,13,0.007692307692307693
76,129,rj harvey,0.004309567543174376,48,0.002213534926662452,61,0.007916400483904242,34,0.007935525194539123,34,0.045870755194834203,2,0.007751937984496124
77,128,harold fannin,0.0021783952734992736,64,0.0014814106009247484,62,1.3175252370755696e-08,111,0.0009843022021290301,76,0.017742475708907968,26,0.0078125
78,127,kyle pitts,0.0016458579303022698,67,0.029583326816704492,9,0.027238388641803866,11,0.026936660235056382,11,0.011063888416111715,31,0.007874015748031496
79,126,dk metcalf,0.08468922139157496,1,0.12344066953689709,1,0.10908324118997671,1,0.10927627818882862,1,0.011783418145969803,30,0.007936507936507936
80,125,michael pittman,0.0606306796778876,3,0.05325613689774587,3,0.06707430102110973,2,0.06636367982758845,2,0.025064937097884755,21,0.008
81,124,jordyn tyson,0.016247217831698208,17,0.010592355804081284,30,0.011488713309007042,25,0.011445283104684133,25,0.044557185448375114,3,0.008064516129032258
82,123,chuba hubbard,0.013894679249829033,18,0.014419967361068653,17,0.049344831322198496,6,0.04916221475784496,6,0.02208932352560074,21,0.008130081300813009
83,122,courtland sutton,0.04724795297653295,4,0.054291490267944366,4,0.07044397786276234,5,0.06904120628747085,5,0.0012113277981433167,43,0.00819672131147541
84,121,jordan addison,0.01397342497688306,19,0.014548883496558905,18,0.009904237958706348,21,0.010047912342080198,21,0.02257853269090642,21,0.008264462809917356
86,119,tony pollard,0.01914071132707405,13,0.018042710621119794,13,0.10835365164146998,3,0.10465127276962777,3,0.0005704073054074996,47,0.008403361344537815
87,118,chris godwin,0.012433864484537375,20,0.007174181299985411,34,0.00841008025050653,30,0.008366527422776264,29,0.03863970585703293,12,0.00847457627118644
