year,name,gsis_id,adp,adp_rank,rookie_season,exp,games,ppg,tier,in_fit,m_ols,m_iso,resid_iso,resid_ols
2020,Nick Chubb,00-0034791,16.3,13,2018,2,12,17.308333333333334,vet,True,15.07100421938684,15.735458225108225,1.5728751082251087,2.237329113946494
2020,Aaron Jones Sr.,00-0033293,17.5,14,2017,3,14,18.492857142857144,vet,True,14.881193781551445,15.735458225108225,2.757398917748919,3.6116633613056983
2020,James Conner,00-0033553,22.4,15,2017,3,13,12.661538461538461,vet,True,14.22157374195181,14.529086646022046,-1.867548184483585,-1.5600352804133486
2020,Chris Carson,00-0033594,26.4,16,2017,3,12,15.65,vet,True,13.782549392177623,14.529086646022046,1.1209133539779543,1.8674506078223772
2020,David Johnson,00-0032187,28.5,17,2015,5,12,14.958333333333334,vet,True,13.578031233042967,13.4515204915999,1.5068128417334332,1.3803021002903666
2020,Todd Gurley,00-0032241,29.1,18,2015,5,15,10.879999999999999,vet,True,13.522361716355515,13.4515204915999,-2.5715204915999017,-2.6423617163555164
2020,Jonathan Taylor,00-0036223,32.6,19,2020,0,15,16.853333333333335,rookie,True,13.218887123255364,13.4515204915999,3.4018128417334346,3.6344462100779715
2020,LeVeon Bell,00-0030496,34.5,20,2013,7,11,6.781818181818181,vet,True,13.067523969595968,13.4515204915999,-6.669702309781719,-6.285705787777786
2020,Leonard Fournette,00-0033856,35.4,21,2017,3,12,11.0,vet,True,12.998712266054433,13.4515204915999,-2.4515204915999007,-1.998712266054433
2020,Melvin Gordon III,00-0032144,39.4,22,2015,5,15,13.226666666666667,vet,True,12.712659690114272,12.425298295454546,0.8013683712121207,0.5140069765523947
2020,Mark Ingram II,00-0027966,42.5,23,2011,9,10,5.29,vet,True,12.51028401952129,12.042590420341435,-6.752590420341435,-7.22028401952129
2020,Devin Singletary,00-0035250,46.4,24,2019,1,16,8.975,soph,True,12.275691230377443,12.042590420341435,-3.0675904203414355,-3.300691230377444
2020,Raheem Mostert,00-0031687,49.4,25,2015,5,8,12.4625,vet,True,12.108285336580256,11.408677885557127,1.0538221144428732,0.3542146634197447
2020,Cam Akers,00-0036414,52.8,26,2020,0,11,9.254545454545454,rookie,True,11.930432296046147,11.408677885557127,-2.154132431011673,-2.6758868415006933
2020,Kareem Hunt,00-0033923,53.1,27,2017,3,16,13.65625,vet,True,11.915293217872959,11.408677885557127,2.247572114442873,1.740956782127041
2020,Ronald Jones,00-0034816,56.5,28,2018,2,14,13.307142857142859,vet,True,11.749456493166651,11.408677885557127,1.8984649715857316,1.5576863639762077
2020,David Montgomery,00-0035685,59.7,29,2019,1,15,17.653333333333332,soph,True,11.602250107900536,11.408677885557127,6.244655447776205,6.051083225432796
2020,D'Andre Swift,00-0036275,61.4,30,2020,0,13,14.600000000000001,rookie,True,11.527225059559596,11.408677885557127,3.1913221144428743,3.0727749404404054
