tag,game_noise,strategy,E_lineup_ppg,sd_outcome,se_level,delta_vs_S0,se_paired,t,p_beats_S0,mix,nsim
base,False,S9_minRB3_marg,62.6396088900023,4.19950175286293,0.10843066900804656,4.693396405652985,0.1368605096316436,34.29328458797308,0.8066666666666666,"QB2.0,RB3.0,TE1.0,WR8.0",1500
base,False,S8_minRB4_in6,60.34943379363924,3.8933260640570406,0.10052524671632126,2.403221309289919,0.13163228230236504,18.257081524801155,0.6746666666666666,"QB1.0,RB4.0,TE1.0,WR8.0",1500
base,False,S9_minRB4_marg,61.082727949905575,4.122401140170955,0.10643993974845717,3.1365154655562595,0.1349686692272654,23.238841158571958,0.7313333333333333,"QB2.0,RB4.0,TE1.0,WR7.0",1500
base,False,S8_minRB5_in6,60.904012581791214,3.8554716136718685,0.09954784901017721,2.9578000974419005,0.13948132171729805,21.205707409604244,0.6986666666666667,"QB1.0,RB5.0,TE1.0,WR7.0",1500
base,False,S9_minRB5_marg,61.76939544706668,3.9707458064543077,0.10252421586946982,3.823182962717363,0.14363471712151835,26.61740169323312,0.748,"QB2.0,RB5.0,TE1.0,WR6.0",1500
base,True,S0_adp,71.35471430210221,5.769410271545674,0.2106690766151714,0.0,0.0,0.0,0.0,"QB1.5,RB4.5,TE1.5,WR6.5",750
base,True,S1_board,74.63723127309517,5.4300707757101465,0.1982781501804015,3.2825169709929725,0.2512553992986062,13.064463411159746,0.684,"QB1.0,RB2.0,TE1.0,WR10.0",750
base,True,S2_board_dRB,75.43181358721283,5.302936801840239,0.1936358738261468,4.077099285110627,0.21816078339901854,18.68850680488054,0.752,"QB1.0,RB4.1,TE1.0,WR7.9",750
base,True,S3_lineup_marginal,74.6300680141177,5.477060883643762,0.19999398632005777,3.2753537120154954,0.2529041157437824,12.95097038014898,0.6786666666666666,"QB1.1,RB2.0,TE1.0,WR9.9",750
base,True,S4_lineup_marginal_dRB,75.18310917089879,5.416519825960153,0.19778333945682214,3.828394868796587,0.22704723524833578,16.86166697695848,0.7186666666666667,"QB2.0,RB3.8,TE1.0,WR7.3",750
base,True,S5_first_QB,72.69715265081616,5.633953758302918,0.2057229040909011,1.342438348713957,0.25681763355721826,5.227204729362423,0.5626666666666666,"QB1.0,RB2.0,TE1.0,WR10.0",750
base,True,S5_first_RB,74.32938214667541,5.330001135454929,0.19462412356112088,2.9746678445731973,0.23841232166405896,12.476988705158996,0.6653333333333333,"QB1.0,RB2.1,TE1.0,WR9.9",750
base,True,S5_first_TE,71.76912316545886,5.411550438839203,0.19760188309528082,0.4144088633566674,0.24990843622220907,1.6582427933252752,0.528,"QB1.1,RB2.0,TE1.0,WR9.9",750
base,True,S5_first_WR,74.63503861531893,5.424188963267043,0.19806337675679467,3.2803243132167337,0.2512198715523583,13.057582956900209,0.684,"QB1.0,RB2.0,TE1.0,WR10.0",750
base,True,S6_noQB_before_R8,73.84814683584047,5.27398970794265,0.19257887540601815,2.4934325337382615,0.253775645591645,9.825342096658435,0.6373333333333333,"QB1.0,RB2.0,TE1.0,WR10.0",750
base,True,S7_noQB_before_R12,74.50803539291239,5.366151902253674,0.1959441629242396,3.153321090810188,0.2569780874442622,12.270778112527333,0.6746666666666666,"QB1.0,RB2.0,TE1.0,WR10.0",750
base,True,S8_minRB2_in6,75.65829817194975,5.332017675490428,0.19469775719215784,4.3035838698475475,0.25149332736098307,17.112119494408542,0.7293333333333333,"QB1.0,RB2.0,TE1.0,WR10.0",750
base,True,S9_minRB2_marg,75.82850510396929,5.29992237753401,0.19352580261345256,4.4737908018670876,0.2515045850285511,17.788108321600646,0.7386666666666667,"QB2.0,RB2.0,TE1.0,WR9.0",750
base,True,S8_minRB3_in6,76.86650697808622,5.385110700871366,0.1966364403686468,5.511792675984017,0.2526936581422242,21.812152772278125,0.78,"QB1.0,RB3.0,TE1.0,WR9.0",750
base,True,S9_minRB3_marg,76.50829354345267,5.4466085099226325,0.19888202285228174,5.153579241350471,0.2566786530538867,20.07794251697486,0.776,"QB2.0,RB3.0,TE1.0,WR8.0",750
base,True,S8_minRB4_in6,75.57179503797389,5.389244372550123,0.1967873807168985,4.217080735871679,0.2553806903225645,16.512919322698977,0.7293333333333333,"QB1.0,RB4.0,TE1.0,WR8.0",750
base,True,S9_minRB4_marg,75.31068308013411,5.696582516884572,0.20800978301248224,3.9559687780319157,0.2620979087428128,15.093477078879575,0.7146666666666667,"QB2.0,RB4.0,TE1.0,WR7.0",750
base,True,S8_minRB5_in6,77.09625001393584,5.2214693767308304,0.19066110406386108,5.741535711833643,0.25987994695679717,22.093030951665252,0.788,"QB1.0,RB5.0,TE1.0,WR7.0",750
base,True,S9_minRB5_marg,76.95753996244409,5.525739682680271,0.20177148474036152,5.602825660341877,0.2727051900144783,20.545357644437996,0.7773333333333333,"QB2.0,RB5.0,TE1.0,WR6.0",750
ban:Caleb Williams,False,S0_adp,57.950186958534466,4.696888037176328,0.17150610186917586,0.0,0.0,0.0,0.0,"QB1.5,RB4.6,TE1.5,WR6.4",750
ban:Caleb Williams,False,S1_board,60.062795893847564,4.131446871232001,0.15085910976719386,2.1126089353130872,0.19684695894575005,10.732240653488129,0.6493333333333333,"QB1.0,RB2.0,TE1.0,WR10.0",750
ban:Caleb Williams,False,S2_board_dRB,60.69281422503224,4.188129620102519,0.1529288711123794,2.742627266497766,0.16176954997582912,16.95391541181611,0.7333333333333333,"QB1.0,RB4.1,TE1.0,WR7.9",750
ban:Caleb Williams,False,S4_lineup_marginal_dRB,61.642046165403485,4.20494315847576,0.1535428147282796,3.691859206869015,0.16512028697498005,22.358604593682823,0.82,"QB2.0,RB3.8,TE1.0,WR7.2",750
ban:Caleb Williams,False,S6_noQB_before_R8,58.99573148032794,4.303992902963363,0.1571596000196785,1.0455445217934638,0.2043508285525721,5.116419293227787,0.5813333333333334,"QB1.0,RB2.0,TE1.0,WR10.0",750
