year,frame,pos,demand,R_static_total,R_static_ppg,R_marg_week,R_marg_season17
2020,12,RB,29,158.1,9.299999999999999,10.34705882352941,175.89999999999998
2020,12,WR,43,161.2,9.48235294117647,10.272941176470589,174.64000000000001
2020,12,TE,12,145.3,8.547058823529412,11.27764705882353,191.72
2021,10,QB,10,300.34,17.66705882352941,19.703529411764706,334.96
2021,10,RB,25,165.0,9.705882352941176,11.629411764705882,197.7
2021,10,WR,35,168.20000000000002,9.894117647058824,11.470588235294118,195.0
2021,10,TE,10,164.1,9.652941176470588,11.68235294117647,198.6
2021,12,QB,12,258.02,15.177647058823528,18.099999999999998,307.7
2021,12,RB,29,148.6,8.741176470588234,9.805882352941175,166.7
2021,12,WR,43,150.24,8.83764705882353,9.74705882352941,165.7
2021,12,TE,12,151.7,8.923529411764704,10.358823529411765,176.10000000000002
2022,10,QB,10,281.26,16.54470588235294,18.63529411764706,316.8
2022,10,RB,24,168.3,9.9,11.270588235294117,191.6
2022,10,WR,36,168.4,9.905882352941177,11.235294117647058,191.0
2022,10,TE,10,142.0,8.352941176470589,11.141176470588235,189.39999999999998
2022,12,QB,12,239.2,14.070588235294117,17.542352941176468,298.21999999999997
2022,12,RB,29,158.5,9.323529411764707,9.535294117647059,162.1
2022,12,WR,43,156.0,9.176470588235293,9.476470588235294,161.1
2022,12,TE,12,139.5,8.205882352941176,10.023529411764708,170.40000000000003
2023,10,QB,10,270.36,15.903529411764707,19.159999999999997,325.7199999999999
2023,10,RB,25,185.4,10.905882352941177,10.788235294117648,183.4
2023,10,WR,35,174.4,10.258823529411766,10.758823529411766,182.9
2023,10,TE,10,150.3,8.841176470588236,11.42,194.14
2023,12,QB,12,257.54,15.149411764705883,17.70352941176471,300.96000000000004
2023,12,RB,32,156.4,9.200000000000001,9.129411764705882,155.2
2023,12,WR,40,161.4,9.494117647058824,9.170588235294119,155.90000000000003
2023,12,TE,12,137.3,8.076470588235296,10.329411764705883,175.60000000000002
2024,10,QB,10,285.4,16.788235294117644,19.64470588235294,333.96
2024,10,RB,25,182.3,10.723529411764707,11.335294117647058,192.7
2024,10,WR,35,182.70000000000002,10.747058823529413,11.211764705882352,190.6
2024,10,TE,10,148.5,8.735294117647058,11.611764705882353,197.4
2024,12,QB,12,266.86,15.69764705882353,18.290588235294116,310.94
2024,12,RB,29,157.9,9.288235294117648,9.658823529411764,164.2
2024,12,WR,43,155.6,9.152941176470588,9.617647058823529,163.5
2024,12,TE,12,141.5,8.323529411764707,10.541176470588235,179.2
