frame,year,pos,demand,R_exp,R_real,R_week,gap_exp_real,gap_real_week
10,2022,TE,10,127.77560975609754,142.0,189.4,14.224390243902462,47.400000000000006
10,2023,QB,10,251.21499999999995,270.36,325.7199999999999,19.145000000000067,55.3599999999999
10,2023,RB,25,127.17241379310344,185.4,183.4,58.22758620689656,-2.0
10,2023,WR,35,150.6276923076923,174.4,182.9,23.77230769230769,8.5
10,2023,TE,10,131.00779220779225,150.3,194.14,19.292207792207762,43.839999999999975
10,2024,QB,10,249.6233333333333,285.4,333.96,35.77666666666667,48.56
10,2024,RB,25,141.010101010101,182.3,192.7,41.289898989899,10.399999999999977
10,2024,WR,35,150.16033898305088,182.7,190.6,32.53966101694911,7.900000000000006
10,2024,TE,10,131.4416149068323,148.5,197.4,17.058385093167686,48.900000000000006
12,2015,QB,12,236.90638297872343,274.98,318.68000000000006,38.07361702127659,43.700000000000045
12,2015,RB,28,134.94901960784313,147.6,168.9,12.650980392156868,21.30000000000001
12,2015,WR,44,141.473125,150.9,169.79999999999998,9.426874999999995,18.899999999999977
12,2015,TE,12,128.3925925925926,130.7,195.3,2.3074074074073962,64.60000000000002
12,2016,QB,12,238.0926086956522,259.94,306.96,21.84739130434781,47.01999999999998
12,2016,RB,24,146.1841860465116,161.8,170.70000000000002,15.615813953488413,8.900000000000006
12,2016,WR,48,130.12551724137933,155.8,173.09999999999997,25.674482758620684,17.299999999999955
12,2016,TE,12,129.36896551724138,145.4,187.9,16.031034482758628,42.5
12,2017,QB,12,245.12765957446803,249.68,293.12,4.55234042553198,43.44
12,2017,RB,30,143.9658064516129,143.5,157.69999999999996,-0.4658064516129059,14.19999999999996
12,2017,WR,42,143.11062260869556,138.9,158.1,-4.210622608695559,19.19999999999999
12,2017,TE,12,128.45,132.4,175.89999999999998,3.950000000000017,43.49999999999997
12,2018,QB,12,234.17199999999997,282.6,325.84,48.428000000000054,43.23999999999995
12,2018,RB,30,138.10576923076923,150.3,175.10000000000002,12.194230769230785,24.80000000000001
12,2018,WR,42,142.40820512820514,150.2,174.7,7.791794871794849,24.5
12,2018,TE,12,127.45789473684212,126.3,171.1,-1.157894736842124,44.8
12,2019,QB,12,244.01627906976745,247.52,314.67999999999995,3.5037209302325607,67.15999999999994
12,2019,RB,28,137.47972972972974,154.0,170.2,16.52027027027026,16.19999999999999
12,2019,WR,44,139.27551020408163,154.2,167.0,14.924489795918362,12.800000000000011
12,2019,TE,12,133.37,123.7,183.7,-9.670000000000002,59.999999999999986
12,2020,QB,12,237.7996078431372,272.12,338.72,34.320392156862795,66.60000000000002
12,2020,RB,29,139.10249999999996,158.1,175.89999999999998,18.99750000000003,17.799999999999983
12,2020,WR,43,138.322380952381,161.2,174.64,22.877619047618992,13.439999999999998
12,2020,TE,12,128.2,145.3,191.72,17.100000000000023,46.41999999999999
12,2021,QB,12,242.04116279069768,258.02,307.7,15.978837209302299,49.68000000000001
12,2021,RB,29,140.43653846153845,148.6,166.7,8.163461538461547,18.099999999999994
12,2021,WR,43,140.37127272727272,150.24,165.7,9.868727272727284,15.45999999999998
12,2021,TE,12,132.8257142857143,151.7,176.10000000000002,18.87428571428569,24.400000000000034
12,2022,QB,12,246.515,239.2,298.21999999999997,-7.314999999999998,59.01999999999998
12,2022,RB,29,135.454,158.5,162.1,23.045999999999992,3.5999999999999943
12,2022,WR,43,137.48697674418602,156.0,161.1,18.513023255813977,5.099999999999994
12,2022,TE,12,127.77560975609754,139.5,170.40000000000003,11.724390243902462,30.900000000000034
12,2023,QB,12,251.21499999999995,257.54,300.96000000000004,6.325000000000074,43.420000000000016
12,2023,RB,32,123.11696202531648,156.4,155.2,33.28303797468352,-1.200000000000017
12,2023,WR,40,150.6276923076923,161.4,155.90000000000003,10.772307692307692,-5.499999999999972
12,2023,TE,12,131.00779220779225,137.3,175.60000000000002,6.292207792207762,38.30000000000001
12,2024,QB,12,238.50127659574463,266.86,310.94,28.358723404255386,44.079999999999984
12,2024,RB,29,123.16338983050846,157.9,164.2,34.73661016949154,6.299999999999983
12,2024,WR,43,145.87764705882356,155.6,163.5,9.722352941176439,7.900000000000006
12,2024,TE,12,126.6857142857143,141.5,179.2,14.814285714285703,37.69999999999999
