pos,adp,m_old,m_deep,delta
WR,11.978231002146009,16.94065359477124,16.94065359477124,0.0
WR,12.103016815825933,16.461948529411764,16.461948529411764,0.0
WR,12.22910261272483,16.461948529411764,16.461948529411764,0.0
WR,12.356501935699212,16.461948529411764,16.461948529411764,0.0
WR,12.485228468691233,16.461948529411764,16.461948529411764,0.0
WR,12.615296038198471,16.450484635793636,16.450484635793636,0.0
WR,12.746718614759041,16.4375443720161,16.4375443720161,0.0
WR,12.879510314452157,16.424604108238565,16.424604108238565,0.0
WR,13.013685400414346,16.42261932202348,16.42261932202348,0.0
WR,13.149258284371443,16.42261932202348,16.42261932202348,0.0
WR,13.286243528186562,16.42261932202348,16.42261932202348,0.0
WR,13.424655845424164,16.42261932202348,16.42261932202348,0.0
WR,13.564510102930475,16.42261932202348,16.42261932202348,0.0
WR,13.705821322430289,16.42261932202348,16.42261932202348,0.0
WR,13.848604682140476,16.42261932202348,16.42261932202348,0.0
WR,13.992875518400261,16.42261932202348,16.42261932202348,0.0
WR,14.138649327318511,16.42261932202348,16.42261932202348,0.0
WR,14.285941766438148,16.42261932202348,16.42261932202348,0.0
WR,14.434768656417948,16.42261932202348,16.42261932202348,0.0
WR,14.585145982731813,16.42261932202348,16.42261932202348,0.0
WR,14.737089897385788,16.42261932202348,16.42261932202348,0.0
WR,14.89061672065293,16.42261932202348,16.42261932202348,0.0
WR,15.045742942826276,16.42261932202348,16.42261932202348,0.0
WR,15.202485225990058,16.42261932202348,16.42261932202348,0.0
WR,15.360860405809376,16.42261932202348,16.42261932202348,0.0
WR,15.520885493338515,16.42261932202348,16.42261932202348,0.0
WR,15.68257767684809,16.42261932202348,16.42261932202348,0.0
WR,15.845954323671274,16.42261932202348,16.42261932202348,0.0
WR,16.01103298206916,16.42261932202348,16.42261932202348,0.0
WR,16.177831383115663,16.42261932202348,16.42261932202348,0.0
WR,16.346367442601995,16.42261932202348,16.42261932202348,0.0
WR,16.516659262961,16.42261932202348,16.42261932202348,0.0
WR,16.688725135211534,16.42261932202348,16.42261932202348,0.0
WR,16.8625835409231,16.42261932202348,16.42261932202348,0.0
WR,17.038253154200955,16.42261932202348,16.42261932202348,0.0
WR,17.21575284369188,16.42261932202348,16.42261932202348,0.0
WR,17.395101674610878,16.42261932202348,16.42261932202348,0.0
WR,17.576318910788945,16.42261932202348,16.42261932202348,0.0
WR,17.759424016742212,16.42261932202348,16.42261932202348,0.0
WR,17.944436659762616,16.42261932202348,16.42261932202348,0.0
WR,18.131376712030363,16.42261932202348,16.42261932202348,0.0
WR,18.3202642527484,16.42261932202348,16.42261932202348,0.0
WR,18.511119570299122,16.39383076247124,16.39383076247124,0.0
WR,18.703963164423513,15.897290744780182,15.897290744780182,0.0
WR,18.898815748423083,15.400750727089104,15.400750727089104,0.0
WR,19.09569825138462,15.39774859415863,15.39774859415863,0.0
WR,19.294631820428194,15.39774859415863,15.39774859415863,0.0
WR,19.4956378229786,15.39774859415863,15.39774859415863,0.0
WR,19.698737849060382,15.39774859415863,15.39774859415863,0.0
WR,19.903953713616854,15.39774859415863,15.39774859415863,0.0
WR,20.111307458853215,15.39774859415863,15.39774859415863,0.0
WR,20.3208213566041,15.39774859415863,15.39774859415863,0.0
WR,20.53251791072582,15.39774859415863,15.39774859415863,0.0
WR,20.746419859513455,15.39774859415863,15.39774859415863,0.0
WR,20.96255017814322,15.39774859415863,15.39774859415863,0.0
WR,21.18093208114018,15.39774859415863,15.39774859415863,0.0
WR,21.40158902487175,15.39774859415863,15.39774859415863,0.0
WR,21.624544710067127,15.39774859415863,15.39774859415863,0.0
WR,21.84982308436297,15.39774859415863,15.39774859415863,0.0
WR,22.077448344875656,15.39774859415863,15.39774859415863,0.0
WR,22.307444940800234,15.39774859415863,15.39774859415863,0.0
WR,22.539837576036533,15.39774859415863,15.39774859415863,0.0
WR,22.774651211842617,15.39774859415863,15.39774859415863,0.0
WR,23.01191106951585,15.39774859415863,15.39774859415863,0.0
WR,23.25164263310192,15.39774859415863,15.39774859415863,0.0
WR,23.493871652132075,15.39774859415863,15.39774859415863,0.0
WR,23.738624144388886,15.39774859415863,15.39774859415863,0.0
WR,23.98592639870079,15.39774859415863,15.39774859415863,0.0
WR,24.235804977765795,15.39774859415863,15.39774859415863,0.0
WR,24.488286721004563,15.39774859415863,15.39774859415863,0.0
WR,24.743398747443223,15.39774859415863,15.39774859415863,0.0
WR,25.001168458626232,15.39774859415863,15.39774859415863,0.0
WR,25.261623541559562,15.39774859415863,15.39774859415863,0.0
WR,25.524791971684568,15.39774859415863,15.39774859415863,0.0
WR,25.790702015882815,15.39774859415863,15.39774859415863,0.0
WR,26.059382235512214,15.39774859415863,15.39774859415863,0.0
WR,26.330861489474835,14.881502854988153,14.881502854988153,0.0
WR,26.605168937316577,14.881502854988153,14.881502854988153,0.0
WR,26.882334042359226,14.881502854988153,14.881502854988153,0.0
WR,27.162386574865096,14.881502854988153,14.881502854988153,0.0
WR,27.445356615234658,14.881502854988153,14.881502854988153,0.0
WR,27.73127455723746,14.881502854988153,14.881502854988153,0.0
WR,28.020171111276724,14.881502854988153,14.881502854988153,0.0
WR,28.312077307687943,14.881502854988153,14.881502854988153,0.0
WR,28.60702450007184,14.881502854988153,14.881502854988153,0.0
WR,28.905044368662075,14.881502854988153,14.881502854988153,0.0
WR,29.206168923727976,14.881502854988153,14.881502854988153,0.0
