pos,stat,kind,n_half,n_yoy,r_half,rho_full,r_yoy,yoy_lo,yoy_hi,admit,gate,window
WR,rec_epa_per_tgt,weekly,1208,762,0.14615163713890686,0.2550301939169924,0.15055455053773287,0.0747703943560329,0.2266081253269812,False,rho_full>=.5 & YoY CI excl 0,2014-2025 (§4 replication)
WR,targets_pg,weekly,1731,1111,0.7763708684021693,0.8741089850235029,0.66700960371851,0.6220496234266416,0.7064192052505261,True,rho_full>=.5 & YoY CI excl 0,2006-2025 (wide)
WR,rec_pg,weekly,1731,1111,0.7543799615184154,0.8599960989813173,0.6629405382352558,0.6174854749838403,0.7018427100344975,True,rho_full>=.5 & YoY CI excl 0,2006-2025 (wide)
WR,rec_yards_pg,weekly,1731,1111,0.675523531575942,0.8063432340345192,0.6236804129806692,0.5729123763497268,0.6651896823504742,True,rho_full>=.5 & YoY CI excl 0,2006-2025 (wide)
WR,target_share_full,weekly,1731,1111,0.804249519415783,0.8915058707358829,0.6720954041973666,0.6302758425913259,0.7093594415248116,True,rho_full>=.5 & YoY CI excl 0,2006-2025 (wide)
WR,air_yards_share_full,weekly,1731,1111,0.7793981644868014,0.8760244671957258,0.6851997754031524,0.6388702017130266,0.7254294791146993,True,rho_full>=.5 & YoY CI excl 0,2006-2025 (wide)
WR,wopr_full,weekly,1731,1111,0.8040515422512633,0.8913842242532528,0.6749802803910059,0.6288034125864265,0.7136659167674628,True,rho_full>=.5 & YoY CI excl 0,2006-2025 (wide)
WR,ppr_pg,weekly,1731,1111,0.6801487673576022,0.8096292192354888,0.6330182668361228,0.5890553638457559,0.6749755237353737,True,rho_full>=.5 & YoY CI excl 0,2006-2025 (wide)
WR,ypt,weekly,1731,1111,0.21713462945571482,0.356796403948862,0.2635093617521652,0.19956036626237836,0.3224363767188867,False,rho_full>=.5 & YoY CI excl 0,2006-2025 (wide)
WR,ypr,weekly,1731,1111,0.37562006446776636,0.5461101857555348,0.423749608902998,0.35604623631699917,0.4836397420028551,True,rho_full>=.5 & YoY CI excl 0,2006-2025 (wide)
WR,adot,weekly,1731,1111,0.6672478359173698,0.8004182960000426,0.6883997889447251,0.6340025896946265,0.7311192294555368,True,rho_full>=.5 & YoY CI excl 0,2006-2025 (wide)
WR,yac_per_rec,weekly,1731,1111,0.33135854544677457,0.49777506830149637,0.4029421245894802,0.32748576715545974,0.47609149949156243,False,rho_full>=.5 & YoY CI excl 0,2006-2025 (wide)
WR,td_per_tgt,weekly,1731,1111,0.13940928849796191,0.2447044971552578,0.16923893996800474,0.10959988482554586,0.22451376563704986,False,rho_full>=.5 & YoY CI excl 0,2006-2025 (wide)
WR,catch_rate,weekly,1731,1111,0.3711723216066542,0.5413941278682428,0.4763857352482821,0.42112857103113743,0.5256246835157082,True,rho_full>=.5 & YoY CI excl 0,2006-2025 (wide)
WR,racr_w,weekly,1731,1111,0.47633651046379033,0.6452953064395184,0.4532746601472007,0.24308368491840152,0.6046793595041815,True,rho_full>=.5 & YoY CI excl 0,2006-2025 (wide)
WR,rec_epa_per_tgt,weekly,1731,1111,0.1823130858102276,0.3084006901357947,0.23065574054558774,0.16705506691081745,0.29477337281861354,False,rho_full>=.5 & YoY CI excl 0,2006-2025 (wide)
TE,targets_pg,weekly,869,553,0.7912756723416552,0.8834772721579539,0.6186786592239776,0.5289653661821293,0.6882672080471405,True,rho_full>=.5 & YoY CI excl 0,2006-2025 (wide)
