name,team,adp,position,vorp,rk,adp_rk,edge,vorp_new,vorp_rost,vorp_meta,sched,avail,floor_p25,bust_sched,yrs,usable,floor_gap,adj_0.0,adj_0.25,adj_0.5,adj_1.0,final,value_final,view
Trey McBride,,35.3,TE,4.666836160892412,28,37,9,4.24127825856683,5.58807593086983,5.606185064935066,54.0,0.926,7.025,0.2592592592592592,4.0,True,0.0,5.606185064935066,5.606185064935066,5.606185064935066,5.606185064935066,5.606185064935066,13.476185064935066,
DeVonta Smith,PHI,29.1,WR,4.649075371947763,29,31,2,4.848849475792097,7.671937960293692,8.87291131085696,54.0,0.852,4.675,0.3703703703703703,5.0,True,0.0125000000000001,8.87291131085696,8.87603631085696,8.87916131085696,8.88541131085696,8.87416131085696,15.252911310856959,1.0470886891430435
Malik Nabers,NYG,33.9,WR,4.543076705468355,30,35,5,4.742850809312689,7.565939293814284,8.383530115502037,36.0,0.528,0.0,0.5277777777777778,2.0,True,-4.6625,8.461912644377549,7.296287644377548,6.130662644377549,3.799412644377549,7.917280115502037,14.763530115502036,-0.07838252887551178
Cam Skattebo,NYG,30.6,RB,4.376374528227505,31,32,1,3.2160380422399495,8.440451928350036,7.70816202935571,18.0,,,,1.0,False,0.0,7.70816202935571,7.70816202935571,7.70816202935571,7.70816202935571,7.70816202935571,13.91816202935571,0.5018379706442957
Javonte Williams,DAL,36.7,RB,4.376374528227503,32,38,6,3.2160380422399477,8.440451928350035,7.708162029355708,54.0,0.907,6.1499999999999995,0.3703703703703703,5.0,True,0.0,7.708162029355708,7.708162029355708,7.708162029355708,7.708162029355708,7.708162029355708,13.918162029355708,0.5018379706442939
Jeremiyah Love,ARI,25.6,RB,4.375265726526493,33,25,-8,3.214929240538938,8.439343126649025,7.707053227654698,,,,,,,0.0,7.707053227654698,7.707053227654698,7.707053227654698,7.707053227654698,7.707053227654698,13.917053227654698,-0.5170532276546975
Tetairoa McMillan,CAR,33.9,WR,4.366027650791619,34,35,1,4.565801754635952,7.388890239137548,8.284863589700812,18.0,,,,1.0,False,0.0,8.284863589700812,8.284863589700812,8.284863589700812,8.284863589700812,8.284863589700812,14.664863589700813,0.5351364102991845
Tee Higgins,CIN,39.2,WR,4.323789909993927,35,40,5,4.523564013838261,7.346652498339856,8.24262584890312,54.0,0.722,0.0,0.4814814814814814,6.0,True,-4.6625,8.24262584890312,7.07700084890312,5.911375848903121,3.580125848903121,7.776375848903121,14.62262584890312,0.0
Garrett Wilson,NYJ,28.5,WR,4.251733279636147,36,30,-6,4.451507383480481,7.274595867982076,8.170569218545339,54.0,0.759,0.225,0.3703703703703703,4.0,True,-4.4375,8.170569218545339,7.061194218545339,5.951819218545339,3.7330692185453382,7.726819218545339,14.55056921854534,0.0
Zay Flowers,BAL,26.6,WR,4.18189143028618,37,27,-10,4.381665534130514,7.2047540186321095,8.100727369195372,54.0,0.926,7.025,0.2777777777777778,3.0,True,2.3625000000000007,8.100727369195372,8.691352369195371,9.281977369195372,10.463227369195373,8.336977369195372,14.480727369195371,-1.7763568394002505e-15
Emeka Egbuka,TB,33.7,WR,4.121602601558662,38,34,-4,4.3213767054029955,7.144465189904591,8.040438540467854,18.0,,,,1.0,False,0.0,8.040438540467854,8.040438540467854,8.040438540467854,8.040438540467854,8.040438540467854,14.420438540467854,0.43956145953214865
