k,sched,played,floor_p25,bust_sched,avail,yrs,usable
samaje perine,54,49,2.525,0.7962962962962963,0.907,9,True
saquon barkley,54,46,7.175,0.2777777777777778,0.852,8,True
stefon diggs,54,42,5.375,0.48148148148148145,0.778,11,True
tank bigsby,54,44,0.0,0.8148148148148148,0.815,3,True
tank dell,36,24,0.0,0.5555555555555556,0.667,3,True
tee higgins,54,39,0.0,0.48148148148148145,0.722,6,True
terry mclaurin,54,44,3.95,0.3333333333333333,0.815,7,True
tetairoa mcmillan,18,17,8.0,0.2777777777777778,0.944,1,False
theo wease,18,3,0.0,0.9444444444444444,0.167,1,False
tj hockenson,54,40,0.3,0.5185185185185185,0.741,7,True
tony pollard,54,50,6.55,0.3333333333333333,0.926,7,True
tory horton,18,8,0.0,0.7777777777777778,0.444,1,False
travis etienne,54,49,6.325,0.3148148148148148,0.907,5,True
travis hunter,18,7,0.0,0.8333333333333334,0.389,1,False
travis kelce,54,48,5.875,0.35185185185185186,0.889,13,True
tre tucker,54,47,1.8250000000000002,0.7037037037037037,0.87,3,True
treveyon henderson,18,17,4.9,0.4444444444444444,0.944,1,False
trevor lawrence,54,43,8.145,0.25925925925925924,0.796,5,True
trey mcbride,54,50,7.025,0.25925925925925924,0.926,4,True
tucker kraft,54,39,0.0,0.6481481481481481,0.722,3,True
ty johnson,54,43,0.0,0.8518518518518519,0.796,7,True
tyjae spears,54,42,1.175,0.6296296296296297,0.778,3,True
tyler allgeier,54,51,2.675,0.6666666666666666,0.944,4,True
tyler shough,18,11,0.0,0.5555555555555556,0.611,1,False
tyler warren,18,17,7.0,0.3888888888888889,0.944,1,False
tyquan thornton,54,25,0.0,0.9259259259259259,0.463,4,True
tyrone tracy,36,32,4.45,0.5,0.889,2,True
wandale robinson,54,48,4.75,0.4444444444444444,0.889,4,True
woody marks,18,16,3.175,0.6666666666666666,0.889,1,False
xavier worthy,36,30,1.6,0.5,0.833,2,True
zach charbonnet,54,49,3.15,0.48148148148148145,0.907,3,True
zay flowers,54,50,7.025,0.2777777777777778,0.926,3,True
