gsis_id,name,pos,adp,adp_rank,age,expr,n_prior,G_last,avail_wtd,mu_hat,mu_cal,proj_ridge_P0,proj_ridge_P1,alpha
00-0040730,RJ Harvey,RB,87.2,30.0,25.571526351813826,1,1,17.0,1.0,12.152941176470588,11.73584595934665,11.892723622233289,12.45539104463512,31.622776601683793
00-0036158,J.K. Dobbins,RB,90.7,31.0,27.707049965776864,6,5,10.0,0.563102700096432,12.334014291719209,11.845392514870381,10.80892056998692,11.497655901776682,31.622776601683793
00-0036919,Kenny Gainwell,RB,91.6,32.0,27.468856947296374,5,5,17.0,0.9905123339658445,9.03676944971537,9.850608172291595,9.716505043045812,9.009318065335897,31.622776601683793
00-0039344,Jonathon Brooks,RB,99.8,33.0,23.11567419575633,2,1,3.0,0.17647058823529413,2.5,5.895959374838297,9.553348570621276,8.519480580137827,31.622776601683793
00-0033293,Aaron Jones Sr.,RB,102.1,34.0,31.748117727583846,9,9,12.0,0.8010964659836538,11.96022389030332,11.61925485270711,9.145694194803397,8.397176469525299,31.622776601683793
00-0040236,Kyle Monangai,RB,110.2,35.0,24.238193018480494,1,1,17.0,1.0,8.629411764705882,9.604162800223857,10.2026572189303,9.658904576509553,31.622776601683793
00-0037256,Rachaad White,RB,110.3,36.0,27.63586584531143,4,4,17.0,0.9686274509803922,10.689228758169934,10.85032160371832,10.594473020108305,10.252207315235479,31.622776601683793
00-0040242,Jacory Croskey-Merritt,RB,116.6,37.0,25.388090349075977,1,1,17.0,1.0,8.25294117647059,9.376403664691539,9.323304906649284,9.385472563509243,31.622776601683793
00-0037525,Jordan Mason,RB,118.2,38.0,27.274469541409992,4,4,16.0,0.8627450980392157,7.4013888888888895,8.861227130478571,7.636452526882402,7.729365434709799,31.622776601683793
00-0039738,Blake Corum,RB,120.9,39.0,25.765913757700204,2,2,17.0,0.9607843137254902,5.536601307189542,7.733058235399323,9.07318781150315,8.890672712137535,31.622776601683793
00-0039032,Tyjae Spears,RB,131.0,40.0,25.21286789869952,3,3,13.0,0.7815126050420168,8.907088989441931,9.772153412609672,10.088682272387711,9.80006445498783,31.622776601683793
00-0039165,Zach Charbonnet,RB,135.8,41.0,25.645448323066393,3,3,16.0,0.957983193277311,10.567069327731092,10.776416955803352,10.827076430509326,10.846406001819755,31.622776601683793
00-0040583,Woody Marks,RB,142.7,42.0,25.672826830937716,1,1,16.0,0.9411764705882353,9.06875,9.869955932021826,11.058150909453655,10.241225021460915,31.622776601683793
00-0033906,Alvin Kamara,RB,144.3,43.0,31.104722792607802,9,9,11.0,0.7325745366639808,13.69174066312031,12.666796880319708,10.938573482659327,10.372152640277033,31.622776601683793
00-0038705,Emari Demercado,RB,144.4,44.0,27.613963039014372,3,3,12.0,0.7142857142857143,4.93033633033633,7.366276894846613,6.866211779513527,6.475945072869497,31.622776601683793
00-0037563,Malik Davis,RB,152.1,45.0,27.76454483230664,4,3,10.0,0.4705882352941177,3.4739393939393937,6.485178297528392,6.461591902890051,5.533309784057419,31.622776601683793
00-0039384,Tyrone Tracy Jr.,RB,153.8,46.0,26.77344284736482,2,2,15.0,0.9215686274509803,10.721176470588235,10.8696494970253,11.38286610834652,10.410389133425316,31.622776601683793
00-0037263,Tyler Allgeier,RB,154.4,47.0,26.379192334017795,4,4,17.0,0.996078431372549,7.268088235294118,8.7805822074025,8.686213646938047,8.572487065274256,31.622776601683793
00-0037197,Isiah Pacheco,RB,154.8,48.0,27.50171115674196,4,4,13.0,0.6941176470588234,8.315712131006249,9.414379163411361,9.462369382932696,8.798690680507583,31.622776601683793
00-0038611,Chris Rodriguez Jr.,RB,156.0,49.0,26.93223819301848,3,3,12.0,0.5966386554621849,6.268253968253968,8.175697269633265,7.164901829246595,6.830641150175017,31.622776601683793
00-0039811,MarShawn Lloyd,RB,156.2,50.0,25.65366187542779,2,1,1.0,0.058823529411764705,2.8,6.077454935965613,10.05259221945528,9.19397254046856,31.622776601683793
00-0040162,Dylan Sampson,RB,156.9,51.0,21.963039014373717,1,1,15.0,0.8823529411764706,5.840000000000001,7.9166099553890845,9.654530634989031,9.018879108831994,31.622776601683793
00-0039794,Braelon Allen,RB,156.9,52.0,22.614647501711158,2,2,4.0,0.4901960784313726,4.220588235294118,6.936889798950846,7.5563340823121035,6.416674207656669,31.622776601683793
00-0038555,Tank Bigsby,RB,157.9,53.0,24.005475701574266,3,3,15.0,0.8823529411764705,4.62562271062271,7.181929663536415,8.535265134565016,8.282201836567593,31.622776601683793
00-0039875,Ray Davis,RB,158.3,54.0,26.781656399726216,2,2,17.0,1.0,4.790196078431372,7.281494115993233,7.9606349050780025,7.328230264738397,31.622776601683793
00-0038454,Keaton Mitchell,RB,159.6,55.0,24.621492128678987,3,3,13.0,0.5630252100840336,4.347409733124019,7.013614928656327,9.085126598837475,8.004808316832099,31.622776601683793
00-0033553,James Conner,RB,161.1,56.0,31.326488706365502,9,9,3.0,0.517713249683435,13.376612976065031,12.47614929235687,8.88437872204462,9.136127411530264,31.622776601683793
00-0037746,Brian Robinson,RB,163.5,57.0,27.446954140999317,4,4,17.0,0.9176470588235295,7.391593837535013,8.855301269339428,9.329181093028874,9.097226293636407,31.622776601683793
00-0036893,Najee Harris,RB,163.6,58.0,28.48186173853525,5,5,3.0,0.5749525616698292,8.0116761543327,9.230441896113838,9.484165180248718,7.849920018315478,31.622776601683793
00-0040586,Jaydon Blue,RB,168.9,59.0,22.647501711156742,1,1,5.0,0.29411764705882354,4.08,6.851835996775495,10.72225121318177,10.520823521804864,31.622776601683793
00-0034975,Justice Hill,RB,170.1,60.0,28.79671457905544,7,6,10.0,0.7347560975609756,6.712065471791082,8.444196662530686,7.7474423883394135,6.79318402446259,31.622776601683793
00-0035537,Ty Johnson,RB,181.9,61.0,28.955509924709105,7,7,17.0,0.9135595182955073,5.37650936179769,7.6362049771964635,7.31882817134142,6.192932739023434,31.622776601683793
00-0039075,Puka Nacua,WR,3.1,1.0,25.259411362080765,3,3,16.0,0.8655462184873949,21.267494270435446,18.164627148687657,18.101110849032146,18.521661420619544,177.82794100389228
