rank_model,name,team,adp,adp_rank,tier,n_seasons,n_games,mu_hat,n_eff,m_deep,tau2,B,theta_star,post_SD,arm,board_value,delta_rank_vs_adp,thin_data_flag,team_2025,g_2025,ppg_2025,targets,tgt_share_2025,ay_share_2025,snap_share_2025,rz_tgt_share_2025,i10_tgt_share_2025,rec_tds,team_vacated_share_2026
11,Davante Adams,LAR,41.2,20,vet,12,175,16.807252616496957,2.9985355137905785,14.318447404719464,10.782394134943546,0.5716106102813692,15.384625150521373,2.4826056657812847,theta_star,15.384625150521373,9,,LA,14.0,15.921428571428573,114.0,0.1962134251290878,0.2660280029476787,0.7032115171650055,0.29357798165137616,0.40350877192982454,14.0,0.0258175559380378
12,Chris Olave,NO,20.1,10,vet,4,53,15.070611111111111,2.6470588235294117,15.39774859415863,10.782394134943546,0.6018310388772187,15.267492602389277,2.5473867911679027,theta_star,15.267492602389277,-2,,NO,16.0,16.75,156.0,0.2761061946902655,0.3845832462920409,0.8399621212121212,0.28846153846153844,0.3076923076923077,9.0,0.2761061946902655
13,George Pickens,DAL,21.6,11,vet,4,64,14.679516806722688,2.6470588235294117,15.39774859415863,10.782394134943546,0.6018310388772187,15.111770989509903,2.5473867911679027,theta_star,15.111770989509903,-2,,DAL,17.0,17.170588235294115,137.0,0.2257001647446458,0.305188400078911,0.8161888701517707,0.22772277227722773,0.2127659574468085,9.0,0.0939044481054365
14,Malik Nabers,NYG,33.9,18,vet,2,19,15.59666666666667,1.8,14.50235995970254,10.782394134943546,0.6897097655400394,14.841912644377548,2.7270354839591304,theta_star,14.841912644377548,4,,NYG,4.0,14.275,35.0,0.0695825049701789,0.1240778001341381,0.779783393501805,0.06349206349206349,0.12,2.0,0.3518886679920477
15,Tee Higgins,CIN,39.2,19,vet,6,81,15.041179138321995,2.9076923076923076,14.318447404719464,10.782394134943546,0.579126763028035,14.622625848903121,2.4988743491945176,theta_star,14.622625848903121,4,,CIN,15.0,14.106666666666666,98.0,0.1611842105263158,0.2791586998087954,0.8077731092436975,0.189873417721519,0.18421052631578946,11.0,0.0674342105263157
16,Garrett Wilson,NYJ,28.5,14,vet,4,58,14.05036414565826,2.6470588235294117,14.881502854988153,10.782394134943546,0.6018310388772187,14.550569218545341,2.5473867911679027,theta_star,14.550569218545341,-2,,NYJ,7.0,14.214285714285714,59.0,0.125,0.1571680376028202,0.888631090487239,0.0851063829787234,0.05,4.0,0.2457627118644068
17,Zay Flowers,BAL,26.6,13,vet,3,48,13.793508403361345,2.3333333333333335,14.881502854988153,10.782394134943546,0.6316382999991158,14.480727369195371,2.6097074742806288,theta_star,14.480727369195371,-4,,BAL,17.0,14.311764705882354,118.0,0.2899262899262899,0.3518410286382232,0.8658777120315582,0.2037037037037037,0.2,5.0,0.2800982800982801
18,DeVonta Smith,PHI,29.1,15,vet,5,80,13.246547949204496,2.8181818181818183,14.881502854988153,10.782394134943546,0.5867285202276731,14.205822621713915,2.515221293506193,theta_star,14.205822621713915,-3,,PHI,17.0,11.870588235294116,113.0,0.2435344827586207,0.3022529556100825,0.8425047438330171,0.1864406779661017,0.13636363636363635,4.0,0.3771551724137931
19,Tetairoa McMillan,CAR,33.9,17,soph,1,17,12.552941176470588,1.0,14.50235995970254,9.389576648040723,0.8088492921551105,14.129727179401629,2.7558578383878753,theta_star,14.129727179401629,-2,single season: n_eff = 1,CAR,17.0,12.552941176470588,122.0,0.2541666666666666,0.408695652173913,0.8718190386427899,0.21428571428571427,0.2222222222222222,7.0,0.1583333333333333
20,Emeka Egbuka,TB,33.7,16,soph,1,17,11.511764705882353,1.0,14.564388227965946,9.389576648040723,0.8088492921551105,13.980877080935706,2.7558578383878753,theta_star,13.980877080935706,-4,single season: n_eff = 1,TB,17.0,11.511764705882351,127.0,0.2347504621072088,0.3490230905861456,0.781305114638448,0.19718309859154928,0.17391304347826086,6.0,0.3049907578558225
