fold,age,f_hat,lo_clamp,hi_clamp
2016,27.8,3.488,21.0294,35.3073
2016,27.9,3.4543,21.0294,35.3073
2016,28.0,3.4191,21.0294,35.3073
2016,28.1,3.3824,21.0294,35.3073
2016,28.2,3.3443,21.0294,35.3073
2016,28.3,3.3047,21.0294,35.3073
2016,28.4,3.2637,21.0294,35.3073
2016,28.5,3.2213,21.0294,35.3073
2016,28.6,3.1775,21.0294,35.3073
2016,28.7,3.1324,21.0294,35.3073
2016,28.8,3.0859,21.0294,35.3073
2016,28.9,3.0381,21.0294,35.3073
2016,29.0,2.989,21.0294,35.3073
2016,29.1,2.9386,21.0294,35.3073
2016,29.2,2.8869,21.0294,35.3073
2016,29.3,2.8339,21.0294,35.3073
2016,29.4,2.7798,21.0294,35.3073
2016,29.5,2.7244,21.0294,35.3073
2016,29.6,2.6678,21.0294,35.3073
2016,29.7,2.6101,21.0294,35.3073
2016,29.8,2.5512,21.0294,35.3073
2016,29.9,2.4911,21.0294,35.3073
2016,30.0,2.43,21.0294,35.3073
2016,30.1,2.3677,21.0294,35.3073
2016,30.2,2.3044,21.0294,35.3073
2016,30.3,2.24,21.0294,35.3073
2016,30.4,2.1746,21.0294,35.3073
2016,30.5,2.1081,21.0294,35.3073
2016,30.6,2.0406,21.0294,35.3073
2016,30.7,1.9722,21.0294,35.3073
2016,30.8,1.9028,21.0294,35.3073
2016,30.9,1.8324,21.0294,35.3073
2016,31.0,1.7611,21.0294,35.3073
2016,31.1,1.6889,21.0294,35.3073
2016,31.2,1.6158,21.0294,35.3073
2016,31.3,1.5419,21.0294,35.3073
2016,31.4,1.4671,21.0294,35.3073
2016,31.5,1.3914,21.0294,35.3073
2016,31.6,1.315,21.0294,35.3073
2016,31.7,1.2377,21.0294,35.3073
2016,31.8,1.1597,21.0294,35.3073
2016,31.9,1.0809,21.0294,35.3073
2016,32.0,1.0014,21.0294,35.3073
2016,32.1,0.9211,21.0294,35.3073
2016,32.2,0.8402,21.0294,35.3073
2016,32.3,0.7585,21.0294,35.3073
2016,32.4,0.6762,21.0294,35.3073
2016,32.5,0.5933,21.0294,35.3073
2016,32.6,0.5098,21.0294,35.3073
2016,32.7,0.4256,21.0294,35.3073
2016,32.8,0.3408,21.0294,35.3073
2016,32.9,0.2555,21.0294,35.3073
2016,33.0,0.1697,21.0294,35.3073
2016,33.1,0.0833,21.0294,35.3073
2016,33.2,-0.0036,21.0294,35.3073
2016,33.3,-0.091,21.0294,35.3073
2016,33.4,-0.1789,21.0294,35.3073
2016,33.5,-0.2672,21.0294,35.3073
2016,33.6,-0.356,21.0294,35.3073
2016,33.7,-0.4452,21.0294,35.3073
2016,33.8,-0.5347,21.0294,35.3073
2016,33.9,-0.6247,21.0294,35.3073
2016,34.0,-0.715,21.0294,35.3073
2016,34.1,-0.8056,21.0294,35.3073
2016,34.2,-0.8966,21.0294,35.3073
2016,34.3,-0.9879,21.0294,35.3073
2016,34.4,-1.0794,21.0294,35.3073
2016,34.5,-1.1712,21.0294,35.3073
2016,34.6,-1.2633,21.0294,35.3073
2016,34.7,-1.3556,21.0294,35.3073
2016,34.8,-1.4481,21.0294,35.3073
2016,34.9,-1.5407,21.0294,35.3073
2016,35.0,-1.6336,21.0294,35.3073
2016,35.1,-1.7266,21.0294,35.3073
2016,35.2,-1.8197,21.0294,35.3073
2016,35.3,-1.913,21.0294,35.3073
2016,35.4,-1.9198,21.0294,35.3073
2016,35.5,-1.9198,21.0294,35.3073
2016,35.6,-1.9198,21.0294,35.3073
2016,35.7,-1.9198,21.0294,35.3073
2016,35.8,-1.9198,21.0294,35.3073
2016,35.9,-1.9198,21.0294,35.3073
2016,36.0,-1.9198,21.0294,35.3073
2017,21.0,-2.4514,21.0705,35.7892
2017,21.1,-2.4081,21.0705,35.7892
2017,21.2,-2.2613,21.0705,35.7892
2017,21.3,-2.1149,21.0705,35.7892
2017,21.4,-1.9688,21.0705,35.7892
2017,21.5,-1.8234,21.0705,35.7892
2017,21.6,-1.6786,21.0705,35.7892
2017,21.7,-1.5345,21.0705,35.7892
2017,21.8,-1.3914,21.0705,35.7892
2017,21.9,-1.2492,21.0705,35.7892
2017,22.0,-1.1082,21.0705,35.7892
2017,22.1,-0.9684,21.0705,35.7892
2017,22.2,-0.83,21.0705,35.7892
2017,22.3,-0.6931,21.0705,35.7892
2017,22.4,-0.5578,21.0705,35.7892
2017,22.5,-0.4241,21.0705,35.7892
2017,22.6,-0.2923,21.0705,35.7892
2017,22.7,-0.1624,21.0705,35.7892
2017,22.8,-0.0346,21.0705,35.7892
2017,22.9,0.091,21.0705,35.7892
2017,23.0,0.2144,21.0705,35.7892
2017,23.1,0.3353,21.0705,35.7892
