name,position,team,adp_aug18,stdev,times_drafted,k,adp_jul,team_jul,adp_aug08,espn_rank,d_jul_aug18,ffc_rank,espn_gap,team_change
Michael Wilson,WR,ARI,79.1,8.7,958.0,michael wilson,80.9,ARI,87.8,90.0,-1.8000000000000114,80.0,-10.0,False
Mike Evans,WR,SF,53.4,6.7,941.0,mike evans,51.2,SF,60.0,87.0,2.1999999999999957,53.0,-34.0,False
Mike Washington Jr.,RB,LV,150.4,20.9,21.0,mike washington,,,162.2,222.0,,168.0,-54.0,False
Minnesota Defense,DEF,MIN,113.5,12.1,95.0,minnesota defense,137.1,MIN,119.6,,-23.599999999999994,118.0,,False
New England Defense,DEF,NE,126.5,15.6,250.0,new england defense,120.8,NE,138.7,,5.700000000000003,131.0,,False
New Orleans Defense,DEF,NO,172.1,17.1,71.0,new orleans defense,,,171.0,,,250.5,,False
Nick Folk,PK,ATL,157.2,18.1,16.0,nick folk,,,166.1,364.0,,194.0,-170.0,False
Nico Collins,WR,HOU,21.7,3.0,600.0,nico collins,23.2,HOU,23.2,25.0,-1.5,22.0,-3.0,False
NY Giants Defense,DEF,NYG,172.5,22.3,31.0,ny giants defense,,,175.6,,,252.0,,False
Omar Cooper Jr.,WR,NYJ,161.7,21.2,43.0,omar cooper,130.1,NYJ,168.2,300.0,31.599999999999994,207.0,-93.0,False
Omarion Hampton,RB,LAC,21.3,4.1,1843.0,omarion hampton,17.1,LAC,19.8,23.0,4.199999999999999,21.0,-2.0,False
Oronde Gadsden,TE,LAC,140.7,32.4,7.0,oronde gadsden,154.0,LAC,158.6,416.0,-13.300000000000011,151.0,-265.0,False
Parker Washington,WR,JAX,65.7,8.1,1425.0,parker washington,72.4,JAX,75.4,77.0,-6.700000000000003,69.0,-8.0,False
Pat Bryant,WR,DEN,151.6,4.7,9.0,pat bryant,,,,358.0,,174.0,-184.0,False
Pat Freiermuth,TE,PIT,190.2,19.2,8.0,pat freiermuth,,,152.0,296.0,,264.0,-32.0,False
Patrick Mahomes,QB,KC,99.4,12.1,638.0,patrick mahomes,74.9,KC,96.2,114.0,24.5,102.5,-11.5,False
Philadelphia Defense,DEF,PHI,129.1,15.8,349.0,philadelphia defense,126.8,PHI,139.6,,2.299999999999997,134.0,,False
Pittsburgh Defense,DEF,PIT,138.0,16.3,312.0,pittsburgh defense,145.5,PIT,156.9,,-7.5,146.5,,False
Puka Nacua,WR,LAR,3.1,0.7,234.0,puka nacua,2.8,LAR,2.9,4.0,0.30000000000000027,3.0,-1.0,False
Quentin Johnston,WR,LAC,92.5,8.3,729.0,quentin johnston,100.2,LAC,95.2,140.0,-7.700000000000003,95.0,-45.0,False
Quinshon Judkins,RB,CLE,51.8,5.8,868.0,quinshon judkins,51.5,CLE,49.8,41.0,0.29999999999999716,52.0,11.0,False
Rachaad White,RB,WAS,106.3,12.2,457.0,rachaad white,102.2,WAS,98.0,133.0,4.099999999999994,109.0,-24.0,False
Rashee Rice,WR,KC,14.5,2.3,242.0,rashee rice,27.3,KC,11.4,16.0,-12.8,15.0,-1.0,False
Rashid Shaheed,WR,SEA,128.1,11.4,465.0,rashid shaheed,129.2,SEA,119.0,164.0,-1.0999999999999943,133.0,-31.0,False
