policy,pick,round,name,position,board_value,eval_value,p_branch,p_cumulative,p_available,nsim
board+dRB,36,4,Josh Jacobs,RB,7.972706023346198,9.317706023346199,0.1675,0.9083333333333333,0.1675,1200
board+dRB,36,4,Cam Skattebo,RB,7.843582888454392,9.188582888454393,0.065,0.9733333333333334,0.5716666666666667,1200
board+dRB,36,4,Kyren Williams,RB,7.629244917810094,8.974244917810093,0.021666666666666667,0.9950000000000001,0.68,1200
board+dRB,36,4,Travis Etienne Jr.,RB,9.75368567084096,11.098685670840961,0.004166666666666667,0.9991666666666668,0.004166666666666667,1200
board+dRB,36,4,Rashee Rice,WR,9.496972576259228,9.496972576259228,0.0008333333333333334,1.0,0.0008333333333333334,1200
board+dRB,45,5,Davante Adams,WR,7.693869743763846,7.693869743763846,0.43166666666666664,0.43166666666666664,0.48333333333333334,1200
board+dRB,45,5,D'Andre Swift,RB,6.106277781164755,7.451277781164754,0.3416666666666667,0.7733333333333333,0.7575,1200
board+dRB,45,5,Quinshon Judkins,RB,5.785560878393112,7.130560878393112,0.07833333333333334,0.8516666666666667,0.9241666666666667,1200
board+dRB,45,5,Kyren Williams,RB,7.629244917810094,8.974244917810093,0.041666666666666664,0.8933333333333333,0.04583333333333333,1200
board+dRB,45,5,Cam Skattebo,RB,7.843582888454392,9.188582888454393,0.04,0.9333333333333333,0.04083333333333333,1200
board+dRB,45,5,Javonte Williams,RB,7.85108288845439,9.19608288845439,0.03916666666666667,0.9725,0.03916666666666667,1200
board+dRB,45,5,Breece Hall,RB,6.933582888454388,8.278582888454388,0.021666666666666667,0.9941666666666666,0.0225,1200
board+dRB,45,5,Bucky Irving,RB,5.518777781164754,6.863777781164754,0.005,0.9991666666666666,0.6408333333333334,1200
board+dRB,45,5,Tetairoa McMillan,WR,6.744108182943286,6.744108182943286,0.0008333333333333334,1.0,0.065,1200
board+dRB,56,6,TreVeyon Henderson,RB,5.2857008976875415,6.630700897687541,0.5208333333333334,0.5208333333333334,0.695,1200
board+dRB,56,6,Quinshon Judkins,RB,5.785560878393112,7.130560878393112,0.24416666666666667,0.765,0.24916666666666668,1200
board+dRB,56,6,David Montgomery,RB,5.017155855758208,6.362155855758208,0.11416666666666667,0.8791666666666667,0.92,1200
board+dRB,56,6,Bhayshul Tuten,RB,5.2857008976875415,6.630700897687541,0.07916666666666666,0.9583333333333333,0.32083333333333336,1200
board+dRB,56,6,D'Andre Swift,RB,6.106277781164755,7.451277781164754,0.0175,0.9758333333333332,0.0175,1200
board+dRB,56,6,Bucky Irving,RB,5.518777781164754,6.863777781164754,0.013333333333333334,0.9891666666666665,0.0175,1200
board+dRB,56,6,Jaylen Warren,RB,4.933839604923088,6.278839604923088,0.01,0.9991666666666665,0.9816666666666667,1200
board+dRB,56,6,Josh Allen,QB,6.915265489597878,6.915265489597878,0.0008333333333333334,0.9999999999999999,0.0016666666666666668,1200
lineup_marginal,5,1,Christian McCaffrey,RB,12.319095975299009,12.319095975299009,0.9366666666666666,0.9366666666666666,0.9375,1200
lineup_marginal,5,1,Amon-Ra St. Brown,WR,11.931003864131965,11.931003864131965,0.059166666666666666,0.9958333333333333,0.9925,1200
lineup_marginal,5,1,Ja'Marr Chase,WR,12.280630298952318,12.280630298952318,0.0016666666666666668,0.9975,0.004166666666666667,1200
lineup_marginal,5,1,Bijan Robinson,RB,13.821677323222788,13.821677323222788,0.0016666666666666668,0.9991666666666668,0.0016666666666666668,1200
lineup_marginal,5,1,Jahmyr Gibbs,RB,14.4531721519235,14.4531721519235,0.0008333333333333334,1.0,0.0008333333333333334,1200
lineup_marginal,16,2,Derrick Henry,RB,9.82033495714897,9.82033495714897,0.915,0.915,1.0,1200
lineup_marginal,16,2,De'Von Achane,RB,10.162391649003965,10.162391649003965,0.06166666666666667,0.9766666666666667,0.0625,1200
lineup_marginal,16,2,Chase Brown,RB,10.246862438909249,10.246862438909249,0.015833333333333335,0.9925,0.015833333333333335,1200
lineup_marginal,16,2,Omarion Hampton,RB,9.85224215016056,9.85224215016056,0.006666666666666667,0.9991666666666668,0.0075,1200
lineup_marginal,16,2,James Cook III,RB,10.33537790812382,10.33537790812382,0.0008333333333333334,1.0,0.0008333333333333334,1200
lineup_marginal,25,3,Travis Etienne Jr.,RB,9.75368567084096,9.75368567084096,0.995,0.995,1.0,1200
lineup_marginal,25,3,Derrick Henry,RB,9.82033495714897,9.82033495714897,0.005,1.0,0.005,1200
lineup_marginal,36,4,Javonte Williams,RB,7.85108288845439,7.85108288845439,0.7766666666666666,0.7766666666666666,0.9016666666666666,1200
lineup_marginal,36,4,Josh Jacobs,RB,7.972706023346198,7.972706023346198,0.13666666666666666,0.9133333333333333,0.1375,1200
lineup_marginal,36,4,Cam Skattebo,RB,7.843582888454392,7.843582888454392,0.065,0.9783333333333333,0.5816666666666667,1200
lineup_marginal,36,4,Davante Adams,WR,7.693869743763846,7.693869743763846,0.0175,0.9958333333333332,0.9766666666666667,1200
lineup_marginal,36,4,Travis Etienne Jr.,RB,9.75368567084096,9.75368567084096,0.004166666666666667,0.9999999999999999,0.004166666666666667,1200
lineup_marginal,45,5,Davante Adams,WR,7.693869743763846,7.693869743763846,0.4166666666666667,0.4166666666666667,0.44,1200
lineup_marginal,45,5,D'Andre Swift,RB,6.106277781164755,6.106277781164755,0.15583333333333332,0.5725,0.735,1200
lineup_marginal,45,5,Tee Higgins,WR,6.2368704421455945,6.2368704421455945,0.15416666666666667,0.7266666666666667,0.3725,1200
lineup_marginal,45,5,Josh Allen,QB,6.915265489597878,6.915265489597878,0.058333333333333334,0.785,0.09666666666666666,1200
lineup_marginal,45,5,Tetairoa McMillan,WR,6.744108182943286,6.744108182943286,0.0425,0.8275,0.0775,1200
lineup_marginal,45,5,Cam Skattebo,RB,7.843582888454392,7.843582888454392,0.04,0.8675,0.04083333333333333,1200
lineup_marginal,45,5,Kyren Williams,RB,7.629244917810094,7.629244917810094,0.034166666666666665,0.9016666666666667,0.04833333333333333,1200
lineup_marginal,45,5,Emeka Egbuka,WR,6.499683133710324,6.499683133710324,0.034166666666666665,0.9358333333333334,0.06666666666666667,1200
lineup_marginal,45,5,Javonte Williams,RB,7.85108288845439,7.85108288845439,0.03333333333333333,0.9691666666666667,0.03333333333333333,1200
lineup_marginal,45,5,DJ Moore,WR,5.88252929161822,5.88252929161822,0.021666666666666667,0.9908333333333335,0.9341666666666667,1200
lineup_marginal,45,5,Breece Hall,RB,6.933582888454388,6.933582888454388,0.008333333333333333,0.9991666666666668,0.0225,1200
lineup_marginal,45,5,Zay Flowers,WR,6.797471962437844,6.797471962437844,0.0008333333333333334,1.0,0.0008333333333333334,1200
lineup_marginal,56,6,DJ Moore,WR,5.88252929161822,5.88252929161822,0.4058333333333333,0.4058333333333333,0.41583333333333333,1200
lineup_marginal,56,6,DK Metcalf,WR,5.336206629980244,5.336206629980244,0.2991666666666667,0.7050000000000001,0.9366666666666666,1200
lineup_marginal,56,6,Quinshon Judkins,RB,5.785560878393112,5.785560878393112,0.17,0.8750000000000001,0.25833333333333336,1200
lineup_marginal,56,6,Jaylen Waddle,WR,5.437517168622347,5.437517168622347,0.05,0.9250000000000002,0.12166666666666667,1200
lineup_marginal,56,6,D'Andre Swift,RB,6.106277781164755,6.106277781164755,0.0275,0.9525000000000001,0.0275,1200
lineup_marginal,56,6,Bucky Irving,RB,5.518777781164754,5.518777781164754,0.015,0.9675000000000001,0.024166666666666666,1200
lineup_marginal,56,6,Terry McLaurin,WR,5.446082397066146,5.446082397066146,0.009166666666666667,0.9766666666666668,0.0175,1200
lineup_marginal,56,6,TreVeyon Henderson,RB,5.2857008976875415,5.2857008976875415,0.008333333333333333,0.9850000000000001,0.6516666666666666,1200
lineup_marginal,56,6,Tee Higgins,WR,6.2368704421455945,6.2368704421455945,0.005833333333333334,0.9908333333333335,0.005833333333333334,1200
lineup_marginal,56,6,Rome Odunze,WR,5.293330699238695,5.293330699238695,0.004166666666666667,0.9950000000000001,0.25083333333333335,1200
lineup_marginal,56,6,Bhayshul Tuten,RB,5.2857008976875415,5.2857008976875415,0.0016666666666666668,0.9966666666666668,0.33166666666666667,1200
lineup_marginal,56,6,Josh Allen,QB,6.915265489597878,6.915265489597878,0.0016666666666666668,0.9983333333333335,0.0016666666666666668,1200
lineup_marginal,56,6,Davante Adams,WR,7.693869743763846,7.693869743763846,0.0008333333333333334,0.9991666666666669,0.0008333333333333334,1200
lineup_marginal,56,6,Luther Burden III,WR,5.285306963082485,5.285306963082485,0.0008333333333333334,1.0000000000000002,0.5466666666666666,1200
lineup_marginal+dRB,5,1,Christian McCaffrey,RB,12.319095975299009,13.66409597529901,0.9366666666666666,0.9366666666666666,0.9366666666666666,1200
lineup_marginal+dRB,5,1,Jonathan Taylor,RB,10.872391649003962,12.217391649003963,0.06,0.9966666666666666,0.9983333333333333,1200
lineup_marginal+dRB,5,1,Ja'Marr Chase,WR,12.280630298952318,12.280630298952318,0.0016666666666666668,0.9983333333333333,0.0016666666666666668,1200
lineup_marginal+dRB,5,1,Bijan Robinson,RB,13.821677323222788,15.166677323222789,0.0008333333333333334,0.9991666666666666,0.0008333333333333334,1200
lineup_marginal+dRB,5,1,Jahmyr Gibbs,RB,14.4531721519235,15.7981721519235,0.0008333333333333334,1.0,0.0008333333333333334,1200
lineup_marginal+dRB,16,2,Derrick Henry,RB,9.82033495714897,11.165334957148971,0.9191666666666667,0.9191666666666667,0.9991666666666666,1200
lineup_marginal+dRB,16,2,De'Von Achane,RB,10.162391649003965,11.507391649003965,0.051666666666666666,0.9708333333333333,0.051666666666666666,1200
lineup_marginal+dRB,16,2,Chase Brown,RB,10.246862438909249,11.59186243890925,0.019166666666666665,0.99,0.019166666666666665,1200
lineup_marginal+dRB,16,2,Omarion Hampton,RB,9.85224215016056,11.19724215016056,0.008333333333333333,0.9983333333333333,0.008333333333333333,1200
lineup_marginal+dRB,16,2,Saquon Barkley,RB,9.775377908123822,11.120377908123823,0.0008333333333333334,0.9991666666666666,0.7508333333333334,1200
lineup_marginal+dRB,16,2,Jonathan Taylor,RB,10.872391649003962,12.217391649003963,0.0008333333333333334,1.0,0.0008333333333333334,1200
lineup_marginal+dRB,25,3,Travis Etienne Jr.,RB,9.75368567084096,11.098685670840961,0.9941666666666666,0.9941666666666666,1.0,1200
lineup_marginal+dRB,25,3,Derrick Henry,RB,9.82033495714897,11.165334957148971,0.005,0.9991666666666666,0.005,1200
lineup_marginal+dRB,25,3,Saquon Barkley,RB,9.775377908123822,11.120377908123823,0.0008333333333333334,1.0,0.0008333333333333334,1200
lineup_marginal+dRB,36,4,Javonte Williams,RB,7.85108288845439,9.19608288845439,0.7841666666666667,0.7841666666666667,0.9116666666666666,1200
lineup_marginal+dRB,36,4,Josh Jacobs,RB,7.972706023346198,9.317706023346199,0.1375,0.9216666666666666,0.1375,1200
lineup_marginal+dRB,36,4,Cam Skattebo,RB,7.843582888454392,9.188582888454393,0.05,0.9716666666666667,0.5625,1200
lineup_marginal+dRB,36,4,Kyren Williams,RB,7.629244917810094,8.974244917810093,0.021666666666666667,0.9933333333333334,0.6733333333333333,1200
lineup_marginal+dRB,36,4,Travis Etienne Jr.,RB,9.75368567084096,11.098685670840961,0.005,0.9983333333333334,0.005,1200
lineup_marginal+dRB,36,4,Breece Hall,RB,6.933582888454388,8.278582888454388,0.0008333333333333334,0.9991666666666668,0.38666666666666666,1200
lineup_marginal+dRB,36,4,Davante Adams,WR,7.693869743763846,7.693869743763846,0.0008333333333333334,1.0,0.9791666666666666,1200
lineup_marginal+dRB,45,5,Davante Adams,WR,7.693869743763846,7.693869743763846,0.4041666666666667,0.4041666666666667,0.4525,1200
lineup_marginal+dRB,45,5,D'Andre Swift,RB,6.106277781164755,7.451277781164754,0.3491666666666667,0.7533333333333334,0.7258333333333333,1200
lineup_marginal+dRB,45,5,Quinshon Judkins,RB,5.785560878393112,7.130560878393112,0.1,0.8533333333333334,0.9133333333333333,1200
lineup_marginal+dRB,45,5,Kyren Williams,RB,7.629244917810094,8.974244917810093,0.05416666666666667,0.9075000000000001,0.058333333333333334,1200
lineup_marginal+dRB,45,5,Javonte Williams,RB,7.85108288845439,9.19608288845439,0.0375,0.9450000000000001,0.0375,1200
lineup_marginal+dRB,45,5,Cam Skattebo,RB,7.843582888454392,9.188582888454393,0.0375,0.9825,0.0375,1200
lineup_marginal+dRB,45,5,Breece Hall,RB,6.933582888454388,8.278582888454388,0.013333333333333334,0.9958333333333333,0.015,1200
lineup_marginal+dRB,45,5,Bucky Irving,RB,5.518777781164754,6.863777781164754,0.0025,0.9983333333333333,0.6416666666666667,1200
lineup_marginal+dRB,45,5,Josh Allen,QB,6.915265489597878,6.915265489597878,0.0008333333333333334,0.9991666666666666,0.09,1200
lineup_marginal+dRB,45,5,TreVeyon Henderson,RB,5.2857008976875415,6.630700897687541,0.0008333333333333334,1.0,0.985,1200
lineup_marginal+dRB,56,6,TreVeyon Henderson,RB,5.2857008976875415,6.630700897687541,0.49416666666666664,0.49416666666666664,0.6708333333333333,1200
lineup_marginal+dRB,56,6,Quinshon Judkins,RB,5.785560878393112,7.130560878393112,0.23166666666666666,0.7258333333333333,0.23666666666666666,1200
lineup_marginal+dRB,56,6,David Montgomery,RB,5.017155855758208,6.362155855758208,0.13333333333333333,0.8591666666666666,0.9166666666666666,1200
lineup_marginal+dRB,56,6,Bhayshul Tuten,RB,5.2857008976875415,6.630700897687541,0.09083333333333334,0.95,0.3375,1200
lineup_marginal+dRB,56,6,Bucky Irving,RB,5.518777781164754,6.863777781164754,0.021666666666666667,0.9716666666666667,0.0275,1200
lineup_marginal+dRB,56,6,D'Andre Swift,RB,6.106277781164755,7.451277781164754,0.019166666666666665,0.9908333333333333,0.019166666666666665,1200
lineup_marginal+dRB,56,6,Josh Allen,QB,6.915265489597878,6.915265489597878,0.005,0.9958333333333333,0.005833333333333334,1200
lineup_marginal+dRB,56,6,Jaylen Warren,RB,4.933839604923088,6.278839604923088,0.0033333333333333335,0.9991666666666666,0.985,1200
lineup_marginal+dRB,56,6,Davante Adams,WR,7.693869743763846,7.693869743763846,0.0008333333333333334,1.0,0.0008333333333333334,1200
