tag,game_noise,strategy,E_lineup_ppg,sd_outcome,se_level,delta_vs_S0,se_paired,t,p_beats_S0,mix,nsim
base,False,S8_minRB5_in6,52.37346843055262,3.8547163816489753,0.1112760770297348,3.196427271299568,0.14474739064046557,22.08279719003083,0.7266666666666667,"QB1.0,RB7.6,TE1.0,WR4.4",1200
base,False,S9_minRB5_marg,52.72883725112985,3.8871273181498807,0.11221170017540907,3.5517960918768017,0.14270436951884496,24.88918947508307,0.7625,"QB1.7,RB7.1,TE1.0,WR4.2",1200
base,True,S0_adp,63.53437745176025,5.817157893959794,0.23748447655674518,0.0,0.0,0.0,0.0,"QB1.5,RB4.6,TE1.5,WR6.4",600
base,True,S1_board,69.61212920909225,5.206251787200649,0.21254433918490964,6.077751757332005,0.26526786832522936,22.911752545470115,0.8066666666666666,"QB1.0,RB7.1,TE1.0,WR4.9",600
base,True,S2_board_dRB,63.139784564541515,4.750036686328315,0.1939194356834167,-0.39459288721874475,0.2644878049843255,-1.4919133501906816,0.4866666666666667,"QB1.0,RB10.0,TE1.0,WR2.0",600
base,True,S3_lineup_marginal,68.7067831296331,5.336947995179017,0.21787998953263746,5.17240567787285,0.26513654733631425,19.50845981000076,0.7916666666666666,"QB1.7,RB6.5,TE1.0,WR4.8",600
base,True,S4_lineup_marginal_dRB,63.14211738774589,4.688208638359074,0.1913953161948007,-0.3922600640143696,0.26454179280671325,-1.4827905256579754,0.49333333333333335,"QB1.0,RB10.0,TE1.0,WR2.0",600
base,True,S5_first_QB,68.42489534837696,4.969424073066177,0.2028758882419234,4.890517896616703,0.26570746509981347,18.405647333918793,0.7633333333333333,"QB1.0,RB6.6,TE1.0,WR5.4",600
base,True,S5_first_RB,69.41313963359677,5.132075480489751,0.2095161041441449,5.878762181836524,0.26316249398414465,22.33890587079903,0.8016666666666666,"QB1.0,RB7.2,TE1.0,WR4.8",600
base,True,S5_first_TE,68.16528132053236,5.026217922895455,0.2051944874520898,4.630903868772104,0.2778749888517341,16.665421698830972,0.7533333333333333,"QB1.2,RB6.4,TE1.0,WR5.4",600
base,True,S5_first_WR,72.01037926711277,4.985065960983613,0.20351446564211545,8.476001815352515,0.2783285928003284,30.453219807830372,0.8966666666666666,"QB1.0,RB6.2,TE1.0,WR5.8",600
base,True,S6_noQB_before_R8,69.54896705269472,5.185255539964831,0.2116871709808917,6.0145896009344675,0.26523437573846964,22.67650859428969,0.8033333333333333,"QB1.0,RB7.1,TE1.0,WR4.9",600
base,True,S7_noQB_before_R12,69.55523027251951,5.178500529469547,0.2114113988322152,6.020852820759258,0.26490189021201777,22.72861403873105,0.805,"QB1.0,RB7.1,TE1.0,WR4.9",600
base,True,S8_minRB2_in6,69.61212920909225,5.206251787200649,0.21254433918490964,6.077751757332005,0.26526786832522936,22.911752545470115,0.8066666666666666,"QB1.0,RB7.1,TE1.0,WR4.9",600
base,True,S9_minRB2_marg,68.7067831296331,5.336947995179017,0.21787998953263746,5.17240567787285,0.26513654733631425,19.50845981000076,0.7916666666666666,"QB1.7,RB6.5,TE1.0,WR4.8",600
base,True,S8_minRB3_in6,69.61088770643529,5.200819663351331,0.21232257365740245,6.07651025467504,0.2649693683292137,22.932878215285708,0.8066666666666666,"QB1.0,RB7.1,TE1.0,WR4.9",600
base,True,S9_minRB3_marg,68.71235023219565,5.3380217926628255,0.2179238271313444,5.177972780435398,0.265108317603376,19.531536495139598,0.7916666666666666,"QB1.7,RB6.5,TE1.0,WR4.8",600
base,True,S8_minRB4_in6,69.60069799899844,5.214732936963015,0.21289058067407507,6.066320547238183,0.26499679935539855,22.892052137967074,0.8033333333333333,"QB1.0,RB7.1,TE1.0,WR4.9",600
base,True,S9_minRB4_marg,68.70598847104856,5.34358314062432,0.21815086821113988,5.171611019288299,0.26512459896265705,19.506341695652026,0.7883333333333333,"QB1.7,RB6.6,TE1.0,WR4.7",600
base,True,S8_minRB5_in6,69.13857009026523,5.107190068022368,0.20850016143441522,5.604192638504995,0.2676909898942884,20.93530544572344,0.7883333333333333,"QB1.0,RB7.6,TE1.0,WR4.4",600
base,True,S9_minRB5_marg,68.13602569183539,5.105429627768126,0.2084282917619894,4.6016482400751295,0.2686283673410984,17.130164939848136,0.77,"QB1.7,RB7.1,TE1.0,WR4.2",600
ban:Caleb Williams,False,S0_adp,48.98852210996199,4.523007590767776,0.184651011668602,0.0,0.0,0.0,0.0,"QB1.5,RB4.6,TE1.5,WR6.4",600
ban:Caleb Williams,False,S1_board,52.63719933977168,3.8559913070226997,0.1574201859135534,3.648677229809704,0.20985044602959066,17.38703585740871,0.7583333333333333,"QB1.0,RB7.2,TE1.0,WR4.8",600
ban:Caleb Williams,False,S2_board_dRB,46.97682937062553,4.2303372330188855,0.17270279434655886,-2.0116927393364623,0.2166360731267245,-9.286046918694343,0.34833333333333333,"QB1.0,RB10.0,TE1.0,WR2.0",600
ban:Caleb Williams,False,S4_lineup_marginal_dRB,47.094600601114834,4.332754574461141,0.17688396480232432,-1.8939215088471515,0.22043799256377464,-8.591629268712486,0.365,"QB1.0,RB10.0,TE1.0,WR2.0",600
ban:Caleb Williams,False,S6_noQB_before_R8,52.46697901946852,3.8151182984545673,0.1557515523261479,3.478456909506526,0.21189866372204114,16.41566231899133,0.745,"QB1.0,RB7.1,TE1.0,WR4.9",600
