rank_model,player,team,adp,rb_adp_rank,tier,n_seasons,mu_hat,n_eff,V,m_adp,tau2,B,theta_star,post_SD,p_avail,SV,board_value,delta_rank_vs_adp,thin_data_flag,arm_ii_adopted,arm_iii_adopted
17,Cam Skattebo,NYG,30.6,16,soph,1,15.9625,1.0,43.81668066802514,13.416324058711414,14.658756969839503,0.7493177039457075,14.054605289831837,3.314221796340473,0.7663869803894594,10.771266508639945,13.416324058711414,-1,single season: n_eff = 1,False,False
18,Kyren Williams,LAR,32.2,17,vet,4,15.8829,2.6471,14.975168949566555,13.416324058711414,12.991944015840865,0.535456375782848,14.562156185884447,2.637540380182986,0.8138293669086054,11.851110349582571,13.416324058711414,-1,,False,False
19,Breece Hall,NYJ,28.3,15,vet,4,14.3116,2.6471,14.975168949566555,13.416324058711414,12.991944015840865,0.535456375782848,13.832218789152035,2.637540380182986,0.8201599953962868,11.344632498431364,13.416324058711414,-4,,False,False
20,Bucky Irving,TB,42.8,20,vet,2,14.0255,1.8,22.022649847998682,12.035856922066072,12.991944015840865,0.6289563127202805,12.774101426073248,2.8585599876986287,0.8202770575415637,10.478302330516856,12.035856922066072,0,,False,False
21,D'Andre Swift,CHI,44.4,21,vet,6,13.6519,2.9077,13.633032887298423,12.035856922066072,12.991944015840865,0.5120392380768971,12.824422533675268,2.579221804151178,0.7935136070637276,10.176353783206011,12.035856922066072,0,,False,False
22,Quinshon Judkins,CLE,49.8,22,soph,1,12.1286,1.0,43.81668066802514,11.36028003858886,14.658756969839503,0.7493177039457075,11.55288425061975,3.314221796340473,0.8123726123859547,9.385246759268519,11.36028003858886,0,single season: n_eff = 1,False,False
23,Bhayshul Tuten,JAX,51.2,23,soph,1,5.9067,1.0,43.81668066802514,11.36028003858886,14.658756969839503,0.7493177039457075,9.993164072799548,3.314221796340473,0.7930847187140818,7.9254257177398975,11.36028003858886,0,single season: n_eff = 1,False,False
24,TreVeyon Henderson,NE,55.7,24,soph,1,12.1294,1.0,43.81668066802514,11.36028003858886,14.658756969839503,0.7493177039457075,11.553084796456593,3.314221796340473,0.8092717552023327,9.349585211229812,11.36028003858886,0,single season: n_eff = 1,False,False
25,Tony Pollard,TEN,63.5,25,vet,7,11.8195,2.9535,13.421625097815348,10.82966031491174,12.991944015840865,0.5081337186982491,11.316529079900999,2.5693666195949314,0.7675270650359891,8.685742351090836,10.82966031491174,0,,False,False
26,David Montgomery,HOU,63.6,26,vet,7,12.337,2.9535,13.421625097815348,10.82966031491174,12.991944015840865,0.5081337186982491,11.571069880474655,2.5693666195949314,0.7584497828854173,8.776075438597994,10.82966031491174,0,,False,False
27,Jadarian Price,SEA,64.5,27,rookie,0,,0.0,inf,10.82966031491174,11.6785606826606,1.0,10.82966031491174,3.4173909174486607,0.8114394185644148,8.7876132691821,10.82966031491174,0,no NFL rows: full shrinkage to market,False,False
28,Jaylen Warren,PIT,67.2,28,vet,4,11.3895,2.6471,14.975168949566555,10.82966031491174,12.991944015840865,0.535456375782848,11.08973027120323,2.637540380182986,0.7807667270629891,8.6584924078587,10.82966031491174,0,,False,False
29,Rico Dowdle,PIT,71.3,29,vet,4,11.4369,2.4156,16.410320304022864,10.82966031491174,12.991944015840865,0.5581311740312564,11.097980601643318,2.6928068936538354,0.7840109761449922,8.700938604732565,10.82966031491174,0,,False,False
30,Rhamondre Stevenson,NE,72.2,30,vet,5,12.4388,2.8182,14.065988832019597,10.82966031491174,12.991944015840865,0.5198471335969713,11.602293347149736,2.5988122010809476,0.7628275219964575,8.850548683482218,10.82966031491174,0,,False,False
