year,name,gsis_id,adp,adp_rank,rookie_season,exp,games,ppg,tier,in_fit,m_ols,m_iso,resid_iso,resid_ols,m_hat,tau2,sig2,mu_hat,n_eff,share,th_inc,th_lam50,th_lam25,th_lam00
2016,Alshon Jeffery,00-0029137,22.1,13,2012,4,12,12.175,vet,True,15.26280210852224,15.309814510824571,-3.134814510824574,-3.087802108522242,15.83899928440123,12.956172891265584,43.15615042962345,17.205555555555556,1.8,0.9705882352941176,16.318405475077427,16.313804915753444,16.311486696482312,16.309156392784164
2016,Brandin Cooks,00-0031236,23.3,14,2014,2,15,16.42,vet,True,15.143711847333147,15.179405480140774,1.2405945198592274,1.2762881526668544,15.83899928440123,12.956172891265584,43.15615042962345,15.21,1.8,0.9523809523809523,15.618337934965446,15.621777387511768,15.623518933701437,15.62527527363753
2016,Jarvis Landry,00-0031382,26.9,15,2014,2,16,14.58125,vet,True,14.820122193763218,14.888359769943484,-0.3071097699434819,-0.2388721937632176,15.83899928440123,12.956172891265584,43.15615042962345,15.682222222222222,1.8,1.0,15.78399979718571,15.78399979718571,15.78399979718571,15.78399979718571
2016,Sammy Watkins,00-0031325,28.3,16,2014,2,8,10.375,vet,True,14.705852308965454,14.888359769943484,-4.513359769943483,-4.330852308965454,15.83899928440123,12.956172891265584,43.15615042962345,15.345512820512822,1.8,0.5714285714285714,15.665877642214356,15.691918438763611,15.706593633009543,15.722567238920922
2016,T.Y. Hilton,00-0029608,29.4,17,2012,4,16,17.1125,vet,True,14.619966941173388,14.888359769943484,2.224140230056518,2.492533058826613,14.675621760890326,12.956172891265584,43.15615042962345,14.552777777777777,1.8,0.5957446808510638,14.632526450997428,14.638612943866946,14.642018407784256,14.645705255333594
2016,Demaryius Thomas,00-0027874,29.7,18,2010,6,16,14.14375,vet,True,14.5971010996012,14.888359769943484,-0.7446097699434819,-0.4533510996011998,14.675621760890326,12.956172891265584,43.15615042962345,18.24375,1.8,0.7083333333333334,15.927368800557275,15.802472350035414,15.734833490159907,15.663339776391418
2016,Randall Cobb,00-0028002,31.5,19,2011,5,12,12.358333333333334,vet,True,14.464576639053128,14.888359769943484,-2.5300264366101484,-2.1062433057197936,14.675621760890326,12.956172891265584,43.15615042962345,14.608333333333334,1.8,1.0,14.65201608184687,14.65201608184687,14.65201608184687,14.65201608184687
2016,Julian Edelman,00-0027150,35.1,20,2009,7,16,14.51875,vet,True,14.220850856253342,14.183591681330652,0.3351583186693485,0.2978991437466582,14.106682573576363,12.956172891265584,43.15615042962345,18.22063492063492,1.8,1.0,15.549911999951014,15.549911999951014,15.549911999951014,15.549911999951014
2016,Jeremy Maclin,00-0026995,37.3,21,2009,7,11,9.954545454545457,vet,True,14.083930656716028,14.133351985789943,-4.17880653124449,-4.129385202170573,14.106682573576363,12.956172891265584,43.15615042962345,16.575555555555553,1.8,0.6521739130434783,14.972796188169232,14.868656541145523,14.811341438464929,14.750043487780147
2016,Donte Moncrief,00-0031339,38.4,22,2014,2,9,11.4,vet,True,14.01847049682296,14.133351985789943,-2.7333519857899464,-2.61847049682296,14.106682573576363,12.956172891265584,43.15615042962345,10.524444444444446,1.8,0.55,12.849985596047938,13.049278320890766,13.162307253223496,13.285930358667494
2016,Kelvin Benjamin,00-0031359,39.2,23,2014,2,15,13.140000000000002,vet,True,13.972030376287556,14.133351985789943,-0.9933519857899428,-0.8320303762875536,14.106682573576363,12.956172891265584,43.15615042962345,14.112499999999999,1.0,0.875,14.10802580048386,14.107960287581017,14.107926806375211,14.107892827640056
2016,Golden Tate,00-0027891,43.6,24,2010,6,16,13.94375,vet,True,13.73243340500092,13.68010859492245,0.2636414050775499,0.2113165949990794,14.106682573576363,12.956172891265584,43.15615042962345,14.122916666666669,1.8,0.9583333333333334,14.112377710243463,14.112300118013156,14.112260891864981,14.112221374775372
2016,Doug Baldwin,00-0028434,48.8,26,2011,5,16,15.85,vet,True,13.478663466382397,13.68010859492245,2.16989140507755,2.371336533617603,14.106682573576363,12.956172891265584,43.15615042962345,14.689583333333331,1.8,1.0,14.311171944907777,14.311171944907777,14.311171944907777,14.311171944907777
2016,Michael Floyd,00-0029638,52.3,28,2012,4,14,8.27142857142857,vet,True,13.32265787507659,13.11668762609939,-4.845259054670819,-5.05122930364802,14.106682573576363,12.956172891265584,43.15615042962345,12.166826923076924,1.8,0.7619047619047619,13.426155304046452,13.481041497427263,13.510318669657583,13.540929996862907
2016,Marvin Jones Jr.,00-0029293,56.2,29,2012,4,15,11.486666666666666,vet,True,13.160674031794294,12.496525615649944,-1.009858948983279,-1.6740073651276273,12.3334724540604,12.956172891265584,43.15615042962345,10.86875,1.0,0.0,11.99527228287874,12.142302018618631,12.231214031050632,12.3334724540604
2016,Larry Fitzgerald,00-0022921,60.2,30,2004,12,16,15.2375,vet,True,13.005818138514998,12.496525615649944,2.7409743843500554,2.2316818614850025,12.3334724540604,12.956172891265584,43.15615042962345,15.292261904761906,1.8,0.8260869565217391,13.371455308857557,13.31101640616038,13.279347856986641,13.246650472293421
