frame,measure,rnd,n_RB,n_WR,RB,WR,diff,se,t,p,mde,n_seasons
10,weekly,6,35,35,34.55956302521008,50.366285714285716,-14.968039215686279,10.557595056585033,-1.4177508358165662,0.18994289251090635,29.582381348551262,10
10,weekly,7,36,42,35.2187908496732,46.29630252100841,-9.832915686274509,6.117362786731588,-1.6073782165742834,0.14243328503533026,17.14085052842191,10
10,weekly,8,34,32,35.72975778546713,48.67073529411765,-15.379627450980397,7.216746434174966,-2.1311026501014414,0.061910419331062894,20.221323508558253,10
10,weekly,9,32,42,21.31172794117647,39.074985994397764,-20.49562156862745,5.825103408236447,-3.5184991805720593,0.006530819438955504,16.321939749878524,10
10,weekly,10,43,39,33.972093023255816,35.217466063348425,-2.534754901960784,10.900808158074103,-0.2325290808905136,0.8213287721892333,30.544064458923636,10
10,weekly,11,28,38,22.503991596638656,30.725696594427248,-5.844564270152508,7.221847050023747,-0.8092894005742325,0.4417516102815331,20.23561543416654,9
10,weekly,12,34,36,24.507612456747406,33.4031045751634,-7.800437254901962,6.076077067602549,-1.283794982867095,0.23127852531512882,17.025167943422343,10
10,weekly,13,32,35,23.08345588235294,25.184100840336136,-1.5046666666666666,9.042992434555599,-0.16639034894212104,0.8715278760300023,25.338464801624788,10
10,weekly,14,26,36,17.230995475113122,31.14049019607843,-11.687298474945534,7.854637312766992,-1.487948839591728,0.17508311271901822,22.008693750373112,9
12,total,1,71,44,77.90788732394367,113.97136363636363,-39.49577777777779,14.993853940728002,-2.634131153598535,0.027173976787662202,42.01277874191986,10
12,total,2,52,57,57.455,71.55263157894736,-17.356323809523815,20.1581059747295,-0.8610096519624392,0.4115833369484436,56.483012941192065,10
12,total,3,50,53,24.261999999999993,54.91358490566038,-30.22608095238096,16.239205839214783,-1.8613029018568366,0.09561474594931751,45.502254761479826,10
12,total,4,40,62,11.511499999999998,52.42612903225807,-34.9493380952381,15.748675619450166,-2.219192200014231,0.053634709985910245,44.12778908569937,10
12,total,5,42,48,-15.606666666666664,14.049999999999999,-29.588428571428572,18.479804966643727,-1.6011223400266423,0.14381384931618624,51.780413516535724,10
12,total,6,39,49,-18.125641025641023,4.975102040816328,-23.092366666666667,13.156733417001707,-1.7551747789330214,0.11311861495621933,36.865167034438784,10
12,total,7,45,38,-14.217777777777782,-7.257368421052631,0.06416666666665982,13.283771769450103,0.004830455369176828,0.9962512455803176,37.22112849799919,10
12,total,8,47,47,-33.13957446808511,-1.9519148936170188,-33.30890000000001,15.763340291897151,-2.1130610253412994,0.0637520966616667,44.168879497895816,10
12,total,9,38,48,-29.05,-5.1445833333333315,-19.4483,15.38825972122984,-1.2638401191766264,0.23803953153859547,43.117903738886014,10
12,total,10,38,47,-41.12473684210527,-20.70978723404255,-21.190500000000004,11.869946950306323,-1.7852228058570345,0.10788250785215658,33.25959135475832,10
12,total,11,43,47,-55.64372093023257,-28.79106382978723,-27.200799999999997,12.627238434021494,-2.1541368797403115,0.05963385258946352,35.38152209212823,10
12,total,12,22,35,-70.45,-16.726285714285712,-56.873703703703704,15.348152397095168,-3.705573298481697,0.0059943687740804386,43.00552301666066,9
12,total,13,40,40,-59.592499999999994,-39.0595,-16.0244708994709,12.981415636724158,-1.2344162877073284,0.25207570977382665,36.373926614101094,9
12,total,14,34,45,-55.48235294117647,-52.68088888888889,-14.939285714285717,21.96372984810874,-0.6801798154320365,0.5155879065330806,61.542371034400695,9
12,weekly,1,71,44,111.24939519469761,135.03836898395727,-28.010529411764708,11.002471925157879,-2.5458396624232034,0.031408403727975154,30.828926334292376,10
12,weekly,2,52,57,90.92954751131221,98.21461300309599,-9.11428599439776,12.52812697697681,-0.7275058762692352,0.4854099643776739,35.10381178948902,10
12,weekly,3,50,53,66.14270588235294,87.40528301886792,-21.866758823529416,9.475579572479399,-2.3076961843092536,0.046411168868806474,26.550573962087277,10
12,weekly,4,40,62,60.04129411764707,81.06130929791273,-19.49470714285714,10.551872244450292,-1.8475116729270762,0.09773713838605236,29.56634602894972,10
12,weekly,5,42,48,42.65803921568627,62.602916666666665,-20.027014005602247,10.0821060886249,-1.9863919135107746,0.07825006532234058,28.250061260326973,10
12,weekly,6,39,49,46.16455505279034,57.77255702280914,-11.794847058823535,6.63988234009178,-1.7763638653061586,0.10940244689775525,18.604950316937167,10
12,weekly,7,45,38,40.99202614379085,52.94551083591332,-9.383803921568628,6.223189379642358,-1.5078769661526688,0.16585801669866984,17.437376641757886,10
12,weekly,8,47,47,33.23964956195243,49.83687108886108,-16.742643137254905,6.789417472800852,-2.4659911110677406,0.03580498970640189,19.023947758787987,10
12,weekly,9,38,48,37.2953560371517,44.97612745098039,-4.912750980392159,8.102477578511573,-0.6063270071146106,0.5592784456353646,22.703142174989427,10
12,weekly,10,38,47,31.912074303405575,38.35093867334168,-6.98093529411765,5.985698052143854,-1.16626920257318,0.27347968820388324,16.771925942107078,10
12,weekly,11,43,47,25.1859097127223,34.32573216520651,-9.57213431372549,6.716263199383925,-1.4252172718013092,0.18783815348404365,18.818969484673758,10
12,weekly,12,22,35,22.247058823529418,39.898621848739495,-21.71802832244009,7.273921681963159,-2.9857385427029524,0.017446982482922646,20.38152855286077,9
12,weekly,13,40,40,20.46102941176471,28.927823529411775,-7.037891378773734,5.4898549567854085,-1.2819812971697855,0.2357505583317705,15.382573588912715,9
12,weekly,14,34,45,24.144290657439445,24.813986928104576,-4.2522813569872415,8.788405779996678,-0.4838512767202755,0.6414579741829818,24.62511299555069,9
