year,name,gsis_id,adp,adp_rank,rookie_season,exp,games,ppg,tier,in_fit,m_ols,m_iso,resid_iso,resid_ols,birth_date,rookie_season_meta,age,prior_season,games_prior,ts_prior,adot_prior,wopr_prior,team_now,team_prev,epa_z,rookie,vet,no_prior,no_prior_vet,team_change,rook_x_epa,vet_x_change,agec_x_adotc
2019,Cooper Kupp,00-0033908,45.2,19,2017,2,16,16.90625,vet,True,13.746663946324338,13.894337842606388,3.0119121573936134,3.159586053675662,1993-06-15,2017,26.21218343600274,2018,7.0,0.21951219512195122,8.518518518518519,0.48672550539686327,LA,LA,1.0958976097292683,0,1,0,0,0.0,0.0,0.0,1.1301711273882016
2019,Kenny Golladay,00-0033932,47.1,20,2017,2,16,15.5,vet,True,13.65132827444421,13.894337842606388,1.6056621573936134,1.8486717255557892,1993-11-03,2017,25.82614647501711,2018,14.0,0.23552894211576847,12.440677966101696,0.6489205708261268,DET,DET,-0.476143487261036,0,1,0,0,0.0,-0.0,0.0,-1.1313031726018352
2019,T.Y. Hilton,00-0029608,49.0,21,2012,7,10,12.51,vet,True,13.559763382354948,13.894337842606388,-1.3843378426063868,-1.049763382354948,1989-11-14,2012,29.796030116358658,2018,14.0,0.22140221402214022,11.183333333333334,0.5675419175244384,IND,IND,0.9689464202718128,0,1,0,0,0.0,0.0,0.0,0.3414175673691677
2019,Tyler Boyd,00-0033009,51.5,22,2016,3,16,13.93125,vet,True,13.444549256777508,13.894337842606388,0.0369121573936137,0.4867007432224923,1994-11-15,2016,24.79397672826831,2018,14.0,0.21643286573146292,9.333333333333334,0.501181697896669,CIN,CIN,-0.2681286405892599,0,1,0,0,0.0,-0.0,0.0,3.239471578406884
2019,Josh Gordon,00-0029664,52.1,23,2012,7,8,8.15,vet,True,13.417730507026802,13.173062271062271,-5.0230622710622725,-5.267730507026801,1991-04-13,2012,28.386036960985628,2018,12.0,0.15570175438596492,14.28169014084507,0.43033666262968207,NE,NE,0.741301865277582,0,1,0,0,0.0,0.0,0.0,5.553658221716607
2019,Calvin Ridley,00-0034837,53.5,24,2018,1,12,16.283333333333335,soph,True,13.356335685541778,13.173062271062271,3.110271062271062,2.926997647791558,1994-12-20,2018,24.698151950718685,2018,16.0,0.14910858995137763,10.173913043478262,0.3479892606386414,ATL,ATL,1.0841907842571326,0,0,0,0,0.0,0.0,0.0,1.7620163472867494
2019,Mike Williams,00-0033536,60.3,25,2017,2,15,10.753333333333334,vet,True,13.079305867226395,12.543744208908237,-1.7904108755749029,-2.3259725338930615,1994-10-04,2017,24.908966461327857,2018,15.0,0.13580246913580246,14.757575757575758,0.3866881374127751,LAC,LAC,1.2508523429186957,0,1,0,0,0.0,0.0,0.0,-6.427999182282565
2019,Dede Westbrook,00-0033839,62.7,26,2017,2,14,11.19285714285714,vet,True,12.988940205697917,12.543744208908237,-1.3508870660510954,-1.7960830628407756,1993-11-21,2017,25.776865160848732,2018,16.0,0.1884328358208955,8.435643564356436,0.4405523514279278,JAX,JAX,-1.1739770644104874,0,1,0,0,0.0,-0.0,0.0,2.315625801183908
2019,A.J. Green,00-0027942,63.8,27,2011,8,0,,vet,False,12.948672648572517,12.543744208908237,,,1988-07-31,2011,31.085557837097877,2018,8.0,0.25675675675675674,12.578947368421053,0.6678558786923805,,CIN,,0,1,0,0,,0.0,,6.6658477116615735
2019,Jarvis Landry,00-0031382,64.8,28,2014,5,16,14.8375,vet,True,12.91266373965568,12.543744208908237,2.2937557910917636,1.9248362603443192,1992-11-28,2014,26.757015742642025,2018,16.0,0.259581881533101,11.04026845637584,0.6006572259693763,CLE,CLE,-0.3632531869667906,0,1,0,0,0.0,-0.0,0.0,-0.0035318413570990955
2019,DJ Moore,00-0034827,67.2,29,2018,1,15,15.366666666666667,soph,True,12.828460781192666,12.543744208908237,2.8229224577584304,2.5382058854740013,1997-04-14,2018,22.38193018480493,2018,15.0,0.1527001862197393,8.987804878048781,0.3578321065887203,CAR,CAR,0.026417618027851062,0,0,0,0,0.0,0.0,0.0,8.915867489988932
2019,Alshon Jeffery,00-0029137,71.9,30,2012,7,9,13.577777777777778,vet,True,12.671937745981936,11.833267719934383,1.7445100578433923,0.905840031795842,1990-02-14,2012,29.544147843942504,2018,13.0,0.19206680584551147,11.01086956521739,0.48722966678567803,PHI,PHI,0.3224183580204826,0,1,0,0,0.0,0.0,0.0,-0.18434525274734828
2020,Michael Thomas,00-0032765,5.6,1,2016,4,7,11.985714285714286,vet,True,18.58183018927049,18.379251629089865,-6.393537343375579,-6.596115903556205,1993-03-03,2016,27.498973305954827,2019,16.0,0.31841652323580033,8.091891891891892,0.7576621980017497,NO,NO,1.3647607927871412,0,1,0,0,0.0,0.0,0.0,-2.519397142218061
2020,Davante Adams,00-0031381,10.4,2,2014,6,14,25.6,vet,True,17.148552506847718,17.943725961538462,7.6562740384615395,8.451447493152283,1992-12-24,2014,27.68788501026694,2019,12.0,0.29128440366972475,10.0,0.6652851978498222,GB,GB,0.5222512801334881,0,1,0,0,0.0,0.0,0.0,-1.1107286825385008
2020,Julio Jones,00-0027944,14.4,3,2011,9,9,16.233333333333334,vet,True,16.395093505269703,16.42261932202348,-0.1892859886901448,-0.1617601719363683,1989-02-08,2011,31.561943874058862,2019,15.0,0.2476340694006309,12.452229299363058,0.6351312582435282,ATL,ATL,0.263450706319938,0,1,0,0,0.0,0.0,0.0,6.76058460631077
2020,Tyreek Hill,00-0033040,15.8,4,2016,4,15,21.926666666666662,vet,True,16.180273529271503,16.42261932202348,5.504047344643187,5.746393137395163,1994-03-01,2016,26.50513347022587,2019,12.0,0.21497584541062803,12.853932584269662,0.5835658222404937,KC,KC,1.8002172015331805,0,1,0,0,0.0,0.0,0.0,-0.26544840846694834
2020,DeAndre Hopkins,00-0030564,18.5,5,2013,7,16,17.9875,vet,True,15.815005838084858,16.42261932202348,1.5648806779765216,2.172494161915143,1992-06-06,2013,28.238193018480494,2019,15.0,0.30120481927710846,10.113333333333333,0.6912975311258567,ARI,HOU,-0.29997764286813106,0,1,0,0,1.0,-0.0,1.0,-1.5226177890250692
2020,Chris Godwin Jr.,00-0033921,21.5,6,2017,3,12,15.916666666666666,vet,True,15.467053519764823,15.39774859415863,0.5189180725080362,0.4496131469018412,1996-02-27,2017,24.511978097193705,2019,14.0,0.2168458781362007,10.47107438016529,0.48316449105155046,TB,TB,0.2772671948383918,0,1,0,0,0.0,0.0,0.0,1.293089991204507
2020,Kenny Golladay,00-0033932,25.8,7,2017,3,5,13.16,vet,True,15.044919647097633,15.39774859415863,-2.2377485941586297,-1.8849196470976324,1993-11-03,2017,26.82819986310746,2019,16.0,0.2031523642732049,14.637931034482758,0.5225006240939407,DET,DET,-0.12203826196811743,0,1,0,0,0.0,-0.0,0.0,0.619570917890346
2020,Mike Evans,00-0031408,27.9,8,2014,6,16,15.5375,vet,True,14.863740287383536,14.881502854988153,0.6559971450118471,0.6737597126164641,1993-08-21,2014,27.030800821355236,2019,13.0,0.22868217054263565,15.059322033898304,0.584604145307059,TB,TB,0.2772671948383918,0,1,0,0,0.0,0.0,0.0,1.5001373421852882
2020,Adam Thielen,00-0030035,30.3,9,2013,7,15,16.933333333333334,vet,True,14.672677201271092,14.881502854988153,2.051830478345181,2.260656132062241,1990-08-22,2013,30.028747433264886,2019,9.0,0.1910569105691057,12.361702127659575,0.4797920166850125,MIN,MIN,0.8444319376302167,0,1,0,0,0.0,0.0,0.0,4.343024234735023
2020,Allen Robinson II,00-0031428,31.8,10,2014,6,16,16.431250000000002,vet,True,14.560803934589051,14.881502854988153,1.5497471450118496,1.870446065410949,1993-08-24,2014,27.02258726899384,2019,16.0,0.2655172413793103,11.051948051948052,0.6608144253126852,CHI,CHI,-0.8561508554302868,0,1,0,0,0.0,-0.0,0.0,-0.008364265341712395
2020,DJ Moore,00-0034827,32.6,11,2018,2,15,14.1,vet,True,14.503277343723722,14.626785714285711,-0.5267857142857135,-0.4032773437237225,1997-04-14,2018,23.38398357289528,2019,15.0,0.23116438356164384,11.037037037037036,0.5584802334829448,CAR,CAR,-1.3591561156074472,0,1,0,0,0.0,-0.0,0.0,0.12304218106062847
2020,Odell Beckham Jr.,00-0031235,35.7,12,2014,6,6,14.47,vet,True,14.292956817574757,14.318447404719464,0.1515525952805347,0.177043182425244,1992-11-05,2014,27.822039698836413,2019,16.0,0.24675324675324675,12.977443609022556,0.6309112213062138,CLE,CLE,-0.5915600964730479,0,1,0,0,0.0,-0.0,0.0,2.2219117110762396
2020,JuJu Smith-Schuster,00-0033857,36.9,13,2017,3,16,14.63125,vet,True,14.216410137822136,14.318447404719464,0.3128025952805355,0.4148398621778622,1996-11-22,2017,23.77549623545517,2019,12.0,0.1728395061728395,9.757142857142858,0.41313759849324705,PIT,PIT,-1.2652533919851217,0,1,0,0,0.0,-0.0,0.0,3.792905422595472
2020,Amari Cooper,00-0031544,38.1,14,2015,5,16,14.8,vet,True,14.142313376874664,14.318447404719464,0.4815525952805366,0.657686623125338,1994-06-17,2015,26.209445585215605,2019,16.0,0.19932998324958123,12.798319327731093,0.4889290564706662,DAL,DAL,1.5195869655870873,0,1,0,0,0.0,0.0,0.0,-0.7668164735844929
2020,Cooper Kupp,00-0033908,40.3,15,2017,3,15,14.046666666666663,vet,True,14.012337478853226,14.318447404719464,-0.271780738052799,0.034329187813439,1993-06-15,2017,27.21423682409309,2019,16.0,0.2120253164556962,7.2388059701492535,0.4574916612721661,LA,LA,0.5536111288106103,0,1,0,0,0.0,0.0,0.0,-2.14774879892396
2020,Calvin Ridley,00-0034837,40.9,16,2018,2,15,18.766666666666666,vet,True,13.978120213116398,14.318447404719464,4.448219261947202,4.788546453550268,1994-12-20,2018,25.700205338809035,2019,12.0,0.1786407766990291,13.478260869565217,0.4704809970597429,ATL,ATL,0.263450706319938,0,1,0,0,0.0,0.0,0.0,-2.2933169209899438
2020,Robert Woods,00-0030431,42.4,17,2013,7,16,15.31875,vet,True,13.894726102233571,13.894337842606388,1.424412157393613,1.4240238977664266,1992-04-10,2013,28.39425051334702,2019,15.0,0.2263843648208469,8.410071942446043,0.5132763986428602,LA,LA,0.5536111288106103,0,1,0,0,0.0,0.0,0.0,-4.636191799506252
2020,A.J. Brown,00-0035676,44.4,18,2019,1,14,17.678571428571427,soph,True,13.78801015530934,13.894337842606388,3.78423358596504,3.8905612732620862,1997-06-30,2019,23.173169062286107,2019,16.0,0.1875,13.178571428571429,0.47999326750448834,TEN,TEN,0.48921966038551845,0,0,0,0,0.0,0.0,0.0,-7.324036690382312
2020,DK Metcalf,00-0035640,45.3,19,2019,1,16,16.95625,soph,True,13.741547201314248,13.894337842606388,3.061912157393614,3.214702798685753,1997-12-14,2019,22.715947980835043,2019,15.0,0.2037037037037037,12.929292929292929,0.5026519039937429,SEA,SEA,0.9167935137439829,0,0,0,0,0.0,0.0,0.0,-7.304236854672174
2020,DJ Chark,00-0034777,47.5,20,2018,2,13,11.815384615384614,vet,True,13.631748232386702,13.894337842606388,-2.0789532272217723,-1.8163636170020876,1996-09-23,2018,23.939767282683093,2019,15.0,0.21071428571428572,11.788135593220339,0.5463149849677398,JAX,JAX,-0.7984496760563429,0,1,0,0,0.0,-0.0,0.0,-1.9367671871975587
2020,Tyler Lockett,00-0032211,49.9,21,2015,5,16,16.5875,vet,True,13.517622814487114,13.894337842606388,2.693162157393612,3.069877185512885,1992-09-28,2015,27.926078028747433,2019,16.0,0.2127659574468085,12.463636363636363,0.5164962526415268,SEA,SEA,0.9167935137439829,0,1,0,0,0.0,0.0,0.0,1.766437023737895
2020,Terry McLaurin,00-0035659,50.8,22,2019,1,15,14.92,soph,True,13.476235544519184,13.894337842606388,1.025662157393613,1.4437644554808156,1995-09-15,2019,24.9637234770705,2019,14.0,0.2246376811594203,14.021505376344086,0.6274721169014474,WAS,WAS,-1.601706233650071,0,0,0,0,0.0,-0.0,0.0,-4.981933644455281
2020,Keenan Allen,00-0030279,53.5,23,2013,7,14,17.507142857142856,vet,True,13.356335685541778,13.173062271062271,4.334080586080583,4.150807171601079,1992-04-27,2013,28.347707049965777,2019,16.0,0.24958123953098826,10.10738255033557,0.5819324027105404,LAC,LAC,0.7225120587939761,0,1,0,0,0.0,0.0,0.0,-1.6379735879525212
2020,T.Y. Hilton,00-0029608,57.5,24,2012,8,15,10.946666666666667,vet,True,13.189393041885918,12.543744208908237,-1.5970775422415695,-2.2427263752192506,1989-11-14,2012,30.798083504449007,2019,10.0,0.22895622895622897,10.25,0.5686882677187386,IND,IND,-0.6323057512746578,0,1,0,0,0.0,-0.0,0.0,-3.4171966392162596
2020,Courtland Sutton,00-0034348,58.1,25,2018,2,1,9.6,vet,False,13.16535829829209,12.543744208908237,-2.943744208908237,-3.5653582982920895,1995-10-10,2018,24.895277207392198,2019,16.0,0.24603174603174602,11.580645161290322,0.6544536383548307,DEN,DEN,-0.8257448587447759,0,1,0,0,0.0,-0.0,0.0,-0.8900497239175473
2020,Hollywood Brown,00-0035662,60.0,26,2019,1,16,11.4375,soph,True,13.090853652634584,12.543744208908237,-1.1062442089082367,-1.6533536526345838,1997-06-04,2019,23.24435318275154,2019,14.0,0.1834625322997416,11.014084507042254,0.4377234896610138,BAL,BAL,1.7783187638011229,0,0,0,0,0.0,0.0,0.0,0.206563019800961
2020,Stefon Diggs,00-0031588,65.0,27,2015,5,16,20.5375,vet,True,12.905528676459753,12.543744208908237,7.993755791091765,7.631971323540249,1993-11-29,2015,26.757015742642025,2019,15.0,0.21123595505617979,14.882978723404255,0.6046294247970232,BUF,MIN,-0.6859052200481763,0,1,0,0,1.0,-0.0,1.0,0.3910873180908549
2020,DeVante Parker,00-0031547,66.7,28,2015,5,14,11.87857142857143,vet,True,12.845752319178253,12.543744208908237,-0.6651727803368068,-0.9671808906068228,1993-01-20,2015,27.613963039014372,2019,16.0,0.208130081300813,14.046875,0.542581356620815,MIA,MIA,-0.8247444065271956,0,1,0,0,0.0,-0.0,0.0,2.852256378909781
2020,A.J. Green,00-0027942,69.8,29,2011,9,14,7.95,vet,True,12.740569234766529,11.833267719934383,-3.883267719934385,-4.790569234766527,1988-07-31,2011,32.087611225188226,2019,0.0,0.23660593931318888,11.0746607120976,0.578002975397161,CIN,,-1.4171020179846945,0,1,1,1,,-0.0,,0.0
2020,Will Fuller,00-0033127,70.5,30,2016,4,10,18.89,vet,True,12.717465289350969,11.833267719934383,7.056732280065615,6.172534710649032,1994-04-16,2016,26.379192334017795,2019,10.0,0.22082018927444794,14.4,0.5630305467237613,HOU,HOU,0.5675857348264997,0,1,0,0,0.0,0.0,0.0,-0.9149022045920712
2021,Davante Adams,00-0031381,6.4,1,2014,7,16,21.51875,vet,True,18.272661460775396,18.379251629089865,3.139498370910136,3.246088539224605,1992-12-24,2014,28.687200547570157,2020,14.0,0.3232104121475054,8.926174496644295,0.7461856350657274,GB,GB,1.8373260454657558,0,1,0,0,0.0,0.0,0.0,-4.367609781682228
2021,Tyreek Hill,00-0033040,10.6,2,2016,5,17,17.441176470588236,vet,True,17.104449722450227,17.943725961538462,-0.5025494909502264,0.3367267481380089,1994-03-01,2016,27.50444900752909,2020,15.0,0.225752508361204,12.881481481481481,0.5842502314683596,KC,KC,2.072826538386747,0,1,0,0,0.0,0.0,0.0,1.5360256575192197
2021,Stefon Diggs,00-0031588,13.5,3,2015,6,17,16.794117647058822,vet,True,16.544521232539523,16.42261932202348,0.3714983250353434,0.2495964145192992,1993-11-29,2015,27.756331279945243,2020,16.0,0.2785234899328859,10.08433734939759,0.6460727860390132,BUF,BUF,1.7468542494326298,0,1,0,0,0.0,0.0,0.0,-1.0913447266787766
2021,DeAndre Hopkins,00-0030564,17.0,4,2013,8,10,14.72,vet,True,16.010783771855177,16.42261932202348,-1.7026193220234802,-1.2907837718551782,1992-06-06,2013,29.23750855578371,2020,16.0,0.2782608695652174,8.95,0.6413913043478261,ARI,ARI,-0.3087286320038553,0,1,0,0,0.0,-0.0,0.0,-5.48839325109647
2021,Calvin Ridley,00-0034837,18.0,5,2018,3,5,14.22,vet,True,15.878443400184045,16.42261932202348,-2.20261932202348,-1.658443400184046,1994-12-20,2018,26.699520876112253,2020,15.0,0.2411467116357504,14.34965034965035,0.6444203233087722,ATL,ATL,0.3177673777763389,0,1,0,0,0.0,0.0,0.0,0.14802317500185308
2021,DK Metcalf,00-0035640,19.7,6,2019,2,17,14.370588235294118,vet,True,15.669492441713135,15.39774859415863,-1.0271603588645115,-1.2989042064190173,1997-12-14,2019,23.71526351813826,2020,16.0,0.2291296625222025,13.705426356589147,0.5997143531130513,SEA,SEA,0.4413418007712702,0,1,0,0,0.0,0.0,0.0,-7.731976230752243
