year,name,gsis_id,adp,adp_rank,rookie_season,exp,games,ppg,tier,in_fit,m_ols,m_iso,resid_iso,resid_ols,mu_hat,n_eff,sig2,th_iso,m_cir,th_cir,th_ols,m_half,th_half
2017,Demaryius Thomas,00-0027874,34.5,16,2010,7,16,12.86875,vet,True,14.573999233972298,14.240482530931166,-1.3148416813306518,-1.3909339915210008,15.900892857142859,2.3333333333333335,43.459600014646625,14.866199901569786,14.612220414042367,15.11447740355036,15.093520379405053,14.426351472486767,14.99094046112792
2017,Kelvin Benjamin,00-0031359,38.6,17,2014,3,13,9.930769230769233,vet,True,14.312846517423388,14.16300436172871,-4.202582755020714,-4.076001156367102,13.334500000000002,1.4705882352941178,43.459600014646625,13.934371272042455,14.144825524005944,13.912263669674402,14.03055993926858,14.153914942867328,13.92356380145602
2017,Alshon Jeffery,00-0029137,39.1,18,2012,5,16,12.24375,vet,True,14.282915117953497,14.16300436172871,-1.8896019857899449,-1.7340332939739689,14.33095238095238,2.3333333333333335,43.459600014646625,14.226294737206176,14.124815868525799,14.205157079136274,14.301723237504937,14.143910115127255,14.215526961418746
2017,Martavis Bryant,00-0031373,40.9,19,2014,3,15,8.833333333333334,vet,True,14.178243758611519,14.16300436172871,-5.300018652456611,-5.043080880062588,14.65181818181818,1.8,43.459600014646625,14.318500789071532,14.05484126405806,14.251883320700522,14.335340722364313,14.108922812893386,14.284659723733842
2017,Michael Crabtree,00-0026986,43.7,20,2009,8,13,13.215384615384616,vet,True,14.024244594742148,13.858363891020208,-0.4647239795378333,-0.5118889567760725,14.20547619047619,2.3333333333333335,43.459600014646625,13.989171434133638,13.951890173636901,14.050724714625911,14.095202540850428,13.905127032328554,14.02012809584726
2017,Davante Adams,00-0031381,44.9,21,2014,3,14,15.892857142857142,vet,True,13.961243785948357,13.858363891020208,2.2127485479346927,2.226596765740906,12.152472527472526,2.3333333333333335,43.459600014646625,13.215507217736606,13.909773049103437,13.224869391559839,13.253052187450923,13.884068470061823,13.22105554134051
2017,Tyreek Hill,00-0033040,45.5,22,2016,1,15,16.346666666666668,soph,True,13.930372036555907,13.858363891020208,2.666558071744218,2.7103040655172457,14.142857142857142,1.0,40.05902290190149,13.91018547164628,13.889134753522447,13.939325809350034,13.97064179926943,13.873749322271326,13.924762723069389
2017,Golden Tate,00-0027891,47.8,23,2010,7,16,14.03125,vet,True,13.815687138581023,13.858363891020208,0.3511414050775503,0.5059541007352717,14.020535714285716,2.3333333333333335,43.459600014646625,13.919477535788294,13.800547875081648,13.88628760703492,13.895891885089696,13.829455883050928,13.90261867779455
2017,Larry Fitzgerald,00-0022921,48.4,24,2004,13,16,16.34,vet,True,13.786676729512484,13.858363891020208,2.65989140507755,2.8427992598404757,15.260969387755102,2.3333333333333335,43.459600014646625,14.386928794288789,13.776118004094359,14.354835264494461,14.363909295212181,13.817240947557284,14.370031929489517
2017,DeVante Parker,00-0031547,51.9,25,2015,2,12,10.7,vet,True,13.624303090105412,13.773788192971592,-2.416687626099389,-2.6399498298791855,11.247936507936508,1.8,43.459600014646625,12.970290221189792,13.639382012089568,12.850046065475908,12.836000435805545,13.70658510253058,12.910712944490406
