name,position,value,mu,sigma,d_shift,S_5,Sfree_5,S_16,Sfree_16,S_25,Sfree_25,S_36,Sfree_36,S_45,Sfree_45,S_56,Sfree_56,S_65,Sfree_65,S_76,Sfree_76,S_85,Sfree_85,S_96,Sfree_96,S_105,Sfree_105,S_116,Sfree_116,S_125,Sfree_125,S_136,Sfree_136
George Kittle,TE,0.1321244743673707,122.0,19.4,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.999,0.999,0.9976666666666667,0.9976666666666667,0.992,0.992,0.974,0.974,0.936,0.936,0.8346666666666667,0.8346666666666667,0.7093333333333334,0.7093333333333334,0.513,0.513
Adonai Mitchell,WR,0.0275333193972728,172.0,13.8,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9996666666666667,0.9996666666666667
Cooper Kupp,WR,0.0275333193972711,167.0,20.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9993333333333333,0.9993333333333333,0.9983333333333333,0.9983333333333333,0.9946666666666667,0.9946666666666667,0.988,0.988
Jalen Nailor,WR,0.0275333193972711,165.0,14.8,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9993333333333333,0.9993333333333333,0.998,0.998
Tucker Kraft,TE,0.0071244743673706,113.0,20.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9996666666666667,0.9996666666666667,0.9976666666666667,0.9976666666666667,0.99,0.99,0.972,0.972,0.9133333333333333,0.9133333333333333,0.838,0.838,0.693,0.693,0.542,0.542,0.3446666666666667,0.3446666666666667
Isaiah Likely,TE,0.0071244743673706,138.0,18.2,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9993333333333333,0.9993333333333333,0.9976666666666667,0.9976666666666667,0.9926666666666667,0.9926666666666667,0.9743333333333334,0.9743333333333334,0.932,0.932,0.8283333333333334,0.8283333333333334
Tory Horton,WR,-0.183352650783342,195.0,10.2,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Zachariah Branch,WR,-0.1833526507833429,198.0,10.2,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Omar Cooper Jr.,WR,-0.1833526507833429,193.0,33.1,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9996666666666667,0.9996666666666667,0.9983333333333333,0.9983333333333333,0.9963333333333333,0.9963333333333333,0.9923333333333333,0.9923333333333333,0.9863333333333333,0.9863333333333333
Dalton Schultz,TE,-0.3008051411462762,160.0,19.9,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9996666666666667,0.9996666666666667,0.997,0.997,0.9913333333333333,0.9913333333333333,0.974,0.974
Sam Darnold,QB,-0.3697467863952627,139.0,14.2,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.999,0.999,0.9953333333333333,0.9953333333333333,0.977,0.977,0.8966666666666666,0.8966666666666666
Kyler Murray,QB,-0.3697467863952627,144.0,13.1,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9983333333333333,0.9983333333333333,0.993,0.993,0.9573333333333334,0.9573333333333334
Juwan Johnson,TE,-0.3883051411462762,170.0,22.4,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9996666666666667,0.9996666666666667,0.9983333333333333,0.9983333333333333,0.9943333333333333,0.9943333333333333,0.9813333333333333,0.9813333333333333
Kenyon Sadiq,TE,-0.4270551411462762,166.0,17.2,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9996666666666667,0.9996666666666667,0.9986666666666667,0.9986666666666667,0.9936666666666667,0.9936666666666667
Oronde Gadsden II,TE,-0.4270551411462762,163.0,26.5,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9996666666666667,0.9996666666666667,0.9983333333333333,0.9983333333333333,0.996,0.996,0.9876666666666667,0.9876666666666667,0.9733333333333334,0.9733333333333334,0.9396666666666667,0.9396666666666667
Darnell Mooney,WR,-0.428352650783342,203.0,10.2,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Hunter Henry,TE,-0.4433051411462744,161.0,23.9,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9993333333333333,0.9993333333333333,0.997,0.997,0.9913333333333333,0.9913333333333333,0.981,0.981,0.9493333333333334,0.9493333333333334
Daniel Jones,QB,-0.4966462656666371,162.0,13.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Malik Willis,QB,-0.4966462656666389,168.0,12.9,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Pat Freiermuth,TE,-0.5133051411462762,149.0,27.2,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.999,0.999,0.9973333333333333,0.9973333333333333,0.9913333333333333,0.9913333333333333,0.979,0.979,0.9566666666666667,0.9566666666666667,0.923,0.923,0.853,0.853
Kayshon Boutte,WR,-0.6483526507833421,196.0,17.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Dontayvion Wicks,WR,-0.6483526507833421,200.0,18.1,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Ryan Flournoy,WR,-0.6483526507833421,201.0,26.9,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9996666666666667,0.9996666666666667,0.9983333333333333,0.9983333333333333
Christian Kirk,WR,-0.6483526507833421,202.0,10.2,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Tyquan Thornton,WR,-0.6483526507833421,204.0,10.2,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
T.J. Hockenson,TE,-0.6633051411462763,150.5,21.1,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9996666666666667,0.9996666666666667,0.9996666666666667,0.9996666666666667,0.999,0.999,0.9963333333333333,0.9963333333333333,0.9836666666666667,0.9836666666666667,0.964,0.964,0.9176666666666666,0.9176666666666666
Dalton Kincaid,TE,-0.6933051411462763,152.0,21.1,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9993333333333333,0.9993333333333333,0.997,0.997,0.99,0.99,0.9693333333333334,0.9693333333333334,0.9226666666666666,0.9226666666666666
Brenton Strange,TE,-3.063938603533559,181.5,19.8,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.999,0.999
Chig Okonkwo,TE,-3.948118847642338,185.0,17.2,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
