pos,arm,n,rmse_mu,rmse_arm,d_rmse,label,mean_gain,dm_t,dm_p,mde80,folds_improved,n_folds,obs_over_mde,spearman,spearman_mu,gain_vs_mucal,p_vs_mucal,rmse_theta_mu,rmse_theta_arm,eq7_gain,eq7_p,eq7_mde,bh_reject_12,bh_reject_6
RB,gbt_P1,295,4.288423188784931,3.9775204407309825,-0.31090274805394813,tier B | gated | clean env | PPG,2.4958065454671954,1.7338030158152844,0.14348639783249925,5.024029994838628,4,6,0.49677381465302356,0.5634101406595056,0.5985041479593952,-0.3475216365422014,0.7884199184676338,3.5876691554209263,3.526840523097908,0.40698683505055605,0.3738556970803543,1.4552536807361307,False,
RB,hier_P0,295,4.288423188784931,3.9881927393999823,-0.30023044938494836,tier B | gated | clean env | PPG,2.4140081175047725,3.6574242993576185,0.01463423386752399,2.3035860425895014,5,6,1.0479348602022018,0.6100194240251892,0.5985041479593952,-0.429320064504624,0.5292144431398426,3.5876691554209263,3.5433910867265865,0.297258871421113,0.10189483472120626,0.5186464482675517,False,
RB,hier_P1,295,4.288423188784931,3.886018295536631,-0.40240489324829953,tier B | gated | clean env | PPG,3.207784022938219,4.730414693710505,0.005194193523093737,2.366720449166781,6,6,1.3553708990293043,0.6348636903669149,0.5985041479593952,0.3644558409288227,0.5948176182973979,3.5876691554209263,3.5220104236313152,0.4477041989693124,0.032519709501991935,0.5327473932664768,False,
WR,mu_cal (control),568,3.776007070631069,3.605936575031075,-0.17007049559999388,tier A | UNGATED (sens) | clean env | PPG,1.2866122351874267,2.3173826627045857,0.04568112164542336,1.7464173540527017,8,10,0.7367152142652155,0.542041250309014,0.542041250309014,,,,,,,,False,
WR,ridge_P0,568,3.776007070631069,3.5358030371483022,-0.24020403348276664,tier A | UNGATED (sens) | clean env | PPG,1.7768498877004881,2.359893166815441,0.04260882739605501,2.368407955177433,7,10,0.7502296569373634,0.564696717794744,0.542041250309014,0.4902376525130613,0.26995749829135957,3.403603515941307,3.3795182419702856,0.16075581072696252,0.5189480515689437,0.7533804384707985,False,
WR,ridge_P1,568,3.776007070631069,3.5058538907820336,-0.2701531798490353,tier A | UNGATED (sens) | clean env | PPG,1.988315956441302,2.8080144063709387,0.020443243589859206,2.227328021852442,9,10,0.8926911244925853,0.5866506941419946,0.542041250309014,0.7017037212538754,0.13125536013143774,3.403603515941307,3.3742284675363203,0.19790524413150315,0.4021033888238287,0.7079725998209999,False,
WR,gbt_P0,568,3.776007070631069,3.6455225540251623,-0.13048451660590654,tier A | UNGATED (sens) | clean env | PPG,1.012976014632804,1.8381811283618565,0.09919797245014861,1.733440638266206,6,10,0.5843730626080086,0.5521011303555464,0.542041250309014,-0.27363622055462256,0.625728229962863,3.403603515941307,3.3996024566535397,0.03453106028365396,0.8672964991950818,0.6317665313360079,False,
WR,gbt_P1,568,3.776007070631069,3.689815526057771,-0.08619154457329792,tier A | UNGATED (sens) | clean env | PPG,0.6659145781686424,1.1537113601265874,0.2783354372701787,1.8155970495067,6,10,0.3667744328784695,0.542563177878928,0.542041250309014,-0.6206976570187843,0.30380108852894994,3.403603515941307,3.415559858023585,-0.08034457046520807,0.693217176289586,0.6203091897562596,False,
WR,hier_P0,568,3.776007070631069,3.528488340045896,-0.2475187305851727,tier A | UNGATED (sens) | clean env | PPG,1.834366963959288,2.483687809262032,0.03478035872109652,2.3232039072491664,9,10,0.7895850029502167,0.5670372402988011,0.542041250309014,0.5477547287718613,0.1612622541270879,3.403603515941307,3.376232051109821,0.18299639806472429,0.45288508401058725,0.733724332400615,False,
WR,hier_P1,568,3.776007070631069,3.498984575649003,-0.2770224949820661,tier A | UNGATED (sens) | clean env | PPG,2.0389915584333598,3.1213933643421314,0.012290990757442064,2.0547786269953408,9,10,0.9923169005387865,0.5947133737400918,0.542041250309014,0.7523793232459328,0.09901211682534347,3.403603515941307,3.372625262629618,0.21024640918603152,0.34569108711421315,0.6646048228149366,False,
