team,season,lead,lead_name,n_pres,n_abs,inj_frac,bk_ante,bk_post,same_backup,bk_ante_name,bk_post_name,car_den,car_ante,car_post,car_rest,car_leak,tgt_den,tgt_ante,tgt_post,tgt_rest,tgt_leak,gl10_den,gl10_ante,gl10_post,gl10_rest,gl10_leak,ppg_bk_in,ppg_bk_out,g_bk_out,ppg_lead_in
JAX,2015,00-0032209,T.J. Yeldon,12,4,1.0,00-0030547,00-0030547,1,Denard Robinson,Denard Robinson,15.166666666666666,0.3406593406593406,0.3406593406593406,0.2692307692307692,-0.39010989010988995,3.8333333333333335,1.1739130434782608,1.1739130434782608,0.15217391304347827,0.32608695652173914,,,,,,4.671428571428572,8.6,4,12.991666666666667
JAX,2017,00-0033856,Leonard Fournette,13,3,0.6666666666666666,00-0027531,00-0027531,1,Chris Ivory,Chris Ivory,20.615384615384617,0.6604477611940298,0.6604477611940298,0.6480099502487563,0.30845771144278583,3.6923076923076925,-0.13888888888888892,-0.13888888888888892,0.41666666666666674,-0.7222222222222222,,,,,,6.1,8.766666666666667,3,17.707692307692305
JAX,2018,00-0033856,Leonard Fournette,8,8,0.75,00-0032209,00-0032209,1,T.J. Yeldon,T.J. Yeldon,16.625,0.07518796992481203,0.07518796992481203,0.12781954887218044,-0.7969924812030075,3.25,1.0,1.0,0.5769230769230769,0.5769230769230769,1.75,-0.21428571428571427,-0.21428571428571427,0.0,-1.2142857142857142,9.357142857142858,15.37142857142857,7,15.05
JAX,2020,00-0035831,James Robinson,14,2,1.0,00-0030404,00-0033854,0,Chris Thompson,Dare Ogunbowale,17.142857142857142,-0.029166666666666667,0.7999999999999999,0.8583333333333333,-0.17083333333333325,4.285714285714286,-0.3833333333333333,1.2833333333333334,1.4000000000000001,0.016666666666666607,1.0,-0.07142857142857142,-0.07142857142857142,-0.07142857142857142,-1.1428571428571428,7.099999999999999,,0,17.88571428571429
JAX,2021,00-0035831,James Robinson,14,3,0.0,00-0031045,00-0031045,1,Carlos Hyde,Carlos Hyde,11.714285714285714,0.28658536585365857,0.28658536585365857,0.91869918699187,0.2052845528455285,3.2857142857142856,-0.18840579710144933,-0.18840579710144933,1.2028985507246375,0.014492753623188356,1.2142857142857142,-0.019607843137254926,-0.019607843137254926,0.09803921568627451,-0.9215686274509804,4.388888888888889,6.3,1,12.421428571428573
JAX,2024,00-0038555,Tank Bigsby,15,2,0.5,00-0036973,00-0036973,1,Travis Etienne,Travis Etienne,11.2,0.3720238095238095,0.3720238095238095,0.1636904761904762,-0.46428571428571425,0.8,0.625,0.625,-1.5833333333333333,-1.958333333333333,1.4,0.738095238095238,0.738095238095238,0.2619047619047619,0.0,8.392307692307693,10.55,2,8.6
KC,2015,00-0030668,Charcandrick West,12,4,0.25,00-0030414,00-0026213,0,Spencer Ware,Jamaal Charles,13.333333333333334,0.024999999999999977,0.75625,0.825,-0.15,2.75,0.18181818181818182,1.5151515151515154,1.6666666666666665,0.8484848484848484,,,,,,7.7875,20.5,1,11.066666666666665
KC,2016,00-0030414,Spencer Ware,14,2,0.5,00-0030668,00-0030668,1,Charcandrick West,Charcandrick West,15.285714285714286,0.677570093457944,0.677570093457944,0.22429906542056074,-0.09813084112149532,3.0,0.9047619047619048,0.9047619047619048,0.19047619047619047,0.09523809523809519,,,,,,4.591666666666666,19.5,2,13.842857142857142
KC,2018,00-0033923,Kareem Hunt,11,5,0.0,00-0030414,00-0030874,0,Spencer Ware,Damien Williams,16.454545454545453,0.23646408839779007,0.5712707182320442,0.7414364640883978,-0.022099447513812136,3.1818181818181817,-0.10857142857142858,1.2628571428571431,1.5771428571428574,0.4685714285714287,2.0,0.2181818181818182,0.7,0.7999999999999999,0.0181818181818183,6.075,15.049999999999999,2,20.927272727272722
KC,2019,00-0030874,Damien Williams,11,5,1.0,00-0027029,00-0027029,1,LeSean McCoy,LeSean McCoy,10.090909090909092,0.272072072072072,0.272072072072072,0.9207207207207209,0.19279279279279277,3.3636363636363638,0.2054054054054054,0.2054054054054054,0.8972972972972973,0.10270270270270276,0.7272727272727273,1.7,1.7,1.8249999999999997,2.525000000000001,7.475,11.76,5,12.82727272727273
KC,2020,00-0036360,Clyde Edwards-Helaire,13,3,1.0,00-0030496,00-0030496,1,Le'Veon Bell,Le'Veon Bell,13.923076923076923,0.18232044198895025,0.18232044198895025,0.5027624309392265,-0.31491712707182334,4.153846153846154,0.27777777777777773,0.27777777777777773,0.8333333333333333,0.11111111111111113,1.1538461538461537,0.3111111111111111,0.3111111111111111,0.15555555555555556,-0.5333333333333334,6.8428571428571425,6.2,2,13.538461538461538
